,2026.04.15 15:30:34
时间,电流,目标电流,滤波电流,速度,目标速度,位置,目标位置,外圈位置,扭矩,总线电压,驱动温度,电机温度
2026.04.15 15:30:34:507,0,0,0,0,-340,-80182,0,0,0,46,43,39,
2026.04.15 15:30:34:549,0,0,0,0,-340,-80182,0,0,0,46,43,39,
2026.04.15 15:30:34:586,0,0,0,0,-340,-80182,0,0,0,46,43,39,
2026.04.15 15:30:34:628,0,0,0,0,-340,-80182,0,0,0,46,43,39,
2026.04.15 15:30:34:670,0,0,0,0,-340,-80182,0,0,0,46,43,39,
2026.04.15 15:30:34:707,0,0,0,0,-340,-80182,0,0,0,46,43,39,
2026.04.15 15:30:34:749,0,0,0,0,-340,-80182,0,0,0,46,43,39,
2026.04.15 15:30:34:786,0,0,0,0,-340,-80182,0,0,0,46,43,39,
2026.04.15 15:30:34:828,0,0,0,0,-340,-80182,0,0,0,46,43,39,
2026.04.15 15:30:34:870,0,0,0,0,-340,-80182,0,0,0,46,43,39,
2026.04.15 15:30:34:907,0,0,0,0,-340,-80182,0,0,0,46,43,39,
2026.04.15 15:30:34:950,0,0,0,0,-340,-80182,0,0,0,46,43,39,
2026.04.15 15:30:34:986,0,0,0,0,-340,-80182,0,0,0,46,43,39,
2026.04.15 15:30:35:029,0,0,0,0,-340,-80182,0,0,0,46,43,39,
2026.04.15 15:30:35:070,0,0,0,0,-340,-80182,0,0,0,46,43,39,
2026.04.15 15:30:35:107,0,0,0,0,-340,-80182,0,0,0,46,43,39,
2026.04.15 15:30:35:149,0,0,0,0,-340,-80182,0,0,0,46,43,39,
2026.04.15 15:30:35:186,0,0,0,0,-340,-80182,0,0,0,46,43,39,
2026.04.15 15:30:35:228,0,0,0,0,-340,-80182,0,0,0,46,43,39,
2026.04.15 15:30:35:265,0,0,0,0,-340,-80182,0,0,0,46,43,39,
2026.04.15 15:30:35:308,0,0,0,0,-340,-80182,0,0,0,46,43,39,
2026.04.15 15:30:35:350,0,0,0,0,-340,-80182,0,0,0,46,43,39,
2026.04.15 15:30:35:387,0,0,0,0,-340,-80182,0,0,0,46,43,39,
2026.04.15 15:30:35:430,0,0,0,0,-340,-80182,0,0,0,46,43,39,
2026.04.15 15:30:35:465,0,0,0,0,-340,-80182,0,0,0,46,43,39,
2026.04.15 15:30:35:507,0,0,0,0,-340,-80182,0,0,0,46,43,39,
2026.04.15 15:30:35:550,-41,0,0,31,20,-80182,0,0,0,46,43,39,
2026.04.15 15:30:35:588,67,0,0,11,20,-80176,0,0,0,46,43,39,
2026.04.15 15:30:35:629,143,0,0,0,20,-80153,0,0,0,46,43,39,
