,2026.04.15 15:03:52
时间,电流,目标电流,滤波电流,速度,目标速度,位置,目标位置,外圈位置,扭矩,总线电压,驱动温度,电机温度
2026.04.15 15:03:52:221,0,0,0,0,0,6096,100000,0,0,47,47,39,
2026.04.15 15:03:52:264,0,0,0,0,0,6095,100000,0,0,47,47,39,
2026.04.15 15:03:52:300,0,0,0,0,0,6095,100000,0,0,47,47,39,
2026.04.15 15:03:52:343,0,0,0,0,0,6096,100000,0,0,47,47,39,
2026.04.15 15:03:52:379,0,0,0,0,0,6096,100000,0,0,47,47,39,
2026.04.15 15:03:52:421,0,0,0,0,0,6094,100000,0,0,47,47,39,
2026.04.15 15:03:52:464,0,0,0,0,0,6092,100000,0,0,47,47,39,
2026.04.15 15:03:52:500,0,0,0,0,0,6094,100000,0,0,47,47,39,
2026.04.15 15:03:52:543,0,0,0,0,0,6097,100000,0,0,47,47,39,
2026.04.15 15:03:52:579,0,0,0,0,0,6096,100000,0,0,47,47,39,
2026.04.15 15:03:52:621,0,0,0,0,0,6098,100000,0,0,47,47,39,
2026.04.15 15:03:52:664,0,0,0,0,0,6099,100000,0,0,47,47,39,
2026.04.15 15:03:52:700,0,0,0,0,0,6099,100000,0,0,47,47,39,
2026.04.15 15:03:52:743,0,0,0,0,0,6098,100000,0,0,47,47,39,
2026.04.15 15:03:52:779,0,0,0,0,0,6096,100000,0,0,47,47,39,
2026.04.15 15:03:52:821,0,0,0,0,0,6095,100000,0,0,47,47,39,
2026.04.15 15:03:52:864,0,0,0,0,0,6095,100000,0,0,47,47,39,
2026.04.15 15:03:52:900,0,0,0,0,0,6095,100000,0,0,47,47,39,
2026.04.15 15:03:52:943,0,0,0,0,0,6095,100000,0,0,47,47,39,
2026.04.15 15:03:52:979,0,0,0,0,0,6094,100000,0,0,47,47,39,
2026.04.15 15:03:53:022,0,0,0,0,0,6094,100000,0,0,47,47,39,
2026.04.15 15:03:53:064,0,0,0,0,0,6097,100000,0,0,47,47,39,
2026.04.15 15:03:53:100,0,0,0,0,0,6096,100000,0,0,47,47,39,
2026.04.15 15:03:53:143,0,0,0,0,0,6095,100000,0,0,47,47,39,
2026.04.15 15:03:53:179,0,0,0,0,0,6095,100000,0,0,47,47,39,
2026.04.15 15:03:53:221,0,0,0,0,0,6095,100000,0,0,47,47,39,
2026.04.15 15:03:53:264,0,0,0,0,0,6094,100000,0,0,47,47,39,
2026.04.15 15:03:53:301,0,0,0,0,0,6094,100000,0,0,47,47,39,
2026.04.15 15:03:53:343,0,0,0,0,0,6094,100000,0,0,47,47,39,
2026.04.15 15:03:53:380,0,0,0,0,0,6095,100000,0,0,47,47,39,
2026.04.15 15:03:53:422,0,0,0,0,0,6096,100000,0,0,47,47,39,
2026.04.15 15:03:53:458,0,0,0,0,0,6096,100000,0,0,47,47,39,
2026.04.15 15:03:53:501,0,0,0,0,0,6096,100000,0,0,47,47,39,
2026.04.15 15:03:53:543,0,0,0,0,0,6095,100000,0,0,47,47,39,
2026.04.15 15:03:53:579,0,0,0,0,0,6096,100000,0,0,47,47,39,
2026.04.15 15:03:53:622,0,0,0,0,0,6096,100000,0,0,47,47,39,
2026.04.15 15:03:53:658,0,0,0,0,0,6096,100000,0,0,47,47,39,
2026.04.15 15:03:53:701,0,0,0,0,0,6096,100000,0,0,47,47,39,
2026.04.15 15:03:53:743,0,0,0,0,0,6097,100000,0,0,47,47,39,
2026.04.15 15:03:53:780,0,0,0,0,0,6096,100000,0,0,47,47,39,
2026.04.15 15:03:53:822,0,0,0,0,0,6096,100000,0,0,47,47,39,
2026.04.15 15:03:53:859,0,0,0,0,0,6096,100000,0,0,47,47,39,
2026.04.15 15:03:53:901,0,0,0,0,0,6097,100000,0,0,47,47,39,
2026.04.15 15:03:53:944,0,0,0,0,0,6097,100000,0,0,47,47,39,
2026.04.15 15:03:53:980,0,0,0,0,0,6097,100000,0,0,47,47,39,
2026.04.15 15:03:54:022,0,0,0,0,0,6096,100000,0,0,47,47,39,
2026.04.15 15:03:54:059,0,0,0,0,0,6097,100000,0,0,47,47,39,
2026.04.15 15:03:54:101,0,0,0,0,0,6098,100000,0,0,47,47,39,
2026.04.15 15:03:54:144,0,0,0,0,0,6094,100000,0,0,47,47,39,
2026.04.15 15:03:54:180,0,0,0,0,0,6093,100000,0,0,47,47,39,
2026.04.15 15:03:54:222,0,0,0,0,0,6093,100000,0,0,47,47,39,
2026.04.15 15:03:54:258,0,0,0,0,0,6095,100000,0,0,47,47,39,
2026.04.15 15:03:54:301,0,0,0,0,0,6095,100000,0,0,47,47,39,
2026.04.15 15:03:54:344,0,0,0,0,0,6095,100000,0,0,47,47,39,
2026.04.15 15:03:54:381,0,0,0,0,0,6094,100000,0,0,47,47,39,
2026.04.15 15:03:54:423,0,0,0,0,0,6097,100000,0,0,47,47,39,
2026.04.15 15:03:54:459,0,0,0,0,0,6097,100000,0,0,47,47,39,
2026.04.15 15:03:54:501,0,0,0,0,0,6096,100000,0,0,47,47,39,
2026.04.15 15:03:54:538,0,0,0,0,0,6096,100000,0,0,47,47,39,
2026.04.15 15:03:54:580,0,0,0,0,0,6097,100000,0,0,47,47,39,
2026.04.15 15:03:54:622,0,0,0,0,0,6097,100000,0,0,47,47,39,
2026.04.15 15:03:54:659,0,0,0,0,0,6097,100000,0,0,47,47,39,
2026.04.15 15:03:54:702,0,0,0,0,0,6095,100000,0,0,47,47,39,
2026.04.15 15:03:54:738,0,0,0,0,0,6095,100000,0,0,47,47,39,
2026.04.15 15:03:54:780,0,0,0,0,0,6094,100000,0,0,47,47,39,
2026.04.15 15:03:54:823,0,0,0,0,0,6096,100000,0,0,47,47,39,
2026.04.15 15:03:54:859,0,0,0,0,0,6097,100000,0,0,47,47,39,
2026.04.15 15:03:54:902,0,0,0,0,0,6096,100000,0,0,47,47,39,
2026.04.15 15:03:54:938,0,0,0,0,0,6097,100000,0,0,47,47,39,
2026.04.15 15:03:54:980,0,0,0,0,0,6097,100000,0,0,47,47,39,
2026.04.15 15:03:55:023,0,0,0,0,0,6097,100000,0,0,47,47,39,
2026.04.15 15:03:55:059,0,0,0,0,0,6098,100000,0,0,47,47,39,
2026.04.15 15:03:55:102,0,0,0,0,0,6099,100000,0,0,47,47,39,
2026.04.15 15:03:55:138,0,0,0,0,0,6098,100000,0,0,47,47,39,
2026.04.15 15:03:55:181,0,0,0,0,0,6098,100000,0,0,47,47,39,
2026.04.15 15:03:55:223,0,0,0,0,0,6097,100000,0,0,47,47,39,
2026.04.15 15:03:55:259,0,0,0,0,0,6098,100000,0,0,47,47,39,
2026.04.15 15:03:55:301,0,0,0,0,0,6098,100000,0,0,47,47,39,
2026.04.15 15:03:55:338,0,0,0,0,0,6096,100000,0,0,47,47,39,
2026.04.15 15:03:55:381,0,0,0,0,0,6095,100000,0,0,47,47,39,
2026.04.15 15:03:55:423,0,0,0,0,0,6097,100000,0,0,47,47,39,
2026.04.15 15:03:55:459,0,0,0,0,0,6098,100000,0,0,47,47,39,
2026.04.15 15:03:55:502,0,0,0,0,0,6097,100000,0,0,47,47,39,
2026.04.15 15:03:55:538,0,0,0,0,0,6097,100000,0,0,47,47,39,
2026.04.15 15:03:55:580,0,0,0,0,0,6096,100000,0,0,47,47,39,
2026.04.15 15:03:55:623,0,0,0,0,0,6096,100000,0,0,47,47,39,
2026.04.15 15:03:55:660,0,0,0,0,0,6097,100000,0,0,47,47,39,
2026.04.15 15:03:55:702,0,0,0,0,0,6094,100000,0,0,47,47,39,
2026.04.15 15:03:55:739,0,0,0,0,0,6094,100000,0,0,47,47,39,
2026.04.15 15:03:55:781,0,0,0,0,0,6096,100000,0,0,47,47,39,
2026.04.15 15:03:55:823,0,0,0,0,0,6096,100000,0,0,47,47,39,
2026.04.15 15:03:55:860,0,0,0,0,0,6096,100000,0,0,47,47,39,
2026.04.15 15:03:55:902,0,0,0,0,0,6095,100000,0,0,47,47,39,
2026.04.15 15:03:55:939,0,0,0,0,0,6095,100000,0,0,47,47,39,
2026.04.15 15:03:55:981,0,0,0,0,0,6095,100000,0,0,47,47,39,
2026.04.15 15:03:56:018,0,0,0,0,0,6096,100000,0,0,47,47,39,
2026.04.15 15:03:56:060,0,0,0,0,0,6096,100000,0,0,47,47,39,
2026.04.15 15:03:56:102,0,0,0,0,0,6098,100000,0,0,47,47,39,
2026.04.15 15:03:56:138,0,0,0,0,0,6099,100000,0,0,47,47,39,
2026.04.15 15:03:56:181,0,0,0,0,0,6097,100000,0,0,47,47,39,
2026.04.15 15:03:56:217,0,0,0,0,0,6096,100000,0,0,47,47,39,
2026.04.15 15:03:56:260,0,0,0,0,0,6096,100000,0,0,47,47,39,
2026.04.15 15:03:56:302,0,0,0,0,0,6096,100000,0,0,47,47,39,
2026.04.15 15:03:56:339,0,0,0,0,0,6097,100000,0,0,47,47,39,
2026.04.15 15:03:56:381,0,0,0,0,0,6097,100000,0,0,47,47,39,
2026.04.15 15:03:56:418,0,0,0,0,0,6094,100000,0,0,47,47,39,
2026.04.15 15:03:56:460,0,0,0,0,0,6099,100000,0,0,47,47,39,
2026.04.15 15:03:56:503,0,0,0,0,0,6098,100000,0,0,47,47,39,
2026.04.15 15:03:56:539,0,0,0,0,0,6099,100000,0,0,47,47,39,
2026.04.15 15:03:56:581,0,0,0,0,0,6098,100000,0,0,47,47,39,
2026.04.15 15:03:56:617,0,0,0,0,0,6098,100000,0,0,47,47,39,
2026.04.15 15:03:56:660,0,0,0,0,0,6097,100000,0,0,47,47,39,
2026.04.15 15:03:56:697,0,0,0,0,0,6095,100000,0,0,47,47,39,
2026.04.15 15:03:56:739,0,0,0,0,0,6097,100000,0,0,47,47,39,
2026.04.15 15:03:56:781,0,0,0,0,0,6097,100000,0,0,47,47,39,
2026.04.15 15:03:56:818,0,0,0,0,0,6097,100000,0,0,47,47,39,
2026.04.15 15:03:56:860,0,0,0,0,0,6096,100000,0,0,47,47,39,
2026.04.15 15:03:56:897,0,0,0,0,0,6096,100000,0,0,47,47,39,
2026.04.15 15:03:56:939,0,0,0,0,0,6096,100000,0,0,47,47,39,
2026.04.15 15:03:56:981,0,0,0,0,0,6097,100000,0,0,47,47,39,
2026.04.15 15:03:57:017,0,0,0,0,0,6096,100000,0,0,47,47,39,
2026.04.15 15:03:57:061,0,0,0,0,0,6099,100000,0,0,47,47,39,
2026.04.15 15:03:57:097,0,0,0,0,0,6099,100000,0,0,47,47,39,
2026.04.15 15:03:57:140,0,0,0,0,0,6098,100000,0,0,47,47,39,
2026.04.15 15:03:57:182,0,0,0,0,0,6098,100000,0,0,47,47,39,
2026.04.15 15:03:57:218,0,0,0,0,0,6098,100000,0,0,47,47,39,
2026.04.15 15:03:57:261,0,0,0,0,0,6098,100000,0,0,47,47,39,
2026.04.15 15:03:57:297,0,0,0,0,0,6097,100000,0,0,47,47,39,
2026.04.15 15:03:57:339,0,0,0,0,0,6098,100000,0,0,47,47,39,
2026.04.15 15:03:57:381,0,0,0,0,0,6097,100000,0,0,47,47,39,
2026.04.15 15:03:57:418,0,0,0,0,0,6097,100000,0,0,47,47,39,
2026.04.15 15:03:57:468,0,0,0,0,0,6096,100000,0,0,47,47,39,
2026.04.15 15:03:57:497,0,0,0,0,0,6096,100000,0,0,47,47,39,
2026.04.15 15:03:57:539,0,0,0,0,0,6095,100000,0,0,47,47,39,
2026.04.15 15:03:57:581,0,0,0,0,0,6095,100000,0,0,47,47,39,
2026.04.15 15:03:57:618,0,0,0,0,0,6094,100000,0,0,47,47,39,
2026.04.15 15:03:57:660,0,0,0,0,0,6094,100000,0,0,47,47,39,
2026.04.15 15:03:57:697,0,0,0,0,0,6097,100000,0,0,47,47,39,
2026.04.15 15:03:57:739,0,0,0,0,0,6100,100000,0,0,47,47,39,
2026.04.15 15:03:57:782,0,0,0,65,0,6110,100000,0,0,47,47,39,
2026.04.15 15:03:57:818,0,0,0,13,0,6119,100000,0,0,47,47,39,
2026.04.15 15:03:57:861,0,0,0,0,0,6117,100000,0,0,47,47,39,
2026.04.15 15:03:57:897,0,0,0,-65,0,6054,100000,0,0,47,47,39,
2026.04.15 15:03:57:940,0,0,0,-643,0,5934,100000,0,0,47,47,39,
2026.04.15 15:03:57:982,0,0,0,-3007,0,5507,100000,0,0,47,47,39,
2026.04.15 15:03:58:018,0,0,0,-4419,0,4951,100000,0,0,47,47,39,
2026.04.15 15:03:58:061,0,0,0,-5397,0,4170,100000,0,0,47,47,39,
2026.04.15 15:03:58:097,0,0,0,-6435,0,3266,100000,0,0,47,47,39,
2026.04.15 15:03:58:139,0,0,0,-8758,0,2142,100000,0,0,47,47,39,
2026.04.15 15:03:58:176,0,0,0,-10478,0,930,100000,0,0,47,47,39,
2026.04.15 15:03:58:219,0,0,0,-11629,0,-602,100000,0,0,47,47,39,
2026.04.15 15:03:58:261,0,0,0,-12554,0,-2271,100000,0,0,47,47,39,
2026.04.15 15:03:58:297,0,0,0,-12688,0,-3806,100000,0,0,47,47,39,
2026.04.15 15:03:58:340,0,0,0,-12004,0,-5415,100000,0,0,47,47,39,
2026.04.15 15:03:58:376,0,0,0,-11021,0,-6855,100000,0,0,47,47,39,
2026.04.15 15:03:58:419,0,0,0,-10339,0,-8367,100000,0,0,47,47,39,
2026.04.15 15:03:58:461,0,0,0,-8737,0,-9757,100000,0,0,47,47,39,
2026.04.15 15:03:58:497,0,0,0,-7621,0,-10704,100000,0,0,47,47,39,
2026.04.15 15:03:58:540,0,0,0,-6732,0,-11692,100000,0,0,47,47,39,
2026.04.15 15:03:58:576,0,0,0,-5968,0,-12427,100000,0,0,47,47,39,
2026.04.15 15:03:58:618,0,0,0,-5807,0,-13149,100000,0,0,47,47,39,
2026.04.15 15:03:58:661,0,0,0,-5495,0,-13811,100000,0,0,47,47,39,
2026.04.15 15:03:58:698,0,0,0,-6067,0,-14546,100000,0,0,47,47,39,
2026.04.15 15:03:58:740,0,0,0,-6212,0,-15392,100000,0,0,47,47,39,
2026.04.15 15:03:58:777,0,0,0,-6625,0,-16159,100000,0,0,47,47,39,
2026.04.15 15:03:58:819,0,0,0,-6708,0,-17067,100000,0,0,47,47,39,
2026.04.15 15:03:58:855,0,0,0,-6938,0,-17852,100000,0,0,47,47,39,
2026.04.15 15:03:58:898,0,0,0,-7495,0,-18891,100000,0,0,47,47,39,
2026.04.15 15:03:58:940,0,0,0,-8214,0,-20001,100000,0,0,47,47,39,
2026.04.15 15:03:58:977,0,0,0,-8724,0,-21041,100000,0,0,47,47,39,
2026.04.15 15:03:59:019,0,0,0,-9040,0,-22356,100000,0,0,47,47,39,
2026.04.15 15:03:59:055,0,0,0,-9668,0,-23487,100000,0,0,47,47,39,
2026.04.15 15:03:59:098,0,0,0,-10194,0,-24877,100000,0,0,47,47,39,
2026.04.15 15:03:59:140,0,0,0,-10682,0,-26311,100000,0,0,47,47,39,
2026.04.15 15:03:59:177,0,0,0,-11692,0,-27679,100000,0,0,47,47,39,
2026.04.15 15:03:59:219,0,0,0,-12239,0,-29419,100000,0,0,47,47,39,
2026.04.15 15:03:59:255,0,0,0,-12348,0,-30704,100000,0,0,47,47,39,
2026.04.15 15:03:59:298,0,0,0,-12214,0,-32239,100000,0,0,47,47,39,
2026.04.15 15:03:59:340,0,0,0,-12490,0,-33997,100000,0,0,47,47,39,
2026.04.15 15:03:59:377,0,0,0,-12256,0,-35445,100000,0,0,47,47,39,
2026.04.15 15:03:59:419,0,0,0,-11264,0,-37123,100000,0,0,47,47,39,
2026.04.15 15:03:59:455,0,0,0,-10343,0,-38300,100000,0,0,47,47,39,
2026.04.15 15:03:59:498,0,0,0,-9546,0,-39708,100000,0,0,47,47,39,
2026.04.15 15:03:59:540,0,0,0,-8613,0,-40962,100000,0,0,47,47,39,
2026.04.15 15:03:59:577,0,0,0,-8030,0,-42006,100000,0,0,47,47,39,
2026.04.15 15:03:59:619,0,0,0,-7135,0,-43009,100000,0,0,47,47,39,
2026.04.15 15:03:59:655,0,0,0,-5523,0,-43733,100000,0,0,47,47,39,
2026.04.15 15:03:59:698,0,0,0,-2840,0,-44191,100000,0,0,47,47,39,
2026.04.15 15:03:59:740,0,0,0,-154,0,-44262,100000,0,0,47,47,39,
2026.04.15 15:03:59:777,0,0,0,222,0,-44166,100000,0,0,47,47,39,
2026.04.15 15:03:59:820,0,0,0,142,0,-44142,100000,0,0,47,47,39,
2026.04.15 15:03:59:856,0,0,0,365,0,-44071,100000,0,0,47,47,39,
2026.04.15 15:03:59:898,0,0,0,0,0,-44058,100000,0,0,47,47,39,
2026.04.15 15:03:59:941,0,0,0,443,0,-44010,100000,0,0,47,47,39,
2026.04.15 15:03:59:977,0,0,0,1798,0,-43804,100000,0,0,47,47,39,
2026.04.15 15:04:00:020,0,0,0,2106,0,-43488,100000,0,0,47,47,39,
2026.04.15 15:04:00:056,0,0,0,1942,0,-43227,100000,0,0,47,47,39,
2026.04.15 15:04:00:099,0,0,0,1867,0,-42914,100000,0,0,47,47,39,
2026.04.15 15:04:00:135,0,0,0,2345,0,-42636,100000,0,0,47,47,39,
2026.04.15 15:04:00:177,0,0,0,2440,0,-42302,100000,0,0,47,47,39,
2026.04.15 15:04:00:214,0,0,0,2382,0,-41979,100000,0,0,47,47,39,
2026.04.15 15:04:00:256,0,0,0,3244,0,-41542,100000,0,0,47,47,39,
2026.04.15 15:04:00:298,0,0,0,4308,0,-40928,100000,0,0,47,47,39,
2026.04.15 15:04:00:334,0,0,0,4519,0,-40349,100000,0,0,47,47,39,
2026.04.15 15:04:00:377,0,0,0,5305,0,-39665,100000,0,0,47,47,39,
2026.04.15 15:04:00:420,0,0,0,5355,0,-38874,100000,0,0,47,47,39,
2026.04.15 15:04:00:456,0,0,0,5962,0,-38178,100000,0,0,47,47,39,
2026.04.15 15:04:00:499,0,0,0,6440,0,-37313,100000,0,0,47,47,39,
2026.04.15 15:04:00:535,0,0,0,6918,0,-36540,100000,0,0,47,47,39,
2026.04.15 15:04:00:577,0,0,0,7571,0,-35367,100000,0,0,47,47,39,
2026.04.15 15:04:00:620,0,0,0,8213,0,-34184,100000,0,0,47,47,39,
2026.04.15 15:04:00:656,0,0,0,8649,0,-33198,100000,0,0,47,47,39,
2026.04.15 15:04:00:698,0,0,0,8964,0,-31881,100000,0,0,47,47,39,
2026.04.15 15:04:00:735,0,0,0,8969,0,-30877,100000,0,0,47,47,39,
2026.04.15 15:04:00:777,0,0,0,8822,0,-29960,100000,0,0,47,47,39,
2026.04.15 15:04:00:820,0,0,0,8910,0,-28793,100000,0,0,47,47,39,
2026.04.15 15:04:00:856,0,0,0,8463,0,-27745,100000,0,0,47,47,39,
2026.04.15 15:04:00:899,0,0,0,7633,0,-26589,100000,0,0,47,47,39,
2026.04.15 15:04:00:935,0,0,0,6785,0,-25757,100000,0,0,47,47,39,
2026.04.15 15:04:00:978,0,0,0,5366,0,-25031,100000,0,0,47,47,39,
2026.04.15 15:04:01:020,0,0,0,3334,0,-24522,100000,0,0,47,47,39,
2026.04.15 15:04:01:056,0,0,0,1372,0,-24374,100000,0,0,47,47,39,
2026.04.15 15:04:01:099,0,0,0,65,0,-24347,100000,0,0,47,47,39,
2026.04.15 15:04:01:135,0,0,0,-147,0,-24410,100000,0,0,47,47,39,
2026.04.15 15:04:01:178,0,0,0,-305,0,-24470,100000,0,0,47,47,39,
2026.04.15 15:04:01:220,0,0,0,-2389,0,-24766,100000,0,0,47,47,39,
2026.04.15 15:04:01:256,0,0,0,-3569,0,-25177,100000,0,0,47,47,39,
2026.04.15 15:04:01:299,0,0,0,-4455,0,-25797,100000,0,0,47,47,39,
2026.04.15 15:04:01:335,0,0,0,-5957,0,-26520,100000,0,0,47,47,39,
2026.04.15 15:04:01:378,0,0,0,-8550,0,-27707,100000,0,0,47,47,39,
2026.04.15 15:04:01:414,0,0,0,-10730,0,-29039,100000,0,0,47,47,39,
2026.04.15 15:04:01:457,0,0,0,-12552,0,-30523,100000,0,0,47,47,39,
2026.04.15 15:04:01:499,0,0,0,-14002,0,-32294,100000,0,0,47,47,39,
2026.04.15 15:04:01:536,0,0,0,-15108,0,-34131,100000,0,0,47,47,39,
2026.04.15 15:04:01:578,0,0,0,-16081,0,-36538,100000,0,0,47,47,39,
2026.04.15 15:04:01:614,0,0,0,-16864,0,-38423,100000,0,0,47,47,39,
2026.04.15 15:04:01:657,0,0,0,-18037,0,-40937,100000,0,0,47,47,39,
2026.04.15 15:04:01:699,0,0,0,-18362,0,-43617,100000,0,0,47,47,39,
2026.04.15 15:04:01:735,0,0,0,-18115,0,-45759,100000,0,0,47,47,39,
2026.04.15 15:04:01:778,0,0,0,-16081,0,-48024,100000,0,0,47,47,39,
2026.04.15 15:04:01:814,0,0,0,-13764,0,-49502,100000,0,0,47,47,39,
2026.04.15 15:04:01:857,0,0,0,-10554,0,-50813,100000,0,0,47,47,39,
2026.04.15 15:04:01:899,0,0,0,-8092,0,-52099,100000,0,0,47,47,39,
2026.04.15 15:04:01:936,0,0,0,-7562,0,-53048,100000,0,0,47,47,39,
2026.04.15 15:04:01:978,0,0,0,-8932,0,-54386,100000,0,0,47,47,39,
2026.04.15 15:04:02:015,0,0,0,-11360,0,-55804,100000,0,0,47,47,39,
2026.04.15 15:04:02:057,0,0,0,-14305,0,-57623,100000,0,0,47,47,39,
2026.04.15 15:04:02:099,0,0,0,-15635,0,-59725,100000,0,0,47,47,39,
2026.04.15 15:04:02:136,0,0,0,-17056,0,-61837,100000,0,0,47,47,39,
2026.04.15 15:04:02:179,0,0,0,-18370,0,-64217,100000,0,0,47,47,39,
2026.04.15 15:04:02:214,0,0,0,-18318,0,-66351,100000,0,0,47,47,39,
2026.04.15 15:04:02:257,0,0,0,-17595,0,-68755,100000,0,0,47,47,39,
2026.04.15 15:04:02:299,0,0,0,-16403,0,-70942,100000,0,0,47,47,39,
2026.04.15 15:04:02:335,0,0,0,-14837,0,-72706,100000,0,0,47,47,39,
2026.04.15 15:04:02:379,0,0,0,-12165,0,-74529,100000,0,0,47,47,39,
2026.04.15 15:04:02:414,0,0,0,-10579,0,-75782,100000,0,0,47,47,39,
2026.04.15 15:04:02:457,0,0,0,-9308,0,-77210,100000,0,0,47,47,39,
2026.04.15 15:04:02:500,0,0,0,-8672,0,-78372,100000,0,0,47,47,39,
2026.04.15 15:04:02:536,0,0,0,-8499,0,-79340,100000,0,0,47,47,39,
2026.04.15 15:04:02:578,0,0,0,-7714,0,-80400,100000,0,0,47,47,39,
2026.04.15 15:04:02:614,0,0,0,-6848,0,-81192,100000,0,0,47,47,39,
2026.04.15 15:04:02:657,0,0,0,-6523,0,-82074,100000,0,0,47,47,39,
2026.04.15 15:04:02:694,0,0,0,-6337,0,-82804,100000,0,0,47,47,39,
2026.04.15 15:04:02:736,0,0,0,-6105,0,-83645,100000,0,0,47,47,39,
2026.04.15 15:04:02:778,0,0,0,-6310,0,-84568,100000,0,0,47,47,39,
2026.04.15 15:04:02:815,0,0,0,-6486,0,-85361,100000,0,0,47,47,39,
2026.04.15 15:04:02:857,0,0,0,-6736,0,-86390,100000,0,0,47,47,39,
2026.04.15 15:04:02:893,0,0,0,-7017,0,-87299,100000,0,0,47,47,39,
2026.04.15 15:04:02:936,0,0,0,-7079,0,-88314,100000,0,0,47,47,39,
