,2026.04.15 15:30:34
时间,电流,目标电流,滤波电流,速度,目标速度,位置,目标位置,外圈位置,扭矩,总线电压,驱动温度,电机温度
2026.04.15 15:30:34:507,0,0,-873,0,-340,-3013,0,0,0,47,47,39,
2026.04.15 15:30:34:549,0,0,-873,0,-340,-3013,0,0,0,47,47,39,
2026.04.15 15:30:34:586,0,0,-873,0,-340,-3013,0,0,0,47,47,39,
2026.04.15 15:30:34:628,0,0,-873,0,-340,-3013,0,0,0,47,47,39,
2026.04.15 15:30:34:670,0,0,-873,0,-340,-3013,0,0,0,47,47,39,
2026.04.15 15:30:34:707,0,0,-873,0,-340,-3013,0,0,0,47,47,39,
2026.04.15 15:30:34:749,0,0,-873,0,-340,-3013,0,0,0,47,47,39,
2026.04.15 15:30:34:787,0,0,-873,0,-340,-3013,0,0,0,47,47,39,
2026.04.15 15:30:34:828,0,0,-873,0,-340,-3013,0,0,0,47,47,39,
2026.04.15 15:30:34:871,0,0,-873,0,-340,-3013,0,0,0,47,47,39,
2026.04.15 15:30:34:907,0,0,-873,0,-340,-3013,0,0,0,47,47,39,
2026.04.15 15:30:34:950,0,0,-873,0,-340,-3013,0,0,0,47,47,39,
2026.04.15 15:30:34:986,0,0,-873,0,-340,-3013,0,0,0,47,47,39,
2026.04.15 15:30:35:029,0,0,-873,0,-340,-3013,0,0,0,47,47,39,
2026.04.15 15:30:35:070,0,0,-873,0,-340,-3013,0,0,0,47,47,39,
2026.04.15 15:30:35:107,0,0,-873,0,-340,-3013,0,0,0,47,47,39,
2026.04.15 15:30:35:149,0,0,-873,0,-340,-3013,0,0,0,47,47,39,
2026.04.15 15:30:35:186,0,0,-873,0,-340,-3013,0,0,0,47,47,39,
2026.04.15 15:30:35:229,0,0,-873,0,-340,-3013,0,0,0,47,47,39,
2026.04.15 15:30:35:266,0,0,-873,0,-340,-3013,0,0,0,47,47,39,
2026.04.15 15:30:35:308,0,0,-873,0,-340,-3013,0,0,0,47,47,39,
2026.04.15 15:30:35:350,0,0,-873,0,-340,-3013,0,0,0,47,47,39,
2026.04.15 15:30:35:387,0,0,-873,0,-340,-3013,0,0,0,47,47,39,
2026.04.15 15:30:35:430,0,0,-873,0,-340,-3013,0,0,0,47,47,39,
2026.04.15 15:30:35:466,0,0,-873,0,-340,-3013,0,0,0,47,47,39,
