,2026.04.15 15:05:22
时间,电流,目标电流,滤波电流,速度,目标速度,位置,目标位置,外圈位置,扭矩,总线电压,驱动温度,电机温度
2026.04.15 15:05:22:091,0,0,0,0,0,9555,-50000,0,0,47,47,39,
2026.04.15 15:05:22:134,0,0,0,0,0,9555,-50000,0,0,47,47,39,
2026.04.15 15:05:22:171,0,0,0,0,0,9555,-50000,0,0,47,47,39,
2026.04.15 15:05:22:214,0,0,0,0,0,9555,-50000,0,0,47,47,39,
2026.04.15 15:05:22:251,0,0,0,0,0,9555,-50000,0,0,47,47,39,
2026.04.15 15:05:22:295,0,0,0,0,0,9555,-50000,0,0,47,47,39,
2026.04.15 15:05:22:337,0,0,0,0,0,9555,-50000,0,0,47,47,39,
2026.04.15 15:05:22:374,0,0,0,0,0,9555,-50000,0,0,47,47,39,
2026.04.15 15:05:22:417,0,0,0,0,0,9555,-50000,0,0,47,47,39,
2026.04.15 15:05:22:460,0,0,0,0,0,9555,-50000,0,0,47,47,39,
2026.04.15 15:05:22:497,0,0,0,0,0,9555,-50000,0,0,47,47,39,
2026.04.15 15:05:22:540,0,0,0,0,0,9555,-50000,0,0,47,47,39,
2026.04.15 15:05:22:577,0,0,0,0,0,9555,-50000,0,0,47,47,39,
2026.04.15 15:05:22:620,0,0,0,0,0,9555,-50000,0,0,47,47,39,
2026.04.15 15:05:22:663,0,0,0,0,0,9555,-50000,0,0,47,47,39,
2026.04.15 15:05:22:701,0,0,0,0,0,9555,-50000,0,0,47,47,39,
2026.04.15 15:05:22:743,0,0,0,0,0,9555,-50000,0,0,47,47,39,
2026.04.15 15:05:22:781,0,0,0,0,0,9555,-50000,0,0,47,47,39,
2026.04.15 15:05:22:823,0,0,0,0,0,9555,-50000,0,0,47,47,39,
2026.04.15 15:05:22:861,0,0,0,0,0,9555,-50000,0,0,47,47,39,
2026.04.15 15:05:22:904,0,0,0,0,0,9555,-50000,0,0,47,47,39,
2026.04.15 15:05:22:947,0,0,0,0,0,9555,-50000,0,0,47,47,39,
2026.04.15 15:05:22:983,0,0,0,0,0,9555,-50000,0,0,47,47,39,
2026.04.15 15:05:23:027,0,0,0,0,0,9555,-50000,0,0,47,47,39,
2026.04.15 15:05:23:064,0,0,0,0,0,9555,-50000,0,0,47,47,39,
2026.04.15 15:05:23:107,0,0,0,0,0,9555,-50000,0,0,47,47,39,
2026.04.15 15:05:23:149,0,0,0,0,0,9555,-50000,0,0,47,47,39,
2026.04.15 15:05:23:186,0,0,0,0,0,9555,-50000,0,0,47,47,39,
2026.04.15 15:05:23:230,0,0,0,0,0,9555,-50000,0,0,47,47,39,
2026.04.15 15:05:23:266,0,0,0,0,0,9555,-50000,0,0,47,47,39,
2026.04.15 15:05:23:310,0,0,0,0,0,9555,-50000,0,0,47,47,39,
2026.04.15 15:05:23:352,0,0,0,0,0,9555,-50000,0,0,47,47,39,
2026.04.15 15:05:23:390,0,0,0,0,0,9555,-50000,0,0,47,47,39,
2026.04.15 15:05:23:432,0,0,0,0,0,9555,-50000,0,0,47,47,39,
2026.04.15 15:05:23:469,0,0,0,0,0,9555,-50000,0,0,47,47,39,
2026.04.15 15:05:23:513,0,0,0,0,0,9555,-50000,0,0,47,47,39,
2026.04.15 15:05:23:555,0,0,0,0,0,9555,-50000,0,0,47,47,39,
2026.04.15 15:05:23:592,0,0,0,0,0,9555,-50000,0,0,47,47,39,
2026.04.15 15:05:23:635,0,0,0,0,0,9555,-50000,0,0,47,47,39,
2026.04.15 15:05:23:672,0,0,0,0,0,9555,-50000,0,0,47,47,39,
2026.04.15 15:05:23:715,0,0,0,0,0,9555,-50000,0,0,47,47,39,
2026.04.15 15:05:23:752,0,0,0,0,0,9555,-50000,0,0,47,47,39,
2026.04.15 15:05:23:795,0,0,0,0,0,9555,-50000,0,0,47,47,39,
2026.04.15 15:05:23:838,0,0,0,0,0,9555,-50000,0,0,47,47,39,
2026.04.15 15:05:23:875,0,0,0,0,0,9555,-50000,0,0,47,47,39,
2026.04.15 15:05:23:918,120,0,0,70,80,9558,0,0,0,47,47,39,
2026.04.15 15:05:23:954,309,0,0,40,80,9631,0,0,0,47,47,39,
2026.04.15 15:05:23:998,81,0,0,121,80,9744,0,0,0,47,47,39,
2026.04.15 15:05:24:040,146,0,0,101,80,9851,0,0,0,47,47,39,
2026.04.15 15:05:24:078,280,0,0,71,100,9952,0,0,0,47,47,39,
2026.04.15 15:05:24:120,134,0,0,98,100,10077,0,0,0,47,47,39,
2026.04.15 15:05:24:157,187,0,0,111,100,10178,0,0,0,47,47,39,
2026.04.15 15:05:24:200,300,0,0,55,100,10316,0,0,0,47,47,39,
2026.04.15 15:05:24:243,-7,0,0,170,120,10444,0,0,0,47,47,39,
2026.04.15 15:05:24:280,87,0,0,163,120,10563,0,0,0,47,47,39,
2026.04.15 15:05:24:322,329,0,0,40,120,10709,0,0,0,47,47,39,
2026.04.15 15:05:24:360,236,0,0,120,120,10824,0,0,0,47,47,39,
2026.04.15 15:05:24:403,127,0,0,130,140,10977,0,0,0,47,47,39,
2026.04.15 15:05:24:446,360,0,0,109,140,11146,0,0,0,47,47,39,
2026.04.15 15:05:24:482,189,0,0,153,140,11299,0,0,0,47,47,39,
2026.04.15 15:05:24:527,294,0,0,111,160,11469,0,0,0,47,47,39,
2026.04.15 15:05:24:562,123,0,0,181,160,11622,0,0,0,47,47,39,
2026.04.15 15:05:24:605,146,0,0,139,160,11814,0,0,0,47,47,39,
2026.04.15 15:05:24:648,257,0,0,151,160,11981,0,0,0,47,47,39,
2026.04.15 15:05:24:685,136,0,0,157,160,12129,0,0,0,47,47,39,
2026.04.15 15:05:24:727,110,0,0,197,180,12328,0,0,0,47,47,39,
2026.04.15 15:05:24:764,400,0,0,167,180,12486,0,0,0,47,47,39,
2026.04.15 15:05:24:808,384,0,0,126,180,12679,0,0,0,47,47,39,
2026.04.15 15:05:24:850,63,0,0,251,180,12873,0,0,0,47,47,39,
2026.04.15 15:05:24:887,213,0,0,177,180,13029,0,0,0,47,47,39,
2026.04.15 15:05:24:930,170,0,0,162,180,13244,0,0,0,47,47,39,
2026.04.15 15:05:24:967,209,0,0,195,180,13434,0,0,0,47,47,39,
2026.04.15 15:05:25:010,370,0,0,168,180,13652,0,0,0,47,47,39,
2026.04.15 15:05:25:047,76,0,0,185,180,13869,0,0,0,47,47,39,
2026.04.15 15:05:25:090,226,0,0,182,180,14080,0,0,0,47,47,39,
2026.04.15 15:05:25:133,182,0,0,191,180,14286,0,0,0,47,47,39,
2026.04.15 15:05:25:170,303,0,0,171,180,14463,0,0,0,47,47,39,
2026.04.15 15:05:25:212,534,0,0,108,180,14688,0,0,0,47,47,39,
2026.04.15 15:05:25:249,333,0,0,145,180,14891,0,0,0,47,47,39,
2026.04.15 15:05:25:292,50,0,0,224,180,15113,0,0,0,47,47,39,
2026.04.15 15:05:25:334,55,0,0,261,180,15332,0,0,0,47,47,39,
2026.04.15 15:05:25:372,94,0,0,227,180,15484,0,0,0,47,47,39,
2026.04.15 15:05:25:414,86,0,0,243,180,15678,0,0,0,47,47,39,
2026.04.15 15:05:25:451,460,0,0,120,180,15883,0,0,0,47,47,39,
2026.04.15 15:05:25:494,430,0,0,132,180,16121,0,0,0,47,47,39,
2026.04.15 15:05:25:537,444,0,0,137,180,16347,0,0,0,47,47,39,
2026.04.15 15:05:25:574,352,0,0,180,180,16540,0,0,0,47,47,39,
2026.04.15 15:05:25:616,451,0,0,128,180,16729,0,0,0,47,47,39,
2026.04.15 15:05:25:653,98,0,0,240,180,16911,0,0,0,47,47,39,
2026.04.15 15:05:25:696,174,0,0,229,180,17136,0,0,0,47,47,39,
2026.04.15 15:05:25:739,172,0,0,225,180,17341,0,0,0,47,47,39,
2026.04.15 15:05:25:775,629,0,0,128,180,17543,0,0,0,47,47,39,
2026.04.15 15:05:25:819,472,0,0,158,180,17788,0,0,0,47,47,39,
2026.04.15 15:05:25:856,151,0,0,205,180,17986,0,0,0,47,47,39,
2026.04.15 15:05:25:898,123,0,0,232,180,18177,0,0,0,47,47,39,
2026.04.15 15:05:25:941,123,0,0,232,180,18177,0,0,0,47,47,39,
2026.04.15 15:05:25:978,350,0,0,192,180,18549,0,0,0,47,47,39,
2026.04.15 15:05:26:021,234,0,0,211,180,18775,0,0,0,47,47,39,
2026.04.15 15:05:26:057,577,0,0,143,180,18965,0,0,0,47,47,39,
2026.04.15 15:05:26:100,134,0,0,234,180,19157,0,0,0,47,47,39,
2026.04.15 15:05:26:143,193,0,0,235,180,19329,0,0,0,47,47,39,
2026.04.15 15:05:26:180,665,0,0,101,180,19488,0,0,0,47,47,39,
2026.04.15 15:05:26:223,385,0,0,181,180,19667,0,0,0,47,47,39,
2026.04.15 15:05:26:259,402,0,0,179,180,19839,0,0,0,47,47,39,
2026.04.15 15:05:26:302,201,0,0,230,180,20046,0,0,0,47,47,39,
2026.04.15 15:05:26:345,116,0,0,241,180,20233,0,0,0,47,47,39,
