,2026.04.15 15:33:54
时间,电流,目标电流,滤波电流,速度,目标速度,位置,目标位置,外圈位置,扭矩,总线电压,驱动温度,电机温度
2026.04.15 15:33:54:560,0,0,0,0,0,131085,1000,0,0,46,38,33,
2026.04.15 15:33:54:602,0,0,0,0,0,131085,1000,0,0,46,38,33,
2026.04.15 15:33:54:639,0,0,0,0,0,131085,1000,0,0,46,38,33,
2026.04.15 15:33:54:681,0,0,0,0,0,131085,1000,0,0,46,38,33,
2026.04.15 15:33:54:718,0,0,0,0,0,131085,1000,0,0,46,38,33,
2026.04.15 15:33:54:760,0,0,0,0,0,131085,1000,0,0,46,38,33,
2026.04.15 15:33:54:802,0,0,0,0,0,131085,1000,0,0,46,38,33,
2026.04.15 15:33:54:839,0,0,0,0,0,131085,1000,0,0,46,38,33,
2026.04.15 15:33:54:881,0,0,0,0,0,131085,1000,0,0,46,38,33,
2026.04.15 15:33:54:917,0,0,0,0,0,131085,1000,0,0,46,38,33,
2026.04.15 15:33:54:960,0,0,0,0,0,131085,1000,0,0,46,38,33,
2026.04.15 15:33:55:003,0,0,0,0,0,131085,1000,0,0,46,38,33,
2026.04.15 15:33:55:039,0,0,0,0,0,131085,1000,0,0,46,38,33,
2026.04.15 15:33:55:082,0,0,0,0,0,131085,1000,0,0,46,38,33,
2026.04.15 15:33:55:118,0,0,0,0,0,131085,1000,0,0,46,38,33,
2026.04.15 15:33:55:160,0,0,0,0,0,131085,1000,0,0,46,38,33,
2026.04.15 15:33:55:202,0,0,0,0,0,131085,1000,0,0,46,38,33,
2026.04.15 15:33:55:239,0,0,0,0,0,131085,1000,0,0,46,38,33,
2026.04.15 15:33:55:281,0,0,0,0,0,131085,1000,0,0,46,38,33,
2026.04.15 15:33:55:318,0,0,0,0,0,131085,1000,0,0,46,38,33,
2026.04.15 15:33:55:361,0,0,0,0,0,131085,1000,0,0,46,38,33,
2026.04.15 15:33:55:397,0,0,0,0,0,131085,1000,0,0,46,38,33,
2026.04.15 15:33:55:439,0,0,0,0,0,131085,1000,0,0,46,38,33,
2026.04.15 15:33:55:482,0,0,0,0,0,131085,1000,0,0,46,38,33,
2026.04.15 15:33:55:518,0,0,0,0,0,131085,1000,0,0,46,38,33,
2026.04.15 15:33:55:561,0,0,0,0,0,131085,1000,0,0,46,38,33,
2026.04.15 15:33:55:597,0,0,0,0,0,131085,1000,0,0,46,38,33,
2026.04.15 15:33:55:639,0,0,0,0,0,131085,1000,0,0,46,38,33,
2026.04.15 15:33:55:682,0,0,0,0,0,131085,1000,0,0,46,38,33,
2026.04.15 15:33:55:718,0,0,0,0,0,131085,1000,0,0,46,38,33,
2026.04.15 15:33:55:760,0,0,0,0,0,131085,1000,0,0,46,38,33,
2026.04.15 15:33:55:797,0,0,0,0,0,131085,1000,0,0,46,38,33,
2026.04.15 15:33:55:840,0,0,0,0,0,131085,1000,0,0,46,38,33,
2026.04.15 15:33:55:882,0,0,0,0,0,131085,1000,0,0,46,38,33,
2026.04.15 15:33:55:919,0,0,0,0,0,131085,1000,0,0,46,38,33,
2026.04.15 15:33:55:961,0,0,0,0,0,131085,1000,0,0,46,38,33,
2026.04.15 15:33:55:997,0,0,0,0,0,131085,1000,0,0,46,38,33,
2026.04.15 15:33:56:040,0,0,0,0,0,131085,1000,0,0,46,38,33,
2026.04.15 15:33:56:082,0,0,0,0,0,131085,1000,0,0,46,38,33,
2026.04.15 15:33:56:118,0,0,0,0,0,131085,1000,0,0,46,38,33,
2026.04.15 15:33:56:161,0,0,0,0,0,131085,1000,0,0,46,38,33,
2026.04.15 15:33:56:197,0,0,0,0,0,131085,1000,0,0,46,38,33,
2026.04.15 15:33:56:240,0,0,0,0,0,131085,1000,0,0,46,38,33,
2026.04.15 15:33:56:282,0,0,0,0,0,131085,1000,0,0,46,38,33,
2026.04.15 15:33:56:319,0,0,0,0,0,131085,1000,0,0,46,38,33,
2026.04.15 15:33:56:361,0,0,0,0,0,131085,1000,0,0,46,38,33,
2026.04.15 15:33:56:397,0,0,0,0,0,131085,1000,0,0,46,38,33,
2026.04.15 15:33:56:440,0,0,0,0,0,131085,1000,0,0,46,38,33,
2026.04.15 15:33:56:476,0,0,0,0,0,131085,1000,0,0,46,38,33,
2026.04.15 15:33:56:519,0,0,0,0,0,131085,1000,0,0,46,38,33,
2026.04.15 15:33:56:561,0,0,0,0,0,131085,1000,0,0,46,38,33,
