,2026.04.15 15:32:57
时间,电流,目标电流,滤波电流,速度,目标速度,位置,目标位置,外圈位置,扭矩,总线电压,驱动温度,电机温度
2026.04.15 15:32:57:927,0,0,0,0,260,13332,0,0,0,46,43,39,
2026.04.15 15:32:57:969,0,0,0,0,260,13332,0,0,0,46,43,39,
2026.04.15 15:32:58:006,0,0,0,0,260,13332,0,0,0,46,43,39,
2026.04.15 15:32:58:048,0,0,0,0,260,13332,0,0,0,46,43,39,
2026.04.15 15:32:58:085,0,0,0,0,260,13332,0,0,0,46,43,39,
2026.04.15 15:32:58:127,0,0,0,0,260,13332,0,0,0,46,43,39,
2026.04.15 15:32:58:169,0,0,0,0,260,13332,0,0,0,46,43,39,
2026.04.15 15:32:58:206,0,0,0,0,260,13332,0,0,0,46,43,39,
2026.04.15 15:32:58:248,0,0,0,0,260,13332,0,0,0,46,43,39,
2026.04.15 15:32:58:285,0,0,0,0,260,13332,0,0,0,46,43,39,
2026.04.15 15:32:58:327,0,0,0,0,260,13332,0,0,0,46,43,39,
2026.04.15 15:32:58:370,0,0,0,0,260,13332,0,0,0,46,43,39,
2026.04.15 15:32:58:406,0,0,0,0,260,13332,0,0,0,46,43,39,
2026.04.15 15:32:58:449,0,0,0,0,260,13332,0,0,0,46,43,39,
2026.04.15 15:32:58:485,0,0,0,0,260,13332,0,0,0,46,43,39,
2026.04.15 15:32:58:528,0,0,0,0,260,13332,0,0,0,46,43,39,
2026.04.15 15:32:58:570,0,0,0,0,260,13332,0,0,0,46,43,39,
2026.04.15 15:32:58:606,0,0,0,0,260,13332,0,0,0,46,43,39,
2026.04.15 15:32:58:649,0,0,0,0,260,13332,0,0,0,46,43,39,
2026.04.15 15:32:58:685,0,0,0,0,260,13332,0,0,0,46,43,39,
2026.04.15 15:32:58:728,0,0,0,0,260,13332,0,0,0,46,43,39,
2026.04.15 15:32:58:770,0,0,0,0,260,13332,0,0,0,46,43,39,
2026.04.15 15:32:58:806,0,0,0,0,260,13332,0,0,0,46,43,39,
2026.04.15 15:32:58:849,0,0,0,0,260,13332,0,0,0,46,43,39,
2026.04.15 15:32:58:886,0,0,0,0,260,13332,0,0,0,46,43,39,
2026.04.15 15:32:58:928,0,0,0,0,260,13332,0,0,0,46,43,39,
2026.04.15 15:32:58:970,0,0,0,0,260,13332,0,0,0,46,43,39,
2026.04.15 15:32:59:006,0,0,0,0,260,13332,0,0,0,46,43,39,
2026.04.15 15:32:59:051,0,0,0,0,260,13332,0,0,0,46,43,39,
2026.04.15 15:32:59:085,0,0,0,0,260,13332,0,0,0,46,43,39,
