,2026.04.15 15:28:29
时间,电流,目标电流,滤波电流,速度,目标速度,位置,目标位置,外圈位置,扭矩,总线电压,驱动温度,电机温度
2026.04.15 15:28:30:038,0,0,0,0,0,-35798,0,0,0,46,42,39,
2026.04.15 15:28:30:081,0,0,0,0,0,-35798,0,0,0,46,42,39,
2026.04.15 15:28:30:117,0,0,0,0,0,-35798,0,0,0,46,42,39,
2026.04.15 15:28:30:160,0,0,0,0,0,-35798,0,0,0,46,42,39,
2026.04.15 15:28:30:202,0,0,0,0,0,-35798,0,0,0,46,42,39,
2026.04.15 15:28:30:238,0,0,0,0,0,-35798,0,0,0,46,42,39,
2026.04.15 15:28:30:281,0,0,0,0,0,-35798,0,0,0,46,42,39,
2026.04.15 15:28:30:317,0,0,0,0,0,-35798,0,0,0,46,42,39,
2026.04.15 15:28:30:359,0,0,0,0,0,-35798,0,0,0,46,42,39,
2026.04.15 15:28:30:396,0,0,0,0,0,-35798,0,0,0,46,42,39,
2026.04.15 15:28:30:439,0,0,0,0,0,-35798,0,0,0,46,42,39,
2026.04.15 15:28:30:481,0,0,0,0,0,-35797,0,0,0,46,42,39,
2026.04.15 15:28:30:517,0,0,0,0,0,-35797,0,0,0,46,42,39,
2026.04.15 15:28:30:560,0,0,0,0,0,-35797,0,0,0,46,42,39,
2026.04.15 15:28:30:596,0,0,0,0,0,-35797,0,0,0,46,42,39,
2026.04.15 15:28:30:639,0,0,0,0,0,-35797,0,0,0,46,42,39,
2026.04.15 15:28:30:681,0,0,0,0,0,-35797,0,0,0,46,42,39,
2026.04.15 15:28:30:717,0,0,0,0,0,-35797,0,0,0,46,42,39,
2026.04.15 15:28:30:760,0,0,0,0,0,-35797,0,0,0,46,42,39,
2026.04.15 15:28:30:797,0,0,0,0,0,-35797,0,0,0,46,42,39,
2026.04.15 15:28:30:839,0,0,0,0,0,-35797,0,0,0,46,42,39,
2026.04.15 15:28:30:881,0,0,0,0,0,-35798,0,0,0,46,42,39,
2026.04.15 15:28:30:918,0,0,0,0,0,-35798,0,0,0,46,42,39,
2026.04.15 15:28:30:960,0,0,0,0,0,-35798,0,0,0,46,42,39,
2026.04.15 15:28:30:996,0,0,0,0,0,-35798,0,0,0,46,42,39,
2026.04.15 15:28:31:039,0,0,0,0,0,-35798,0,0,0,46,42,39,
2026.04.15 15:28:31:081,0,0,0,0,0,-35798,0,0,0,46,42,39,
2026.04.15 15:28:31:117,0,0,0,0,0,-35798,0,0,0,46,42,39,
2026.04.15 15:28:31:154,0,0,0,0,0,-35798,0,0,0,46,42,39,
2026.04.15 15:28:31:196,0,0,0,0,0,-35798,0,0,0,46,42,39,
2026.04.15 15:28:31:240,0,0,0,0,0,-35798,0,0,0,46,42,39,
2026.04.15 15:28:31:281,0,0,0,0,0,-35798,0,0,0,46,42,39,
2026.04.15 15:28:31:318,0,0,0,0,0,-35798,0,0,0,46,42,39,
2026.04.15 15:28:31:360,0,0,0,0,0,-35798,0,0,0,46,42,39,
2026.04.15 15:28:31:397,0,0,0,0,0,-35798,0,0,0,46,42,39,
