,2026.04.15 15:05:07
时间,电流,目标电流,滤波电流,速度,目标速度,位置,目标位置,外圈位置,扭矩,总线电压,驱动温度,电机温度
2026.04.15 15:05:07:181,0,0,0,0,0,5390,-50000,0,0,47,47,39,
2026.04.15 15:05:07:223,0,0,0,0,0,5390,-50000,0,0,47,47,39,
2026.04.15 15:05:07:259,0,0,0,0,0,5389,-50000,0,0,47,47,39,
2026.04.15 15:05:07:302,0,0,0,0,0,5390,-50000,0,0,47,47,39,
2026.04.15 15:05:07:338,0,0,0,0,0,5390,-50000,0,0,47,47,39,
2026.04.15 15:05:07:381,0,0,0,0,0,5390,-50000,0,0,47,47,39,
2026.04.15 15:05:07:423,0,0,0,0,0,5390,-50000,0,0,47,47,39,
2026.04.15 15:05:07:459,0,0,0,0,0,5390,-50000,0,0,47,47,39,
2026.04.15 15:05:07:502,0,0,0,0,0,5390,-50000,0,0,47,47,39,
2026.04.15 15:05:07:537,0,0,0,0,0,5390,-50000,0,0,47,47,39,
2026.04.15 15:05:07:580,0,0,0,0,0,5390,-50000,0,0,47,47,39,
2026.04.15 15:05:07:622,0,0,0,0,0,5390,-50000,0,0,47,47,39,
2026.04.15 15:05:07:659,0,0,0,0,0,5390,-50000,0,0,47,47,39,
2026.04.15 15:05:07:702,0,0,0,0,0,5390,-50000,0,0,47,47,39,
2026.04.15 15:05:07:738,0,0,0,0,0,5389,-50000,0,0,47,47,39,
2026.04.15 15:05:07:780,0,0,0,0,0,5389,-50000,0,0,47,47,39,
2026.04.15 15:05:07:822,0,0,0,0,0,5389,-50000,0,0,47,47,39,
2026.04.15 15:05:07:859,0,0,0,0,0,5389,-50000,0,0,47,47,39,
2026.04.15 15:05:07:901,0,0,0,0,0,5389,-50000,0,0,47,47,39,
2026.04.15 15:05:07:937,0,0,0,0,0,5389,-50000,0,0,47,47,39,
2026.04.15 15:05:07:980,0,0,0,0,0,5388,-50000,0,0,47,47,39,
2026.04.15 15:05:08:023,0,0,0,0,0,5388,-50000,0,0,47,47,39,
2026.04.15 15:05:08:058,0,0,0,0,0,5387,-50000,0,0,47,47,39,
2026.04.15 15:05:08:101,0,0,0,0,0,5387,-50000,0,0,47,47,39,
2026.04.15 15:05:08:137,0,0,0,0,0,5388,-50000,0,0,47,47,39,
2026.04.15 15:05:08:180,0,0,0,0,0,5387,-50000,0,0,47,47,39,
2026.04.15 15:05:08:222,0,0,0,0,0,5388,-50000,0,0,47,47,39,
2026.04.15 15:05:08:259,0,0,0,0,0,5388,-50000,0,0,47,47,39,
2026.04.15 15:05:08:301,0,0,0,0,0,5388,-50000,0,0,47,47,39,
2026.04.15 15:05:08:337,0,0,0,0,0,5388,-50000,0,0,47,47,39,
2026.04.15 15:05:08:380,0,0,0,0,0,5389,-50000,0,0,47,47,39,
2026.04.15 15:05:08:416,0,0,0,0,0,5389,-50000,0,0,47,47,39,
2026.04.15 15:05:08:458,0,0,0,0,0,5389,-50000,0,0,47,47,39,
2026.04.15 15:05:08:501,0,0,0,0,0,5389,-50000,0,0,47,47,39,
2026.04.15 15:05:08:537,0,0,0,0,0,5389,-50000,0,0,47,47,39,
2026.04.15 15:05:08:579,0,0,0,0,0,5389,-50000,0,0,47,47,39,
2026.04.15 15:05:08:615,0,0,0,0,0,5389,-50000,0,0,47,47,39,
2026.04.15 15:05:08:658,0,0,0,0,0,5390,-50000,0,0,47,47,39,
2026.04.15 15:05:08:700,0,0,0,0,0,5390,-50000,0,0,47,47,39,
2026.04.15 15:05:08:737,0,0,0,0,0,5391,-50000,0,0,47,47,39,
2026.04.15 15:05:08:779,0,0,0,0,0,5391,-50000,0,0,47,47,39,
2026.04.15 15:05:08:816,0,0,0,0,0,5391,-50000,0,0,47,47,39,
2026.04.15 15:05:08:858,0,0,0,0,0,5391,-50000,0,0,47,47,39,
2026.04.15 15:05:08:901,0,0,0,0,0,5390,-50000,0,0,47,47,39,
2026.04.15 15:05:08:937,0,0,0,0,0,5390,-50000,0,0,47,47,39,
2026.04.15 15:05:08:980,0,0,0,0,0,5391,-50000,0,0,47,47,39,
2026.04.15 15:05:09:016,0,0,0,0,0,5391,-50000,0,0,47,47,39,
2026.04.15 15:05:09:058,0,0,0,0,0,5391,-50000,0,0,47,47,39,
2026.04.15 15:05:09:100,0,0,0,0,0,5391,-50000,0,0,47,47,39,
2026.04.15 15:05:09:137,0,0,0,0,0,5390,-50000,0,0,47,47,39,
2026.04.15 15:05:09:179,0,0,0,0,0,5390,-50000,0,0,47,47,39,
2026.04.15 15:05:09:215,0,0,0,0,0,5390,-50000,0,0,47,47,39,
2026.04.15 15:05:09:258,0,0,0,0,0,5390,-50000,0,0,47,47,39,
2026.04.15 15:05:09:301,0,0,0,0,0,5390,-50000,0,0,47,47,39,
