,2026.04.15 15:01:41
时间,电流,目标电流,滤波电流,速度,目标速度,位置,目标位置,外圈位置,扭矩,总线电压,驱动温度,电机温度
2026.04.15 15:01:41:889,0,0,0,0,0,-3235,0,0,0,47,46,37,
2026.04.15 15:01:41:931,0,0,0,0,0,-3235,0,0,0,47,46,37,
2026.04.15 15:01:41:968,0,0,0,0,0,-3235,0,0,0,47,46,37,
2026.04.15 15:01:42:010,0,0,0,0,0,-3235,0,0,0,47,46,37,
2026.04.15 15:01:42:047,0,0,0,0,0,-3235,0,0,0,47,46,37,
2026.04.15 15:01:42:089,0,0,0,0,0,-3235,0,0,0,47,46,37,
2026.04.15 15:01:42:131,0,0,0,0,0,-3235,0,0,0,47,46,37,
2026.04.15 15:01:42:168,0,0,0,0,0,-3235,0,0,0,47,46,37,
2026.04.15 15:01:42:210,0,0,0,0,0,-3235,0,0,0,47,46,37,
2026.04.15 15:01:42:247,0,0,0,0,0,-3235,0,0,0,47,46,37,
2026.04.15 15:01:42:289,0,0,0,0,0,-3235,0,0,0,47,46,37,
2026.04.15 15:01:42:331,0,0,0,0,0,-3235,0,0,0,47,46,37,
2026.04.15 15:01:42:367,0,0,0,0,0,-3235,0,0,0,47,46,37,
2026.04.15 15:01:42:410,0,0,0,0,0,-3235,0,0,0,47,46,37,
2026.04.15 15:01:42:446,0,0,0,0,0,-3235,0,0,0,47,46,37,
2026.04.15 15:01:42:489,0,0,0,0,0,-3235,0,0,0,47,46,37,
2026.04.15 15:01:42:525,0,0,0,0,0,-3235,0,0,0,47,46,37,
2026.04.15 15:01:42:568,0,0,0,0,0,-3235,0,0,0,47,46,37,
2026.04.15 15:01:42:610,0,0,0,0,0,-3235,0,0,0,47,46,37,
2026.04.15 15:01:42:647,0,0,0,0,0,-3235,0,0,0,47,46,37,
2026.04.15 15:01:42:689,0,0,0,0,0,-3235,0,0,0,47,46,37,
2026.04.15 15:01:42:725,0,0,0,0,0,-3235,0,0,0,47,46,37,
2026.04.15 15:01:42:767,0,0,0,0,0,-3235,0,0,0,47,46,37,
2026.04.15 15:01:42:810,0,0,0,0,0,-3235,0,0,0,47,46,37,
2026.04.15 15:01:42:847,0,0,0,0,0,-3235,0,0,0,47,46,37,
2026.04.15 15:01:42:889,0,0,0,0,0,-3235,0,0,0,47,46,37,
2026.04.15 15:01:42:926,0,0,0,0,0,-3235,0,0,0,47,46,37,
2026.04.15 15:01:42:968,0,0,0,0,0,-3235,0,0,0,47,46,37,
2026.04.15 15:01:43:010,0,0,0,0,0,-3235,0,0,0,47,46,37,
2026.04.15 15:01:43:047,0,0,0,0,0,-3235,0,0,0,47,46,37,
2026.04.15 15:01:43:089,0,0,0,0,0,-3235,0,0,0,47,46,37,
2026.04.15 15:01:43:126,0,0,0,0,0,-3235,0,0,0,47,46,37,
2026.04.15 15:01:43:168,0,0,0,0,0,-3235,0,0,0,47,46,37,
2026.04.15 15:01:43:211,0,0,0,0,0,-3235,0,0,0,47,46,37,
2026.04.15 15:01:43:247,0,0,0,0,0,-3235,0,0,0,47,46,37,
2026.04.15 15:01:43:290,0,0,0,0,0,-3235,0,0,0,47,46,37,
2026.04.15 15:01:43:325,0,0,0,0,0,-3235,0,0,0,47,46,37,
2026.04.15 15:01:43:368,0,0,0,0,0,-3235,0,0,0,47,46,37,
2026.04.15 15:01:43:410,0,0,0,0,0,-3235,0,0,0,47,46,37,
2026.04.15 15:01:43:447,0,0,0,0,0,-3235,0,0,0,47,46,37,
2026.04.15 15:01:43:489,0,0,0,0,0,-3235,0,0,0,47,46,37,
2026.04.15 15:01:43:525,0,0,0,0,0,-3235,0,0,0,47,46,37,
2026.04.15 15:01:43:568,0,0,0,0,0,-3235,0,0,0,47,46,37,
2026.04.15 15:01:43:610,0,0,0,0,0,-3235,0,0,0,47,46,37,
2026.04.15 15:01:43:647,0,0,0,0,0,-3235,0,0,0,47,46,37,
2026.04.15 15:01:43:690,0,0,0,0,0,-3235,0,0,0,47,46,37,
2026.04.15 15:01:43:726,0,0,0,0,0,-3235,0,0,0,47,46,37,
2026.04.15 15:01:43:768,0,0,0,0,0,-3235,0,0,0,47,46,37,
2026.04.15 15:01:43:805,0,0,0,0,0,-3235,0,0,0,47,46,37,
2026.04.15 15:01:43:847,0,0,0,0,0,-3235,0,0,0,47,46,37,
2026.04.15 15:01:43:890,0,0,0,0,0,-3235,0,0,0,47,46,37,
2026.04.15 15:01:43:926,0,0,0,0,0,-3235,0,0,0,47,46,37,
2026.04.15 15:01:43:968,0,0,0,0,0,-3235,0,0,0,47,46,37,
2026.04.15 15:01:44:005,0,0,0,0,0,-3235,0,0,0,47,46,37,
2026.04.15 15:01:44:048,0,0,0,0,0,-3235,0,0,0,47,46,37,
2026.04.15 15:01:44:089,0,0,0,0,0,-3235,0,0,0,47,46,37,
2026.04.15 15:01:44:126,0,0,0,0,0,-3235,0,0,0,47,46,37,
2026.04.15 15:01:44:168,0,0,0,0,0,-3235,0,0,0,47,46,37,
2026.04.15 15:01:44:205,0,0,0,0,0,-3235,0,0,0,47,46,37,
2026.04.15 15:01:44:248,0,0,0,0,0,-3235,0,0,0,47,46,37,
2026.04.15 15:01:44:290,0,0,0,0,0,-3235,0,0,0,47,46,37,
2026.04.15 15:01:44:326,0,0,0,0,0,-3235,0,0,0,47,46,37,
2026.04.15 15:01:44:368,0,0,0,0,0,-3235,0,0,0,47,46,37,
2026.04.15 15:01:44:405,0,0,0,0,0,-3235,0,0,0,47,46,37,
2026.04.15 15:01:44:447,0,0,0,0,0,-3235,0,0,0,47,46,37,
2026.04.15 15:01:44:490,0,0,0,0,0,-3235,0,0,0,47,46,37,
2026.04.15 15:01:44:526,0,0,0,0,0,-3235,0,0,0,47,46,37,
2026.04.15 15:01:44:569,0,0,0,0,0,-3235,0,0,0,47,46,37,
2026.04.15 15:01:44:605,0,0,0,0,0,-3235,0,0,0,47,46,37,
2026.04.15 15:01:44:648,0,0,0,0,0,-3235,0,0,0,47,46,37,
2026.04.15 15:01:44:690,0,0,0,0,0,-3235,0,0,0,47,46,37,
2026.04.15 15:01:44:727,0,0,0,0,0,-3235,0,0,0,47,46,37,
2026.04.15 15:01:44:769,0,0,0,0,0,-3235,0,0,0,47,46,37,
2026.04.15 15:01:44:805,0,0,0,0,0,-3235,0,0,0,47,46,37,
2026.04.15 15:01:44:848,0,0,0,0,0,-3235,0,0,0,47,46,37,
2026.04.15 15:01:44:891,0,0,0,0,0,-3235,0,0,0,47,46,37,
2026.04.15 15:01:44:927,0,0,0,0,0,-3235,0,0,0,47,46,37,
2026.04.15 15:01:44:969,0,0,0,0,0,-3235,0,0,0,47,46,37,
2026.04.15 15:01:45:005,0,0,0,0,0,-3235,0,0,0,47,46,37,
2026.04.15 15:01:45:048,0,0,0,0,0,-3235,0,0,0,47,46,37,
2026.04.15 15:01:45:084,0,0,0,0,0,-3235,0,0,0,47,46,37,
2026.04.15 15:01:45:127,0,0,0,0,0,-3235,0,0,0,47,46,37,
2026.04.15 15:01:45:169,0,0,0,0,0,-3235,0,0,0,47,46,37,
2026.04.15 15:01:45:205,0,0,0,0,0,-3235,0,0,0,47,46,37,
2026.04.15 15:01:45:248,0,0,0,0,0,-3235,0,0,0,47,46,37,
2026.04.15 15:01:45:284,0,0,0,0,0,-3235,0,0,0,47,46,37,
2026.04.15 15:01:45:326,0,0,0,0,0,-3235,0,0,0,47,46,37,
2026.04.15 15:01:45:369,0,0,0,0,0,-3235,0,0,0,47,46,37,
2026.04.15 15:01:45:405,0,0,0,0,0,-3235,0,0,0,47,46,37,
2026.04.15 15:01:45:448,0,0,0,0,0,-3235,0,0,0,47,46,37,
2026.04.15 15:01:45:484,0,0,0,0,0,-3235,0,0,0,47,46,37,
2026.04.15 15:01:45:527,0,0,0,0,0,-3235,0,0,0,47,46,37,
2026.04.15 15:01:45:569,0,0,0,0,0,-3235,0,0,0,47,46,37,
2026.04.15 15:01:45:605,0,0,0,0,0,-3235,0,0,0,47,46,37,
2026.04.15 15:01:45:648,0,0,0,0,0,-3235,0,0,0,47,46,37,
2026.04.15 15:01:45:684,0,0,0,0,0,-3235,0,0,0,47,46,37,
