,2026.04.15 15:02:15
时间,电流,目标电流,滤波电流,速度,目标速度,位置,目标位置,外圈位置,扭矩,总线电压,驱动温度,电机温度
2026.04.15 15:02:15:904,0,0,0,0,0,-4192,0,0,0,47,46,37,
2026.04.15 15:02:15:947,0,0,0,0,0,-4192,0,0,0,47,46,37,
2026.04.15 15:02:15:983,0,0,0,0,0,-4192,0,0,0,47,46,37,
2026.04.15 15:02:16:025,0,0,0,0,0,-4192,0,0,0,47,46,37,
2026.04.15 15:02:16:062,0,0,0,0,0,-4192,0,0,0,47,46,37,
2026.04.15 15:02:16:105,0,0,0,0,0,-4192,0,0,0,47,46,37,
2026.04.15 15:02:16:147,0,0,0,0,0,-4192,0,0,0,47,46,37,
2026.04.15 15:02:16:183,0,0,0,0,0,-4192,0,0,0,47,46,37,
2026.04.15 15:02:16:226,0,0,0,0,0,-4192,0,0,0,47,46,37,
2026.04.15 15:02:16:262,0,0,0,0,0,-4192,0,0,0,47,46,37,
2026.04.15 15:02:16:304,0,0,0,0,0,-4192,0,0,0,47,46,37,
2026.04.15 15:02:16:347,0,0,0,0,0,-4192,0,0,0,47,46,37,
2026.04.15 15:02:16:383,0,0,0,0,0,-4192,0,0,0,47,46,37,
2026.04.15 15:02:16:426,0,0,0,0,0,-4192,0,0,0,47,46,37,
2026.04.15 15:02:16:462,0,0,0,0,0,-4192,0,0,0,47,46,37,
2026.04.15 15:02:16:505,0,0,0,0,0,-4192,0,0,0,47,46,37,
2026.04.15 15:02:16:541,0,0,0,0,0,-4192,0,0,0,47,46,37,
2026.04.15 15:02:16:583,0,0,0,0,0,-4192,0,0,0,47,46,37,
2026.04.15 15:02:16:626,0,0,0,0,0,-4192,0,0,0,47,46,37,
2026.04.15 15:02:16:662,0,0,0,0,0,-4192,0,0,0,47,46,37,
2026.04.15 15:02:16:704,0,0,0,0,0,-4192,0,0,0,47,46,37,
2026.04.15 15:02:16:741,0,0,0,0,0,-4192,0,0,0,47,46,37,
2026.04.15 15:02:16:783,0,0,0,0,0,-4192,0,0,0,47,46,37,
2026.04.15 15:02:16:826,0,0,0,0,0,-4192,0,0,0,47,46,37,
2026.04.15 15:02:16:862,0,0,0,0,0,-4192,0,0,0,47,46,37,
2026.04.15 15:02:16:905,0,0,0,0,0,-4195,0,0,0,47,46,37,
2026.04.15 15:02:16:941,0,0,0,3,0,-4194,0,0,0,47,46,37,
2026.04.15 15:02:16:983,0,0,0,13,0,-4182,0,0,0,47,46,37,
2026.04.15 15:02:17:026,0,0,0,0,0,-4184,0,0,0,47,46,37,
2026.04.15 15:02:17:063,0,0,0,0,0,-4183,0,0,0,47,46,37,
2026.04.15 15:02:17:105,0,0,0,46,0,-4181,0,0,0,47,46,37,
2026.04.15 15:02:17:141,0,0,0,7,0,-4173,0,0,0,47,46,37,
2026.04.15 15:02:17:184,0,0,0,0,0,-4170,0,0,0,47,46,37,
2026.04.15 15:02:17:226,0,0,0,22,0,-4169,0,0,0,47,46,37,
2026.04.15 15:02:17:263,0,0,0,16,0,-4165,0,0,0,47,46,37,
2026.04.15 15:02:17:305,0,0,0,161,0,-4143,0,0,0,47,46,37,
2026.04.15 15:02:17:341,0,0,0,115,0,-4117,0,0,0,47,46,37,
2026.04.15 15:02:17:383,0,0,0,0,0,-4117,0,0,0,47,46,37,
2026.04.15 15:02:17:426,0,0,0,0,0,-4118,0,0,0,47,46,37,
2026.04.15 15:02:17:462,0,0,0,0,0,-4121,0,0,0,47,46,37,
2026.04.15 15:02:17:505,0,0,0,0,0,-4121,0,0,0,47,46,37,
2026.04.15 15:02:17:541,0,0,0,0,0,-4120,0,0,0,47,46,37,
2026.04.15 15:02:17:583,0,0,0,13,0,-4114,0,0,0,47,46,37,
2026.04.15 15:02:17:626,0,0,0,269,0,-4084,0,0,0,47,46,37,
2026.04.15 15:02:17:663,0,0,0,1224,0,-3966,0,0,0,47,46,37,
2026.04.15 15:02:17:705,0,0,0,1839,0,-3724,0,0,0,47,46,37,
2026.04.15 15:02:17:742,0,0,0,1921,0,-3483,0,0,0,47,46,37,
2026.04.15 15:02:17:784,0,0,0,2456,0,-3130,0,0,0,47,46,37,
2026.04.15 15:02:17:820,0,0,0,2511,0,-2802,0,0,0,47,46,37,
2026.04.15 15:02:17:863,0,0,0,2724,0,-2427,0,0,0,47,46,37,
2026.04.15 15:02:17:905,0,0,0,2910,0,-2005,0,0,0,47,46,37,
2026.04.15 15:02:17:942,0,0,0,2302,0,-1737,0,0,0,47,46,37,
2026.04.15 15:02:17:984,0,0,0,2399,0,-1430,0,0,0,47,46,37,
2026.04.15 15:02:18:021,0,0,0,2432,0,-1135,0,0,0,47,46,37,
2026.04.15 15:02:18:063,0,0,0,1831,0,-904,0,0,0,47,46,37,
2026.04.15 15:02:18:105,0,0,0,1611,0,-653,0,0,0,47,46,37,
2026.04.15 15:02:18:142,0,0,0,1580,0,-473,0,0,0,47,46,37,
2026.04.15 15:02:18:184,0,0,0,847,0,-342,0,0,0,47,46,37,
2026.04.15 15:02:18:220,0,0,0,421,0,-279,0,0,0,47,46,37,
2026.04.15 15:02:18:263,0,0,0,191,0,-233,0,0,0,47,46,37,
2026.04.15 15:02:18:306,0,0,0,0,0,-233,0,0,0,47,46,37,
2026.04.15 15:02:18:341,0,0,0,0,0,-235,0,0,0,47,46,37,
2026.04.15 15:02:18:384,0,0,0,0,0,-235,0,0,0,47,46,37,
2026.04.15 15:02:18:420,0,0,0,0,0,-234,0,0,0,47,46,37,
2026.04.15 15:02:18:463,0,0,0,0,0,-235,0,0,0,47,46,37,
2026.04.15 15:02:18:506,0,0,0,1,0,-235,0,0,0,47,46,37,
2026.04.15 15:02:18:542,0,0,0,0,0,-234,0,0,0,47,46,37,
2026.04.15 15:02:18:584,0,0,0,0,0,-234,0,0,0,47,46,37,
2026.04.15 15:02:18:620,0,0,0,0,0,-234,0,0,0,47,46,37,
2026.04.15 15:02:18:663,0,0,0,0,0,-235,0,0,0,47,46,37,
2026.04.15 15:02:18:705,0,0,0,0,0,-234,0,0,0,47,46,37,
2026.04.15 15:02:18:742,0,0,0,0,0,-234,0,0,0,47,46,37,
2026.04.15 15:02:18:784,0,0,0,0,0,-234,0,0,0,47,46,37,
2026.04.15 15:02:18:820,0,0,0,0,0,-234,0,0,0,47,46,37,
2026.04.15 15:02:18:863,0,0,0,0,0,-234,0,0,0,47,46,37,
2026.04.15 15:02:18:906,0,0,0,0,0,-234,0,0,0,47,46,37,
2026.04.15 15:02:18:942,0,0,0,0,0,-234,0,0,0,47,46,37,
2026.04.15 15:02:18:984,0,0,0,0,0,-234,0,0,0,47,46,37,
2026.04.15 15:02:19:021,0,0,0,0,0,-234,0,0,0,47,46,37,
2026.04.15 15:02:19:063,0,0,0,77,0,-224,0,0,0,47,46,37,
2026.04.15 15:02:19:100,0,0,0,2148,0,5,0,0,0,47,46,37,
2026.04.15 15:02:19:142,0,0,0,3696,0,493,0,0,0,47,46,37,
2026.04.15 15:02:19:185,0,0,0,3652,0,1048,0,0,0,47,46,37,
2026.04.15 15:02:19:221,0,0,0,4003,0,1512,0,0,0,47,46,37,
2026.04.15 15:02:19:263,0,0,0,3438,0,1954,0,0,0,47,46,37,
2026.04.15 15:02:19:299,0,0,0,2774,0,2221,0,0,0,47,46,37,
2026.04.15 15:02:19:342,0,0,0,1135,0,2345,0,0,0,47,46,37,
2026.04.15 15:02:19:385,0,0,0,14,0,2362,0,0,0,47,46,37,
2026.04.15 15:02:19:421,0,0,0,-11,0,2341,0,0,0,47,46,37,
2026.04.15 15:02:19:463,0,0,0,33,0,2368,0,0,0,47,46,37,
2026.04.15 15:02:19:500,0,0,0,151,0,2388,0,0,0,47,46,37,
2026.04.15 15:02:19:543,0,0,0,0,0,2398,0,0,0,47,46,37,
2026.04.15 15:02:19:584,0,0,0,0,0,2399,0,0,0,47,46,37,
2026.04.15 15:02:19:621,0,0,0,0,0,2399,0,0,0,47,46,37,
2026.04.15 15:02:19:664,0,0,0,0,0,2400,0,0,0,47,46,37,
