,2026.04.15 15:32:04
时间,电流,目标电流,滤波电流,速度,目标速度,位置,目标位置,外圈位置,扭矩,总线电压,驱动温度,电机温度
2026.04.15 15:32:04:708,0,0,0,0,520,140443,0,0,0,46,37,32,
2026.04.15 15:32:04:751,0,0,0,0,520,140443,0,0,0,46,37,32,
2026.04.15 15:32:04:787,0,0,0,0,520,140443,0,0,0,46,37,32,
2026.04.15 15:32:04:830,0,0,0,0,520,140443,0,0,0,46,37,32,
2026.04.15 15:32:04:872,0,0,0,0,520,140443,0,0,0,46,37,32,
2026.04.15 15:32:04:908,0,0,0,0,520,140443,0,0,0,46,37,32,
2026.04.15 15:32:04:951,0,0,0,0,520,140443,0,0,0,46,37,32,
2026.04.15 15:32:04:987,0,0,0,0,520,140443,0,0,0,46,37,32,
2026.04.15 15:32:05:030,0,0,0,0,520,140443,0,0,0,46,37,32,
2026.04.15 15:32:05:072,0,0,0,0,520,140443,0,0,0,46,37,32,
2026.04.15 15:32:05:108,0,0,0,0,520,140443,0,0,0,46,37,32,
2026.04.15 15:32:05:151,0,0,0,0,520,140443,0,0,0,46,37,32,
2026.04.15 15:32:05:187,0,0,0,0,520,140443,0,0,0,46,37,32,
2026.04.15 15:32:05:230,0,0,0,0,520,140443,0,0,0,46,37,32,
2026.04.15 15:32:05:266,0,0,0,0,520,140443,0,0,0,46,37,32,
2026.04.15 15:32:05:308,0,0,0,0,520,140443,0,0,0,46,37,32,
2026.04.15 15:32:05:351,0,0,0,0,520,140443,0,0,0,46,37,32,
2026.04.15 15:32:05:387,0,0,0,0,520,140443,0,0,0,46,37,32,
2026.04.15 15:32:05:430,0,0,0,0,520,140443,0,0,0,46,37,32,
2026.04.15 15:32:05:466,0,0,0,0,520,140443,0,0,0,46,37,32,
2026.04.15 15:32:05:509,0,0,0,0,520,140443,0,0,0,46,37,32,
2026.04.15 15:32:05:551,0,0,0,0,520,140443,0,0,0,46,37,32,
2026.04.15 15:32:05:588,0,0,0,0,520,140443,0,0,0,46,37,32,
2026.04.15 15:32:05:630,0,0,0,0,520,140443,0,0,0,46,37,32,
2026.04.15 15:32:05:666,0,0,0,0,520,140443,0,0,0,46,37,32,
2026.04.15 15:32:05:708,0,0,0,0,20,140443,0,0,0,46,37,32,
2026.04.15 15:32:05:745,184,0,0,0,20,140443,0,0,0,46,37,32,
2026.04.15 15:32:05:787,293,0,0,0,20,140443,0,0,0,46,37,32,
2026.04.15 15:32:05:830,420,0,0,0,20,140443,0,0,0,46,37,32,
2026.04.15 15:32:05:866,457,0,0,11,20,140460,0,0,0,46,37,32,
2026.04.15 15:32:05:909,340,0,0,31,20,140500,0,0,0,46,37,32,
2026.04.15 15:32:05:951,283,0,0,30,20,140541,0,0,0,46,37,32,
2026.04.15 15:32:05:988,321,0,0,20,20,140574,0,0,0,46,37,32,
2026.04.15 15:32:06:030,373,0,0,10,20,140604,0,0,0,46,37,32,
2026.04.15 15:32:06:066,348,0,0,21,20,140639,0,0,0,46,37,32,
2026.04.15 15:32:06:109,352,0,0,20,20,140679,0,0,0,46,37,32,
2026.04.15 15:32:06:152,363,0,0,20,20,140708,0,0,0,46,37,32,
2026.04.15 15:32:06:187,363,0,0,20,20,140727,0,0,0,46,37,32,
2026.04.15 15:32:06:224,440,0,0,10,20,140748,0,0,0,46,37,32,
2026.04.15 15:32:06:266,440,0,0,10,20,140748,0,0,0,46,37,32,
2026.04.15 15:32:06:309,442,0,0,41,40,140852,0,0,0,46,37,32,
2026.04.15 15:32:06:346,325,0,0,51,40,140918,0,0,0,46,37,32,
2026.04.15 15:32:06:388,335,0,0,40,40,140974,0,0,0,46,37,32,
2026.04.15 15:32:06:430,349,0,0,41,40,141030,0,0,0,46,37,32,
2026.04.15 15:32:06:466,414,0,0,30,40,141067,0,0,0,46,37,32,
2026.04.15 15:32:06:509,487,0,0,41,60,141130,0,0,0,46,37,32,
2026.04.15 15:32:06:545,406,0,0,61,60,141207,0,0,0,46,37,32,
2026.04.15 15:32:06:587,333,0,0,71,60,141288,0,0,0,46,37,32,
2026.04.15 15:32:06:630,366,0,0,60,60,141359,0,0,0,46,37,32,
2026.04.15 15:32:06:666,347,0,0,60,60,141427,0,0,0,46,37,32,
2026.04.15 15:32:06:709,487,0,0,51,60,141490,0,0,0,46,37,32,
2026.04.15 15:32:06:745,434,0,0,61,60,141575,0,0,0,46,37,32,
2026.04.15 15:32:06:788,373,0,0,71,60,141664,0,0,0,46,37,32,
2026.04.15 15:32:06:830,449,0,0,51,60,141750,0,0,0,46,37,32,
2026.04.15 15:32:06:867,417,0,0,61,60,141823,0,0,0,46,37,32,
2026.04.15 15:32:06:909,421,0,0,60,60,141912,0,0,0,46,37,32,
