,2026.04.15 14:59:28
时间,电流,目标电流,滤波电流,速度,目标速度,位置,目标位置,外圈位置,扭矩,总线电压,驱动温度,电机温度
2026.04.15 14:59:28:916,0,0,0,3101,0,-9016,0,0,0,47,45,37,
2026.04.15 14:59:28:958,0,0,0,2481,0,-8644,0,0,0,47,45,37,
2026.04.15 14:59:28:994,0,0,0,1480,0,-8443,0,0,0,47,45,37,
2026.04.15 14:59:29:037,0,0,0,1130,0,-8268,0,0,0,47,45,37,
2026.04.15 14:59:29:079,0,0,0,669,0,-8145,0,0,0,47,45,37,
2026.04.15 14:59:29:116,0,0,0,809,0,-8060,0,0,0,47,45,37,
2026.04.15 14:59:29:158,0,0,0,379,0,-7953,0,0,0,47,45,37,
2026.04.15 14:59:29:194,0,0,0,0,0,-7950,0,0,0,47,45,37,
2026.04.15 14:59:29:237,0,0,0,0,0,-7949,0,0,0,47,45,37,
2026.04.15 14:59:29:274,0,0,0,0,0,-7949,0,0,0,47,45,37,
2026.04.15 14:59:29:316,0,0,0,0,0,-7950,0,0,0,47,45,37,
2026.04.15 14:59:29:358,0,0,0,0,0,-7950,0,0,0,47,45,37,
2026.04.15 14:59:29:395,0,0,0,0,0,-7950,0,0,0,47,45,37,
2026.04.15 14:59:29:437,0,0,0,0,0,-7950,0,0,0,47,45,37,
2026.04.15 14:59:29:473,0,0,0,0,0,-7949,0,0,0,47,45,37,
2026.04.15 14:59:29:515,0,0,0,0,0,-7949,0,0,0,47,45,37,
2026.04.15 14:59:29:559,0,0,0,0,0,-7948,0,0,0,47,45,37,
2026.04.15 14:59:29:595,0,0,0,9,0,-7948,0,0,0,47,45,37,
2026.04.15 14:59:29:637,0,0,0,0,0,-7945,0,0,0,47,45,37,
2026.04.15 14:59:29:674,0,0,0,0,0,-7944,0,0,0,47,45,37,
2026.04.15 14:59:29:716,0,0,0,377,0,-7903,0,0,0,47,45,37,
2026.04.15 14:59:29:759,0,0,0,1257,0,-7699,0,0,0,47,45,37,
2026.04.15 14:59:29:796,0,0,0,1510,0,-7514,0,0,0,47,45,37,
2026.04.15 14:59:29:838,0,0,0,1169,0,-7339,0,0,0,47,45,37,
2026.04.15 14:59:29:874,0,0,0,655,0,-7270,0,0,0,47,45,37,
2026.04.15 14:59:29:917,0,0,0,1164,0,-7087,0,0,0,47,45,37,
