,2026.04.15 14:58:37
时间,电流,目标电流,滤波电流,速度,目标速度,位置,目标位置,外圈位置,扭矩,总线电压,驱动温度,电机温度
2026.04.15 14:58:37:307,0,0,0,0,0,-2054,0,0,0,47,45,37,
2026.04.15 14:58:37:350,0,0,0,0,0,-2054,0,0,0,47,45,37,
2026.04.15 14:58:37:386,0,0,0,0,0,-2054,0,0,0,47,45,37,
2026.04.15 14:58:37:429,0,0,0,0,0,-2054,0,0,0,47,45,37,
2026.04.15 14:58:37:465,0,0,0,0,0,-2054,0,0,0,47,45,37,
2026.04.15 14:58:37:508,0,0,0,0,0,-2054,0,0,0,47,45,37,
2026.04.15 14:58:37:550,0,0,0,0,0,-2054,0,0,0,47,45,37,
2026.04.15 14:58:37:586,0,0,0,0,0,-2054,0,0,0,47,45,37,
2026.04.15 14:58:37:629,0,0,0,0,0,-2054,0,0,0,47,45,37,
2026.04.15 14:58:37:665,0,0,0,0,0,-2054,0,0,0,47,45,37,
2026.04.15 14:58:37:707,0,0,0,0,0,-2054,0,0,0,47,45,37,
2026.04.15 14:58:37:750,0,0,0,0,0,-2054,0,0,0,47,45,37,
2026.04.15 14:58:37:787,0,0,0,0,0,-2054,0,0,0,47,45,37,
2026.04.15 14:58:37:829,0,0,0,0,0,-2054,0,0,0,47,45,37,
2026.04.15 14:58:37:865,0,0,0,0,0,-2054,0,0,0,47,45,37,
2026.04.15 14:58:37:908,0,0,0,0,0,-2054,0,0,0,47,45,37,
2026.04.15 14:58:37:950,0,0,0,0,0,-2054,0,0,0,47,45,37,
2026.04.15 14:58:37:987,0,0,0,0,0,-2054,0,0,0,47,45,37,
2026.04.15 14:58:38:030,0,0,0,0,0,-2054,0,0,0,47,45,37,
