,2026.04.15 14:58:35
时间,电流,目标电流,滤波电流,速度,目标速度,位置,目标位置,外圈位置,扭矩,总线电压,驱动温度,电机温度
2026.04.15 14:58:35:893,0,0,0,0,0,-2054,0,0,0,47,45,37,
2026.04.15 14:58:35:936,0,0,0,0,0,-2054,0,0,0,47,45,37,
2026.04.15 14:58:35:972,0,0,0,0,0,-2054,0,0,0,47,45,37,
2026.04.15 14:58:36:015,0,0,0,0,0,-2053,0,0,0,47,45,37,
2026.04.15 14:58:36:051,0,0,0,0,0,-2053,0,0,0,47,45,37,
2026.04.15 14:58:36:094,0,0,0,0,0,-2053,0,0,0,47,45,37,
2026.04.15 14:58:36:136,0,0,0,0,0,-2053,0,0,0,47,45,37,
2026.04.15 14:58:36:173,0,0,0,0,0,-2053,0,0,0,47,45,37,
2026.04.15 14:58:36:215,0,0,0,0,0,-2053,0,0,0,47,45,37,
2026.04.15 14:58:36:252,0,0,0,0,0,-2053,0,0,0,47,45,37,
2026.04.15 14:58:36:294,0,0,0,0,0,-2053,0,0,0,47,45,37,
2026.04.15 14:58:36:336,0,0,0,0,0,-2053,0,0,0,47,45,37,
2026.04.15 14:58:36:373,0,0,0,0,0,-2053,0,0,0,47,45,37,
2026.04.15 14:58:36:415,0,0,0,0,0,-2053,0,0,0,47,45,37,
2026.04.15 14:58:36:452,0,0,0,0,0,-2053,0,0,0,47,45,37,
2026.04.15 14:58:36:494,0,0,0,0,0,-2053,0,0,0,47,45,37,
2026.04.15 14:58:36:537,0,0,0,0,0,-2053,0,0,0,47,45,37,
2026.04.15 14:58:36:573,0,0,0,0,0,-2054,0,0,0,47,45,37,
