,2026.04.15 14:58:38
时间,电流,目标电流,滤波电流,速度,目标速度,位置,目标位置,外圈位置,扭矩,总线电压,驱动温度,电机温度
2026.04.15 14:58:38:533,0,0,0,0,0,-2055,0,0,0,47,45,37,
2026.04.15 14:58:38:575,0,0,0,0,0,-2055,0,0,0,47,45,37,
2026.04.15 14:58:38:611,0,0,0,0,0,-2055,0,0,0,47,45,37,
2026.04.15 14:58:38:654,0,0,0,0,0,-2055,0,0,0,47,45,37,
2026.04.15 14:58:38:690,0,0,0,0,0,-2055,0,0,0,47,45,37,
2026.04.15 14:58:38:733,0,0,0,0,0,-2055,0,0,0,47,45,37,
2026.04.15 14:58:38:775,0,0,0,0,0,-2055,0,0,0,47,45,37,
2026.04.15 14:58:38:812,0,0,0,0,0,-2055,0,0,0,47,45,37,
2026.04.15 14:58:38:854,0,0,0,0,0,-2055,0,0,0,47,45,37,
2026.04.15 14:58:38:891,0,0,0,0,0,-2055,0,0,0,47,45,37,
2026.04.15 14:58:38:933,0,0,0,0,0,-2055,0,0,0,47,45,37,
2026.04.15 14:58:38:975,0,0,0,0,0,-2055,0,0,0,47,45,37,
2026.04.15 14:58:39:012,0,0,0,0,0,-2055,0,0,0,47,45,37,
2026.04.15 14:58:39:054,0,0,0,0,0,-2055,0,0,0,47,45,37,
2026.04.15 14:58:39:091,0,0,0,0,0,-2055,0,0,0,47,45,37,
2026.04.15 14:58:39:133,0,0,0,0,0,-2055,0,0,0,47,45,37,
2026.04.15 14:58:39:176,0,0,0,0,0,-2055,0,0,0,47,45,37,
2026.04.15 14:58:39:212,0,0,0,0,0,-2055,0,0,0,47,45,37,
2026.04.15 14:58:39:254,0,0,0,0,0,-2055,0,0,0,47,45,37,
2026.04.15 14:58:39:291,0,0,0,0,0,-2055,0,0,0,47,45,37,
2026.04.15 14:58:39:333,0,0,0,0,0,-2055,0,0,0,47,45,37,
2026.04.15 14:58:39:376,0,0,0,0,0,-2055,0,0,0,47,45,37,
2026.04.15 14:58:39:412,0,0,0,0,0,-2055,0,0,0,47,45,37,
2026.04.15 14:58:39:454,0,0,0,0,0,-2055,0,0,0,47,45,37,
2026.04.15 14:58:39:491,0,0,0,0,0,-2055,0,0,0,47,45,37,
2026.04.15 14:58:39:534,0,0,0,0,0,-2055,0,0,0,47,45,37,
2026.04.15 14:58:39:576,0,0,0,0,0,-2056,0,0,0,47,45,37,
2026.04.15 14:58:39:612,0,0,0,0,0,-2056,0,0,0,47,45,37,
2026.04.15 14:58:39:655,0,0,0,0,0,-2056,0,0,0,47,45,37,
2026.04.15 14:58:39:691,0,0,0,0,0,-2056,0,0,0,47,45,37,
2026.04.15 14:58:39:734,0,0,0,0,0,-2056,0,0,0,47,45,37,
2026.04.15 14:58:39:776,0,0,0,0,0,-2056,0,0,0,47,45,37,
2026.04.15 14:58:39:813,0,0,0,0,0,-2057,0,0,0,47,45,37,
2026.04.15 14:58:39:855,0,0,0,0,0,-2057,0,0,0,47,45,37,
2026.04.15 14:58:39:892,0,0,0,0,0,-2057,0,0,0,47,45,37,
2026.04.15 14:58:39:934,0,0,0,0,0,-2056,0,0,0,47,45,37,
2026.04.15 14:58:39:970,0,0,0,0,0,-2056,0,0,0,47,45,37,
2026.04.15 14:58:40:013,0,0,0,0,0,-2056,0,0,0,47,45,37,
2026.04.15 14:58:40:056,0,0,0,0,0,-2056,0,0,0,47,45,37,
2026.04.15 14:58:40:092,0,0,0,0,0,-2056,0,0,0,47,45,37,
2026.04.15 14:58:40:134,0,0,0,0,0,-2056,0,0,0,47,45,37,
2026.04.15 14:58:40:170,0,0,0,0,0,-2056,0,0,0,47,45,37,
2026.04.15 14:58:40:213,0,0,0,0,0,-2056,0,0,0,47,45,37,
2026.04.15 14:58:40:255,0,0,0,0,0,-2056,0,0,0,47,45,37,
2026.04.15 14:58:40:292,0,0,0,0,0,-2056,0,0,0,47,45,37,
2026.04.15 14:58:40:334,0,0,0,0,0,-2056,0,0,0,47,45,37,
2026.04.15 14:58:40:371,0,0,0,0,0,-2056,0,0,0,47,45,37,
2026.04.15 14:58:40:413,0,0,0,0,0,-2056,0,0,0,47,45,37,
2026.04.15 14:58:40:456,0,0,0,0,0,-2056,0,0,0,47,45,37,
2026.04.15 14:58:40:492,0,0,0,0,0,-2056,0,0,0,47,45,37,
2026.04.15 14:58:40:535,0,0,0,0,0,-2056,0,0,0,47,45,37,
2026.04.15 14:58:40:571,0,0,0,0,0,-2056,0,0,0,47,45,37,
2026.04.15 14:58:40:613,0,0,0,0,0,-2056,0,0,0,47,45,37,
2026.04.15 14:58:40:656,0,0,0,0,0,-2056,0,0,0,47,45,37,
2026.04.15 14:58:40:692,0,0,0,0,0,-2056,0,0,0,47,45,37,
2026.04.15 14:58:40:735,0,0,0,0,0,-2056,0,0,0,47,45,37,
2026.04.15 14:58:40:771,0,0,0,0,0,-2056,0,0,0,47,45,37,
2026.04.15 14:58:40:813,0,0,0,0,0,-2056,0,0,0,47,45,37,
2026.04.15 14:58:40:850,0,0,0,0,0,-2056,0,0,0,47,45,37,
2026.04.15 14:58:40:893,0,0,0,0,0,-2056,0,0,0,47,45,37,
2026.04.15 14:58:40:935,0,0,0,0,0,-2056,0,0,0,47,45,37,
2026.04.15 14:58:40:972,0,0,0,0,0,-2056,0,0,0,47,45,37,
2026.04.15 14:58:41:014,0,0,0,0,0,-2056,0,0,0,47,45,37,
2026.04.15 14:58:41:051,0,0,0,0,0,-2056,0,0,0,47,45,37,
2026.04.15 14:58:41:093,0,0,0,0,0,-2056,0,0,0,47,45,37,
2026.04.15 14:58:41:135,0,0,0,0,0,-2056,0,0,0,47,45,37,
2026.04.15 14:58:41:172,0,0,0,0,0,-2056,0,0,0,47,45,37,
2026.04.15 14:58:41:214,0,0,0,0,0,-2056,0,0,0,47,45,37,
2026.04.15 14:58:41:251,0,0,0,0,0,-2056,0,0,0,47,45,37,
2026.04.15 14:58:41:293,0,0,0,0,0,-2056,0,0,0,47,45,37,
2026.04.15 14:58:41:335,0,0,0,0,0,-2056,0,0,0,47,45,37,
2026.04.15 14:58:41:372,0,0,0,0,0,-2056,0,0,0,47,45,37,
2026.04.15 14:58:41:414,0,0,0,0,0,-2056,0,0,0,47,45,37,
2026.04.15 14:58:41:451,0,0,0,0,0,-2056,0,0,0,47,45,37,
2026.04.15 14:58:41:493,0,0,0,0,0,-2056,0,0,0,47,45,37,
2026.04.15 14:58:41:536,0,0,0,0,0,-2056,0,0,0,47,45,37,
2026.04.15 14:58:41:572,0,0,0,0,0,-2056,0,0,0,47,45,37,
2026.04.15 14:58:41:614,0,0,0,0,0,-2056,0,0,0,47,45,37,
2026.04.15 14:58:41:651,0,0,0,0,0,-2056,0,0,0,47,45,37,
2026.04.15 14:58:41:694,0,0,0,0,0,-2056,0,0,0,47,45,37,
2026.04.15 14:58:41:736,0,0,0,0,0,-2056,0,0,0,47,45,37,
2026.04.15 14:58:41:772,0,0,0,0,0,-2056,0,0,0,47,45,37,
2026.04.15 14:58:41:815,0,0,0,0,0,-2056,0,0,0,47,45,37,
2026.04.15 14:58:41:851,0,0,0,0,0,-2056,0,0,0,47,45,37,
2026.04.15 14:58:41:893,0,0,0,0,0,-2056,0,0,0,47,45,37,
2026.04.15 14:58:41:935,0,0,0,0,0,-2056,0,0,0,47,45,37,
2026.04.15 14:58:41:972,0,0,0,0,0,-2056,0,0,0,47,45,37,
2026.04.15 14:58:42:015,0,0,0,0,0,-2056,0,0,0,47,45,37,
2026.04.15 14:58:42:051,0,0,0,0,0,-2056,0,0,0,47,45,37,
2026.04.15 14:58:42:094,0,0,0,0,0,-2056,0,0,0,47,45,37,
2026.04.15 14:58:42:136,0,0,0,0,0,-2056,0,0,0,47,45,37,
2026.04.15 14:58:42:173,0,0,0,0,0,-2056,0,0,0,47,45,37,
2026.04.15 14:58:42:215,0,0,0,0,0,-2057,0,0,0,47,45,37,
2026.04.15 14:58:42:252,0,0,0,0,0,-2057,0,0,0,47,45,37,
2026.04.15 14:58:42:294,0,0,0,0,0,-2057,0,0,0,47,45,37,
2026.04.15 14:58:42:330,0,0,0,0,0,-2057,0,0,0,47,45,37,
2026.04.15 14:58:42:373,0,0,0,0,0,-2057,0,0,0,47,45,37,
2026.04.15 14:58:42:416,0,0,0,0,0,-2057,0,0,0,47,45,37,
2026.04.15 14:58:42:452,0,0,0,0,0,-2057,0,0,0,47,45,37,
2026.04.15 14:58:42:495,0,0,0,0,0,-2057,0,0,0,47,45,37,
2026.04.15 14:58:42:531,0,0,0,0,0,-2057,0,0,0,47,45,37,
2026.04.15 14:58:42:573,0,0,0,0,0,-2057,0,0,0,47,45,37,
2026.04.15 14:58:42:615,0,0,0,0,0,-2057,0,0,0,47,45,37,
2026.04.15 14:58:42:652,0,0,0,0,0,-2057,0,0,0,47,45,37,
2026.04.15 14:58:42:695,0,0,0,0,0,-2057,0,0,0,47,45,37,
2026.04.15 14:58:42:731,0,0,0,0,0,-2057,0,0,0,47,45,37,
2026.04.15 14:58:42:773,0,0,0,0,0,-2056,0,0,0,47,45,37,
2026.04.15 14:58:42:816,0,0,0,0,0,-2056,0,0,0,47,45,37,
2026.04.15 14:58:42:852,0,0,0,0,0,-2056,0,0,0,47,45,37,
2026.04.15 14:58:42:894,0,0,0,0,0,-2056,0,0,0,47,45,37,
2026.04.15 14:58:42:931,0,0,0,0,0,-2056,0,0,0,47,45,37,
2026.04.15 14:58:42:974,0,0,0,0,0,-2056,0,0,0,47,45,37,
2026.04.15 14:58:43:016,0,0,0,0,0,-2056,0,0,0,47,45,37,
2026.04.15 14:58:43:053,0,0,0,0,0,-2056,0,0,0,47,45,37,
2026.04.15 14:58:43:095,0,0,0,0,0,-2056,0,0,0,47,45,37,
2026.04.15 14:58:43:131,0,0,0,0,0,-2056,0,0,0,47,45,37,
2026.04.15 14:58:43:174,0,0,0,0,0,-2056,0,0,0,47,45,37,
2026.04.15 14:58:43:210,0,0,0,0,0,-2056,0,0,0,47,45,37,
2026.04.15 14:58:43:253,0,0,0,0,0,-2056,0,0,0,47,45,37,
2026.04.15 14:58:43:295,0,0,0,0,0,-2056,0,0,0,47,45,37,
2026.04.15 14:58:43:331,0,0,0,0,0,-2056,0,0,0,47,45,37,
2026.04.15 14:58:43:374,0,0,0,0,0,-2056,0,0,0,47,45,37,
2026.04.15 14:58:43:410,0,0,0,0,0,-2056,0,0,0,47,45,37,
2026.04.15 14:58:43:453,0,0,0,0,0,-2056,0,0,0,47,45,37,
2026.04.15 14:58:43:496,0,0,0,0,0,-2056,0,0,0,47,45,37,
2026.04.15 14:58:43:532,0,0,0,0,0,-2056,0,0,0,47,45,37,
2026.04.15 14:58:43:574,0,0,0,0,0,-2056,0,0,0,47,45,37,
2026.04.15 14:58:43:610,0,0,0,0,0,-2056,0,0,0,47,45,37,
2026.04.15 14:58:43:653,0,0,0,0,0,-2056,0,0,0,47,45,37,
2026.04.15 14:58:43:696,0,0,0,0,0,-2056,0,0,0,47,45,37,
2026.04.15 14:58:43:732,0,0,0,0,0,-2056,0,0,0,47,45,37,
2026.04.15 14:58:43:774,0,0,0,0,0,-2056,0,0,0,47,45,37,
2026.04.15 14:58:43:811,0,0,0,0,0,-2056,0,0,0,47,45,37,
2026.04.15 14:58:43:853,0,0,0,0,0,-2056,0,0,0,47,45,37,
2026.04.15 14:58:43:895,0,0,0,0,0,-2056,0,0,0,47,45,37,
2026.04.15 14:58:43:932,0,0,0,0,0,-2056,0,0,0,47,45,37,
2026.04.15 14:58:43:974,0,0,0,0,0,-2056,0,0,0,47,45,37,
2026.04.15 14:58:44:011,0,0,0,0,0,-2056,0,0,0,47,45,37,
2026.04.15 14:58:44:053,0,0,0,0,0,-2057,0,0,0,47,45,37,
2026.04.15 14:58:44:096,0,0,0,0,0,-2057,0,0,0,47,45,37,
2026.04.15 14:58:44:133,0,0,0,0,0,-2057,0,0,0,47,45,37,
2026.04.15 14:58:44:175,0,0,0,0,0,-2057,0,0,0,47,45,37,
2026.04.15 14:58:44:211,0,0,0,0,0,-2057,0,0,0,47,45,37,
2026.04.15 14:58:44:254,0,0,0,0,0,-2057,0,0,0,47,45,37,
2026.04.15 14:58:44:290,0,0,0,0,0,-2057,0,0,0,47,45,37,
2026.04.15 14:58:44:332,0,0,0,0,0,-2057,0,0,0,47,45,37,
2026.04.15 14:58:44:375,0,0,0,0,0,-2057,0,0,0,47,45,37,
2026.04.15 14:58:44:411,0,0,0,0,0,-2057,0,0,0,47,45,37,
2026.04.15 14:58:44:453,0,0,0,0,0,-2057,0,0,0,47,45,37,
2026.04.15 14:58:44:496,0,0,0,0,0,-2057,0,0,0,47,45,37,
2026.04.15 14:58:44:533,0,0,0,0,0,-2057,0,0,0,47,45,37,
2026.04.15 14:58:44:575,0,0,0,0,0,-2057,0,0,0,47,45,37,
2026.04.15 14:58:44:611,0,0,0,0,0,-2057,0,0,0,47,45,37,
2026.04.15 14:58:44:654,0,0,0,0,0,-2057,0,0,0,47,45,37,
2026.04.15 14:58:44:691,0,0,0,0,0,-2057,0,0,0,47,45,37,
2026.04.15 14:58:44:733,0,0,0,0,0,-2057,0,0,0,47,45,37,
2026.04.15 14:58:44:775,0,0,0,0,0,-2057,0,0,0,47,45,37,
2026.04.15 14:58:44:812,0,0,0,0,0,-2057,0,0,0,47,45,37,
2026.04.15 14:58:44:854,0,0,0,0,0,-2057,0,0,0,47,45,37,
2026.04.15 14:58:44:891,0,0,0,0,0,-2057,0,0,0,47,45,37,
2026.04.15 14:58:44:933,0,0,0,0,0,-2057,0,0,0,47,45,37,
2026.04.15 14:58:44:975,0,0,0,0,0,-2057,0,0,0,47,45,37,
2026.04.15 14:58:45:012,0,0,0,0,0,-2057,0,0,0,47,45,37,
2026.04.15 14:58:45:055,0,0,0,0,0,-2057,0,0,0,47,45,37,
2026.04.15 14:58:45:091,0,0,0,0,0,-2057,0,0,0,47,45,37,
2026.04.15 14:58:45:133,0,0,0,0,0,-2056,0,0,0,47,45,37,
2026.04.15 14:58:45:176,0,0,0,0,0,-2057,0,0,0,47,45,37,
2026.04.15 14:58:45:212,0,0,0,0,0,-2056,0,0,0,47,45,37,
2026.04.15 14:58:45:255,0,0,0,0,0,-2056,0,0,0,47,45,37,
2026.04.15 14:58:45:291,0,0,0,0,0,-2056,0,0,0,47,45,37,
2026.04.15 14:58:45:333,0,0,0,0,0,-2056,0,0,0,47,45,37,
2026.04.15 14:58:45:370,0,0,0,0,0,-2056,0,0,0,47,45,37,
2026.04.15 14:58:45:412,0,0,0,0,0,-2056,0,0,0,47,45,37,
2026.04.15 14:58:45:454,0,0,0,0,0,-2056,0,0,0,47,45,37,
