,2026.04.15 15:32:34
时间,电流,目标电流,滤波电流,速度,目标速度,位置,目标位置,外圈位置,扭矩,总线电压,驱动温度,电机温度
2026.04.15 15:32:34:107,0,0,0,0,0,-63095,0,0,0,46,41,35,
2026.04.15 15:32:34:149,0,0,0,0,0,-63095,0,0,0,46,41,35,
2026.04.15 15:32:34:186,0,0,0,0,0,-63095,0,0,0,46,41,35,
2026.04.15 15:32:34:228,0,0,0,0,0,-63095,0,0,0,46,41,35,
2026.04.15 15:32:34:265,0,0,0,0,0,-63095,0,0,0,46,41,35,
2026.04.15 15:32:34:307,0,0,0,0,0,-63095,0,0,0,46,41,35,
2026.04.15 15:32:34:349,0,0,0,0,0,-63095,0,0,0,46,41,35,
2026.04.15 15:32:34:386,0,0,0,0,0,-63095,0,0,0,46,41,35,
2026.04.15 15:32:34:429,0,0,0,0,0,-63095,0,0,0,46,41,35,
2026.04.15 15:32:34:465,0,0,0,0,0,-63095,0,0,0,46,41,35,
2026.04.15 15:32:34:507,0,0,0,0,0,-63095,0,0,0,46,41,35,
2026.04.15 15:32:34:550,0,0,0,0,0,-63095,0,0,0,46,41,35,
2026.04.15 15:32:34:586,0,0,0,0,0,-63095,0,0,0,46,41,35,
2026.04.15 15:32:34:629,0,0,0,0,0,-63095,0,0,0,46,41,35,
2026.04.15 15:32:34:665,0,0,0,0,0,-63095,0,0,0,46,41,35,
2026.04.15 15:32:34:708,0,0,0,0,0,-63095,0,0,0,46,41,35,
2026.04.15 15:32:34:750,0,0,0,0,0,-63095,0,0,0,46,41,35,
2026.04.15 15:32:34:789,0,0,0,0,0,-63095,0,0,0,46,41,35,
2026.04.15 15:32:34:829,0,0,0,0,0,-63095,0,0,0,46,41,35,
2026.04.15 15:32:34:865,0,0,0,0,0,-63095,0,0,0,46,41,35,
2026.04.15 15:32:34:908,0,0,0,0,0,-63095,0,0,0,46,41,35,
2026.04.15 15:32:34:950,0,0,0,0,0,-63095,0,0,0,46,41,35,
2026.04.15 15:32:34:986,0,0,0,0,0,-63095,0,0,0,46,41,35,
2026.04.15 15:32:35:029,0,0,0,0,0,-63095,0,0,0,46,41,35,
2026.04.15 15:32:35:066,0,0,0,0,0,-63095,0,0,0,46,41,35,
2026.04.15 15:32:35:108,0,0,0,0,0,-63095,0,0,0,46,41,35,
2026.04.15 15:32:35:151,0,0,0,0,0,-63095,0,0,0,46,41,35,
2026.04.15 15:32:35:187,0,0,0,0,0,-63095,0,0,0,46,41,35,
2026.04.15 15:32:35:223,0,0,0,0,0,-63095,0,0,0,46,41,35,
2026.04.15 15:32:35:267,0,0,0,0,0,-63095,0,0,0,46,41,35,
2026.04.15 15:32:35:308,0,0,0,0,0,-63095,0,0,0,46,41,35,
2026.04.15 15:32:35:350,0,0,0,0,0,-63095,0,0,0,46,41,35,
2026.04.15 15:32:35:387,0,0,0,0,0,-63095,0,0,0,46,41,35,
2026.04.15 15:32:35:429,0,0,0,0,0,-63095,0,0,0,46,41,35,
2026.04.15 15:32:35:466,0,0,0,0,0,-63095,0,0,0,46,41,35,
2026.04.15 15:32:35:509,0,0,0,0,0,-63095,0,0,0,46,41,35,
2026.04.15 15:32:35:551,0,0,0,0,0,-63095,0,0,0,46,41,35,
2026.04.15 15:32:35:587,0,0,0,0,0,-63095,0,0,0,46,41,35,
2026.04.15 15:32:35:630,0,0,0,0,0,-63095,0,0,0,46,41,35,
2026.04.15 15:32:35:666,0,0,0,0,0,-63095,0,0,0,46,41,35,
2026.04.15 15:32:35:709,0,0,0,0,0,-63095,0,0,0,46,41,35,
2026.04.15 15:32:35:745,0,0,0,0,0,-63095,0,0,0,46,41,35,
2026.04.15 15:32:35:788,0,0,0,0,0,-63095,0,0,0,46,41,35,
2026.04.15 15:32:35:830,0,0,0,0,0,-63095,0,0,0,46,41,35,
2026.04.15 15:32:35:866,0,0,0,0,0,-63095,0,0,0,46,41,35,
2026.04.15 15:32:35:909,0,0,0,0,0,-63095,0,0,0,46,41,35,
2026.04.15 15:32:35:945,0,0,0,0,0,-63095,0,0,0,46,41,35,
2026.04.15 15:32:35:988,0,0,0,0,0,-63095,0,0,0,46,41,35,
2026.04.15 15:32:36:031,0,0,0,0,0,-63095,0,0,0,46,41,35,
2026.04.15 15:32:36:067,0,0,0,0,0,-63095,0,0,0,46,41,35,
2026.04.15 15:32:36:109,0,0,0,0,0,-63095,0,0,0,46,41,35,
2026.04.15 15:32:36:146,0,0,0,0,0,-63095,0,0,0,46,41,35,
2026.04.15 15:32:36:188,0,0,0,0,0,-63095,0,0,0,46,41,35,
2026.04.15 15:32:36:231,0,0,0,0,0,-63095,0,0,0,46,41,35,
2026.04.15 15:32:36:267,0,0,0,0,0,-63095,0,0,0,46,41,35,
2026.04.15 15:32:36:309,0,0,0,0,0,-63095,0,0,0,46,41,35,
2026.04.15 15:32:36:346,0,0,0,0,0,-63095,0,0,0,46,41,35,
2026.04.15 15:32:36:388,0,0,0,0,0,-63095,0,0,0,46,41,35,
2026.04.15 15:32:36:431,0,0,0,0,0,-63095,0,0,0,46,41,35,
2026.04.15 15:32:36:467,0,0,0,0,0,-63096,0,0,0,46,41,35,
2026.04.15 15:32:36:509,0,0,0,0,0,-63096,0,0,0,46,41,35,
2026.04.15 15:32:36:546,0,0,0,0,0,-63096,0,0,0,46,41,35,
2026.04.15 15:32:36:589,0,0,0,0,0,-63096,0,0,0,46,41,35,
2026.04.15 15:32:36:625,0,0,0,0,0,-63096,0,0,0,46,41,35,
2026.04.15 15:32:36:668,0,0,0,0,0,-63096,0,0,0,46,41,35,
2026.04.15 15:32:36:710,0,0,0,0,0,-63096,0,0,0,46,41,35,
2026.04.15 15:32:36:746,0,0,0,0,0,-63096,0,0,0,46,41,35,
2026.04.15 15:32:36:789,0,0,0,0,0,-63096,0,0,0,46,41,35,
2026.04.15 15:32:36:825,0,0,0,0,0,-63096,0,0,0,46,41,35,
2026.04.15 15:32:36:868,0,0,0,0,0,-63096,0,0,0,46,41,35,
2026.04.15 15:32:36:910,0,0,0,0,0,-63096,0,0,0,46,41,35,
2026.04.15 15:32:36:946,0,0,0,0,0,-63096,0,0,0,46,41,35,
2026.04.15 15:32:36:989,0,0,0,0,0,-63096,0,0,0,46,41,35,
2026.04.15 15:32:37:025,0,0,0,0,0,-63096,0,0,0,46,41,35,
2026.04.15 15:32:37:068,0,0,0,0,0,-63096,0,0,0,46,41,35,
2026.04.15 15:32:37:110,0,0,0,0,0,-63096,0,0,0,46,41,35,
2026.04.15 15:32:37:147,0,0,0,0,0,-63096,0,0,0,46,41,35,
2026.04.15 15:32:37:189,0,0,0,0,0,-63096,0,0,0,46,41,35,
2026.04.15 15:32:37:226,0,0,0,0,0,-63096,0,0,0,46,41,35,
2026.04.15 15:32:37:269,0,0,0,0,0,-63096,0,0,0,46,41,35,
