,2026.04.15 15:30:18
时间,电流,目标电流,滤波电流,速度,目标速度,位置,目标位置,外圈位置,扭矩,总线电压,驱动温度,电机温度
2026.04.15 15:30:19:018,0,0,-873,0,-360,-307,0,0,0,47,47,39,
2026.04.15 15:30:19:056,0,0,-873,0,-360,-307,0,0,0,47,47,39,
2026.04.15 15:30:19:096,0,0,-873,0,-360,-307,0,0,0,47,47,39,
2026.04.15 15:30:19:132,0,0,-873,0,-360,-307,0,0,0,47,47,39,
2026.04.15 15:30:19:175,0,0,-873,0,-360,-307,0,0,0,47,47,39,
2026.04.15 15:30:19:221,0,0,-873,0,-360,-308,0,0,0,47,47,39,
2026.04.15 15:30:19:254,0,0,-873,0,-360,-308,0,0,0,47,47,39,
2026.04.15 15:30:19:297,0,0,-873,0,-360,-308,0,0,0,47,47,39,
2026.04.15 15:30:19:333,0,0,-873,0,-360,-308,0,0,0,47,47,39,
2026.04.15 15:30:19:376,0,0,-873,0,-360,-308,0,0,0,47,47,39,
2026.04.15 15:30:19:418,0,0,-873,0,-360,-308,0,0,0,47,47,39,
2026.04.15 15:30:19:454,0,0,-873,0,-360,-308,0,0,0,47,47,39,
2026.04.15 15:30:19:497,0,0,-873,0,-360,-308,0,0,0,47,47,39,
2026.04.15 15:30:19:533,0,0,-873,0,-360,-308,0,0,0,47,47,39,
2026.04.15 15:30:19:576,0,0,-873,0,-360,-308,0,0,0,47,47,39,
2026.04.15 15:30:19:618,0,0,-873,0,-360,-308,0,0,0,47,47,39,
2026.04.15 15:30:19:654,0,0,-873,0,-360,-308,0,0,0,47,47,39,
2026.04.15 15:30:19:699,0,0,-873,0,-360,-308,0,0,0,47,47,39,
2026.04.15 15:30:19:733,0,0,-873,0,-360,-308,0,0,0,47,47,39,
2026.04.15 15:30:19:776,0,0,-873,0,-360,-308,0,0,0,47,47,39,
2026.04.15 15:30:19:813,0,0,-873,0,-360,-308,0,0,0,47,47,39,
2026.04.15 15:30:19:855,0,0,-873,0,-360,-308,0,0,0,47,47,39,
2026.04.15 15:30:19:898,0,0,-873,0,-360,-308,0,0,0,47,47,39,
2026.04.15 15:30:19:935,0,0,-873,0,-360,-308,0,0,0,47,47,39,
2026.04.15 15:30:19:977,0,0,-873,0,-360,-308,0,0,0,47,47,39,
2026.04.15 15:30:20:013,0,0,-873,0,-360,-307,0,0,0,47,47,39,
2026.04.15 15:30:20:055,0,0,-873,0,-360,-307,0,0,0,47,47,39,
2026.04.15 15:30:20:097,0,0,-873,0,-360,-307,0,0,0,47,47,39,
2026.04.15 15:30:20:135,0,0,-873,0,-360,-307,0,0,0,47,47,39,
2026.04.15 15:30:20:177,0,0,-873,0,-360,-307,0,0,0,47,47,39,
2026.04.15 15:30:20:213,0,0,-873,0,-360,-307,0,0,0,47,47,39,
2026.04.15 15:30:20:255,0,0,-873,0,-360,-307,0,0,0,47,47,39,
2026.04.15 15:30:20:298,0,0,-873,0,-360,-307,0,0,0,47,47,39,
2026.04.15 15:30:20:334,0,0,-873,0,-360,-307,0,0,0,47,47,39,
2026.04.15 15:30:20:377,0,0,-873,0,-360,-308,0,0,0,47,47,39,
2026.04.15 15:30:20:413,0,0,-873,0,-360,-308,0,0,0,47,47,39,
2026.04.15 15:30:20:456,0,0,-873,0,-360,-308,0,0,0,47,47,39,
2026.04.15 15:30:20:498,0,0,-873,0,-360,-308,0,0,0,47,47,39,
2026.04.15 15:30:20:535,0,0,-873,0,-360,-308,0,0,0,47,47,39,
2026.04.15 15:30:20:577,0,0,-873,0,-360,-308,0,0,0,47,47,39,
2026.04.15 15:30:20:614,0,0,-873,0,-360,-308,0,0,0,47,47,39,
2026.04.15 15:30:20:656,0,0,-873,0,-360,-308,0,0,0,47,47,39,
2026.04.15 15:30:20:692,0,0,-873,0,-360,-308,0,0,0,47,47,39,
2026.04.15 15:30:20:735,0,0,-873,0,-360,-308,0,0,0,47,47,39,
2026.04.15 15:30:20:777,0,0,-873,0,-360,-308,0,0,0,47,47,39,
2026.04.15 15:30:20:813,0,0,-873,0,-360,-308,0,0,0,47,47,39,
2026.04.15 15:30:20:856,0,0,-873,0,-360,-308,0,0,0,47,47,39,
2026.04.15 15:30:20:899,0,0,-873,0,-360,-308,0,0,0,47,47,39,
2026.04.15 15:30:20:935,0,0,-873,0,-360,-308,0,0,0,47,47,39,
2026.04.15 15:30:20:978,0,0,-873,0,-360,-308,0,0,0,47,47,39,
2026.04.15 15:30:21:014,0,0,-873,0,-360,-308,0,0,0,47,47,39,
2026.04.15 15:30:21:056,0,0,-873,0,-360,-308,0,0,0,47,47,39,
2026.04.15 15:30:21:093,0,0,-873,0,-360,-308,0,0,0,47,47,39,
2026.04.15 15:30:21:135,0,0,-873,0,-360,-308,0,0,0,47,47,39,
2026.04.15 15:30:21:177,0,0,-873,0,-360,-308,0,0,0,47,47,39,
2026.04.15 15:30:21:214,0,0,-873,0,-360,-308,0,0,0,47,47,39,
2026.04.15 15:30:21:256,0,0,-873,0,-360,-308,0,0,0,47,47,39,
2026.04.15 15:30:21:293,0,0,-873,0,-360,-308,0,0,0,47,47,39,
2026.04.15 15:30:21:336,0,0,-873,0,-360,-308,0,0,0,47,47,39,
2026.04.15 15:30:21:378,0,0,-873,0,-360,-308,0,0,0,47,47,39,
2026.04.15 15:30:21:414,0,0,-873,0,-360,-308,0,0,0,47,47,39,
2026.04.15 15:30:21:457,0,0,-873,0,-360,-308,0,0,0,47,47,39,
2026.04.15 15:30:21:493,0,0,-873,0,-360,-308,0,0,0,47,47,39,
2026.04.15 15:30:21:536,0,0,-873,0,-360,-308,0,0,0,47,47,39,
2026.04.15 15:30:21:578,0,0,-873,0,-360,-308,0,0,0,47,47,39,
2026.04.15 15:30:21:615,0,0,-873,0,-360,-308,0,0,0,47,47,39,
2026.04.15 15:30:21:657,0,0,-873,0,-360,-308,0,0,0,47,47,39,
2026.04.15 15:30:21:693,0,0,-873,0,-360,-308,0,0,0,47,47,39,
2026.04.15 15:30:21:736,0,0,-873,0,-360,-308,0,0,0,47,47,39,
2026.04.15 15:30:21:778,0,0,-873,0,-360,-308,0,0,0,47,47,39,
2026.04.15 15:30:21:815,0,0,-873,0,-360,-308,0,0,0,47,47,39,
2026.04.15 15:30:21:858,0,0,-873,0,-360,-308,0,0,0,47,47,39,
2026.04.15 15:30:21:894,0,0,-873,0,-360,-308,0,0,0,47,47,39,
2026.04.15 15:30:21:936,0,0,-873,0,-360,-308,0,0,0,47,47,39,
2026.04.15 15:30:21:973,0,0,-873,0,-360,-308,0,0,0,47,47,39,
2026.04.15 15:30:22:015,0,0,-873,0,-360,-308,0,0,0,47,47,39,
2026.04.15 15:30:22:057,0,0,-873,0,-360,-308,0,0,0,47,47,39,
2026.04.15 15:30:22:094,0,0,-873,0,-360,-308,0,0,0,47,47,39,
2026.04.15 15:30:22:136,0,0,-873,0,-360,-308,0,0,0,47,47,39,
2026.04.15 15:30:22:173,0,0,-873,0,-360,-308,0,0,0,47,47,39,
2026.04.15 15:30:22:215,0,0,-873,0,-360,-308,0,0,0,47,47,39,
2026.04.15 15:30:22:258,0,0,-873,0,-360,-308,0,0,0,47,47,39,
2026.04.15 15:30:22:294,0,0,-873,0,-360,-308,0,0,0,47,47,39,
2026.04.15 15:30:22:336,0,0,-873,0,-360,-308,0,0,0,47,47,39,
2026.04.15 15:30:22:373,0,0,-873,0,-360,-308,0,0,0,47,47,39,
2026.04.15 15:30:22:416,0,0,-873,0,-360,-308,0,0,0,47,47,39,
2026.04.15 15:30:22:458,0,0,-873,0,-360,-308,0,0,0,47,47,39,
2026.04.15 15:30:22:494,0,0,-873,0,-360,-308,0,0,0,47,47,39,
2026.04.15 15:30:22:537,0,0,-873,0,-360,-308,0,0,0,47,47,39,
2026.04.15 15:30:22:573,0,0,-873,0,-360,-309,0,0,0,47,47,39,
2026.04.15 15:30:22:615,-12,0,-873,-304,-340,-379,0,0,0,47,47,39,
2026.04.15 15:30:22:651,-469,0,-873,-336,-340,-717,0,0,0,47,47,39,
2026.04.15 15:30:22:694,-188,0,-873,-297,-340,-1134,0,0,0,47,47,39,
2026.04.15 15:30:22:737,-195,0,-873,-372,-340,-1489,0,0,0,47,47,39,
2026.04.15 15:30:22:773,-112,0,-873,-386,-340,-1794,0,0,0,47,47,39,
2026.04.15 15:30:22:816,-169,0,-873,-381,-340,-2197,0,0,0,47,47,39,
2026.04.15 15:30:22:852,-169,0,-873,-381,-340,-2197,0,0,0,47,47,39,
2026.04.15 15:30:22:894,-22,0,-873,-443,-340,-2960,0,0,0,47,47,39,
2026.04.15 15:30:22:938,-448,0,-873,-326,-340,-3365,0,0,0,47,47,39,
2026.04.15 15:30:22:973,-119,0,-873,-380,-340,-3670,0,0,0,47,47,39,
2026.04.15 15:30:23:016,-81,0,-873,-411,-340,-4060,0,0,0,47,47,39,
2026.04.15 15:30:23:053,-215,0,-873,-264,-340,-4388,0,0,0,47,47,39,
2026.04.15 15:30:23:095,-97,0,-873,-404,-340,-4767,0,0,0,47,47,39,
2026.04.15 15:30:23:137,-127,0,-873,-399,-340,-5138,0,0,0,47,47,39,
2026.04.15 15:30:23:173,-530,0,-873,-261,-340,-5461,0,0,0,47,47,39,
2026.04.15 15:30:23:216,-744,0,-873,-216,-340,-5848,0,0,0,47,47,39,
2026.04.15 15:30:23:252,-45,0,-873,-427,-340,-6196,0,0,0,47,47,39,
2026.04.15 15:30:23:295,-80,0,-873,-421,-340,-6631,0,0,0,47,47,39,
2026.04.15 15:30:23:337,-323,0,-873,-350,-340,-7028,0,0,0,47,47,39,
2026.04.15 15:30:23:374,-724,0,-873,-223,-340,-7396,0,0,0,47,47,39,
2026.04.15 15:30:23:418,-824,0,-873,-221,-340,-7807,0,0,0,47,47,39,
2026.04.15 15:30:23:452,-121,0,-873,-324,-340,-8199,0,0,0,47,47,39,
2026.04.15 15:30:23:495,-277,0,-873,-267,-340,-8606,0,0,0,47,47,39,
2026.04.15 15:30:23:538,-418,0,-873,-266,-340,-9015,0,0,0,47,47,39,
2026.04.15 15:30:23:574,-21,0,-873,-469,-340,-9377,0,0,0,47,47,39,
2026.04.15 15:30:23:618,-26,0,-873,-447,-340,-9790,0,0,0,47,47,39,
2026.04.15 15:30:23:653,-675,0,-873,-287,-340,-10118,0,0,0,47,47,39,
2026.04.15 15:30:23:695,-634,0,-873,-318,-340,-10475,0,0,0,47,47,39,
2026.04.15 15:30:23:732,-469,0,-873,-265,-340,-10872,0,0,0,47,47,39,
2026.04.15 15:30:23:775,28,0,-873,-448,-340,-11264,0,0,0,47,47,39,
2026.04.15 15:30:23:816,-56,0,-873,-390,-340,-11678,0,0,0,47,47,39,
2026.04.15 15:30:23:853,-39,0,-873,-470,-340,-12045,0,0,0,47,47,39,
2026.04.15 15:30:23:895,-30,0,-873,-455,-340,-12412,0,0,0,47,47,39,
2026.04.15 15:30:23:938,-48,0,-873,-448,-340,-12743,0,0,0,47,47,39,
2026.04.15 15:30:23:974,-673,0,-873,-340,-340,-13051,0,0,0,47,47,39,
2026.04.15 15:30:24:018,-673,0,-873,-340,-340,-13051,0,0,0,47,47,39,
2026.04.15 15:30:24:054,-677,0,-873,-250,-340,-13692,0,0,0,47,47,39,
2026.04.15 15:30:24:096,-873,0,-873,-249,-340,-14069,0,0,0,47,47,39,
