,2026.04.15 15:01:06
时间,电流,目标电流,滤波电流,速度,目标速度,位置,目标位置,外圈位置,扭矩,总线电压,驱动温度,电机温度
2026.04.15 15:01:06:612,0,0,0,0,0,4283,0,0,0,47,46,37,
2026.04.15 15:01:06:655,0,0,0,0,0,4283,0,0,0,47,46,37,
2026.04.15 15:01:06:691,0,0,0,0,0,4283,0,0,0,47,46,37,
2026.04.15 15:01:06:734,0,0,0,0,0,4283,0,0,0,47,46,37,
2026.04.15 15:01:06:770,0,0,0,0,0,4283,0,0,0,47,46,37,
2026.04.15 15:01:06:813,0,0,0,0,0,4283,0,0,0,47,46,37,
2026.04.15 15:01:06:855,0,0,0,0,0,4283,0,0,0,47,46,37,
2026.04.15 15:01:06:891,0,0,0,0,0,4283,0,0,0,47,46,37,
2026.04.15 15:01:06:934,0,0,0,0,0,4282,0,0,0,47,46,37,
2026.04.15 15:01:06:970,0,0,0,0,0,4282,0,0,0,47,46,37,
2026.04.15 15:01:07:013,0,0,0,0,0,4282,0,0,0,47,46,37,
2026.04.15 15:01:07:055,0,0,0,0,0,4282,0,0,0,47,46,37,
2026.04.15 15:01:07:091,0,0,0,0,0,4282,0,0,0,47,46,37,
2026.04.15 15:01:07:134,0,0,0,0,0,4282,0,0,0,47,46,37,
2026.04.15 15:01:07:170,0,0,0,0,0,4282,0,0,0,47,46,37,
2026.04.15 15:01:07:212,0,0,0,0,0,4282,0,0,0,47,46,37,
2026.04.15 15:01:07:255,0,0,0,0,0,4282,0,0,0,47,46,37,
2026.04.15 15:01:07:291,0,0,0,0,0,4282,0,0,0,47,46,37,
2026.04.15 15:01:07:334,0,0,0,0,0,4282,0,0,0,47,46,37,
2026.04.15 15:01:07:370,0,0,0,0,0,4282,0,0,0,47,46,37,
2026.04.15 15:01:07:413,0,0,0,0,0,4282,0,0,0,47,46,37,
2026.04.15 15:01:07:455,0,0,0,0,0,4282,0,0,0,47,46,37,
2026.04.15 15:01:07:491,0,0,0,0,0,4282,0,0,0,47,46,37,
2026.04.15 15:01:07:534,0,0,0,0,0,4282,0,0,0,47,46,37,
2026.04.15 15:01:07:570,0,0,0,0,0,4282,0,0,0,47,46,37,
2026.04.15 15:01:07:613,0,0,0,0,0,4282,0,0,0,47,46,37,
2026.04.15 15:01:07:649,0,0,0,0,0,4282,0,0,0,47,46,37,
2026.04.15 15:01:07:691,0,0,0,0,0,4282,0,0,0,47,46,37,
