,2026.04.15 15:29:00
时间,电流,目标电流,滤波电流,速度,目标速度,位置,目标位置,外圈位置,扭矩,总线电压,驱动温度,电机温度
2026.04.15 15:29:00:269,0,0,0,0,0,9963,10000,0,0,46,43,39,
2026.04.15 15:29:00:311,0,0,0,0,0,9963,10000,0,0,46,43,39,
2026.04.15 15:29:00:348,0,0,0,0,0,9963,10000,0,0,46,43,39,
2026.04.15 15:29:00:390,0,0,0,0,0,9963,10000,0,0,46,43,39,
2026.04.15 15:29:00:433,0,0,0,0,0,9963,10000,0,0,46,43,39,
2026.04.15 15:29:00:469,0,0,0,0,0,9963,10000,0,0,46,43,39,
2026.04.15 15:29:00:512,0,0,0,0,0,9963,10000,0,0,46,43,39,
2026.04.15 15:29:00:549,0,0,0,0,0,9963,10000,0,0,46,43,39,
2026.04.15 15:29:00:591,0,0,0,0,0,9963,10000,0,0,46,43,39,
2026.04.15 15:29:00:627,0,0,0,0,0,9963,10000,0,0,46,43,39,
2026.04.15 15:29:00:669,0,0,0,0,0,9963,10000,0,0,46,43,39,
2026.04.15 15:29:00:712,0,0,0,0,0,9963,10000,0,0,46,43,39,
2026.04.15 15:29:00:748,0,0,0,0,0,9963,10000,0,0,46,43,39,
2026.04.15 15:29:00:791,0,0,0,0,0,9963,10000,0,0,46,43,39,
2026.04.15 15:29:00:827,0,0,0,0,0,9963,10000,0,0,46,43,39,
2026.04.15 15:29:00:870,0,0,0,0,0,9963,10000,0,0,46,43,39,
2026.04.15 15:29:00:913,0,0,0,0,0,9963,10000,0,0,46,43,39,
2026.04.15 15:29:00:948,0,0,0,0,0,9963,10000,0,0,46,43,39,
2026.04.15 15:29:00:991,0,0,0,0,0,9963,10000,0,0,46,43,39,
2026.04.15 15:29:01:028,0,0,0,0,0,9963,10000,0,0,46,43,39,
2026.04.15 15:29:01:070,0,0,0,0,0,9963,10000,0,0,46,43,39,
2026.04.15 15:29:01:112,0,0,0,0,0,9963,10000,0,0,46,43,39,
