,2026.04.15 14:59:31
时间,电流,目标电流,滤波电流,速度,目标速度,位置,目标位置,外圈位置,扭矩,总线电压,驱动温度,电机温度
2026.04.15 14:59:31:275,0,0,0,810,0,-3103,0,0,0,47,45,37,
2026.04.15 14:59:31:318,0,0,0,498,0,-3020,0,0,0,47,45,37,
2026.04.15 14:59:31:355,0,0,0,48,0,-3005,0,0,0,47,45,37,
2026.04.15 14:59:31:397,0,0,0,311,0,-2962,0,0,0,47,45,37,
2026.04.15 14:59:31:433,0,0,0,345,0,-2915,0,0,0,47,45,37,
2026.04.15 14:59:31:476,0,0,0,11,0,-2904,0,0,0,47,45,37,
2026.04.15 14:59:31:518,0,0,0,30,0,-2897,0,0,0,47,45,37,
2026.04.15 14:59:31:555,0,0,0,0,0,-2892,0,0,0,47,45,37,
2026.04.15 14:59:31:597,0,0,0,0,0,-2891,0,0,0,47,45,37,
2026.04.15 14:59:31:633,0,0,0,0,0,-2890,0,0,0,47,45,37,
2026.04.15 14:59:31:676,0,0,0,0,0,-2889,0,0,0,47,45,37,
2026.04.15 14:59:31:718,0,0,0,0,0,-2888,0,0,0,47,45,37,
2026.04.15 14:59:31:755,0,0,0,0,0,-2888,0,0,0,47,45,37,
2026.04.15 14:59:31:797,0,0,0,0,0,-2887,0,0,0,47,45,37,
2026.04.15 14:59:31:834,0,0,0,0,0,-2887,0,0,0,47,45,37,
2026.04.15 14:59:31:877,0,0,0,0,0,-2887,0,0,0,47,45,37,
2026.04.15 14:59:31:919,0,0,0,0,0,-2887,0,0,0,47,45,37,
2026.04.15 14:59:31:955,0,0,0,0,0,-2887,0,0,0,47,45,37,
2026.04.15 14:59:31:997,0,0,0,0,0,-2887,0,0,0,47,45,37,
2026.04.15 14:59:32:034,0,0,0,0,0,-2887,0,0,0,47,45,37,
2026.04.15 14:59:32:077,0,0,0,0,0,-2887,0,0,0,47,45,37,
2026.04.15 14:59:32:119,0,0,0,0,0,-2887,0,0,0,47,45,37,
2026.04.15 14:59:32:155,0,0,0,0,0,-2887,0,0,0,47,45,37,
2026.04.15 14:59:32:198,0,0,0,0,0,-2887,0,0,0,47,45,37,
2026.04.15 14:59:32:234,0,0,0,0,0,-2887,0,0,0,47,45,37,
2026.04.15 14:59:32:277,0,0,0,0,0,-2887,0,0,0,47,45,37,
2026.04.15 14:59:32:313,0,0,0,0,0,-2887,0,0,0,47,45,37,
2026.04.15 14:59:32:356,0,0,0,0,0,-2887,0,0,0,47,45,37,
2026.04.15 14:59:32:398,0,0,0,0,0,-2887,0,0,0,47,45,37,
2026.04.15 14:59:32:434,0,0,0,0,0,-2887,0,0,0,47,45,37,
2026.04.15 14:59:32:477,0,0,0,0,0,-2887,0,0,0,47,45,37,
2026.04.15 14:59:32:513,0,0,0,0,0,-2887,0,0,0,47,45,37,
2026.04.15 14:59:32:556,0,0,0,0,0,-2887,0,0,0,47,45,37,
2026.04.15 14:59:32:598,0,0,0,0,0,-2887,0,0,0,47,45,37,
2026.04.15 14:59:32:634,0,0,0,0,0,-2887,0,0,0,47,45,37,
2026.04.15 14:59:32:677,0,0,0,0,0,-2887,0,0,0,47,45,37,
2026.04.15 14:59:32:713,0,0,0,0,0,-2887,0,0,0,47,45,37,
2026.04.15 14:59:32:756,0,0,0,0,0,-2887,0,0,0,47,45,37,
2026.04.15 14:59:32:798,0,0,0,0,0,-2887,0,0,0,47,45,37,
2026.04.15 14:59:32:835,0,0,0,0,0,-2887,0,0,0,47,45,37,
2026.04.15 14:59:32:877,0,0,0,0,0,-2887,0,0,0,47,45,37,
2026.04.15 14:59:32:914,0,0,0,0,0,-2887,0,0,0,47,45,37,
2026.04.15 14:59:32:956,0,0,0,0,0,-2887,0,0,0,47,45,37,
2026.04.15 14:59:32:999,0,0,0,0,0,-2887,0,0,0,47,45,37,
2026.04.15 14:59:33:035,0,0,0,0,0,-2887,0,0,0,47,45,37,
2026.04.15 14:59:33:078,0,0,0,0,0,-2887,0,0,0,47,45,37,
2026.04.15 14:59:33:114,0,0,0,0,0,-2887,0,0,0,47,45,37,
2026.04.15 14:59:33:157,0,0,0,0,0,-2887,0,0,0,47,45,37,
2026.04.15 14:59:33:199,0,0,0,0,0,-2887,0,0,0,47,45,37,
2026.04.15 14:59:33:235,0,0,0,0,0,-2887,0,0,0,47,45,37,
2026.04.15 14:59:33:278,0,0,0,0,0,-2887,0,0,0,47,45,37,
2026.04.15 14:59:33:314,0,0,0,0,0,-2887,0,0,0,47,45,37,
2026.04.15 14:59:33:357,0,0,0,0,0,-2887,0,0,0,47,45,37,
2026.04.15 14:59:33:399,0,0,0,0,0,-2887,0,0,0,47,45,37,
2026.04.15 14:59:33:435,0,0,0,0,0,-2887,0,0,0,47,45,37,
2026.04.15 14:59:33:478,0,0,0,0,0,-2887,0,0,0,47,45,37,
2026.04.15 14:59:33:514,0,0,0,0,0,-2887,0,0,0,47,45,37,
2026.04.15 14:59:33:557,0,0,0,0,0,-2887,0,0,0,47,45,37,
2026.04.15 14:59:33:593,0,0,0,0,0,-2887,0,0,0,47,45,37,
2026.04.15 14:59:33:636,0,0,0,0,0,-2887,0,0,0,47,45,37,
2026.04.15 14:59:33:678,0,0,0,0,0,-2887,0,0,0,47,45,37,
2026.04.15 14:59:33:715,0,0,0,0,0,-2887,0,0,0,47,45,37,
2026.04.15 14:59:33:757,0,0,0,0,0,-2887,0,0,0,47,45,37,
2026.04.15 14:59:33:793,0,0,0,0,0,-2887,0,0,0,47,45,37,
2026.04.15 14:59:33:836,0,0,0,0,0,-2887,0,0,0,47,45,37,
2026.04.15 14:59:33:879,0,0,0,0,0,-2887,0,0,0,47,45,37,
2026.04.15 14:59:33:915,0,0,0,0,0,-2887,0,0,0,47,45,37,
2026.04.15 14:59:33:957,0,0,0,0,0,-2888,0,0,0,47,45,37,
2026.04.15 14:59:33:994,0,0,0,0,0,-2888,0,0,0,47,45,37,
2026.04.15 14:59:34:036,0,0,0,0,0,-2888,0,0,0,47,45,37,
2026.04.15 14:59:34:079,0,0,0,0,0,-2888,0,0,0,47,45,37,
2026.04.15 14:59:34:115,0,0,0,0,0,-2888,0,0,0,47,45,37,
2026.04.15 14:59:34:157,0,0,0,0,0,-2888,0,0,0,47,45,37,
2026.04.15 14:59:34:194,0,0,0,0,0,-2888,0,0,0,47,45,37,
2026.04.15 14:59:34:237,0,0,0,0,0,-2888,0,0,0,47,45,37,
2026.04.15 14:59:34:279,0,0,0,0,0,-2888,0,0,0,47,45,37,
2026.04.15 14:59:34:315,0,0,0,0,0,-2888,0,0,0,47,45,37,
2026.04.15 14:59:34:358,0,0,0,0,0,-2888,0,0,0,47,45,37,
2026.04.15 14:59:34:394,0,0,0,0,0,-2888,0,0,0,47,45,37,
2026.04.15 14:59:34:436,0,0,0,0,0,-2888,0,0,0,47,45,37,
2026.04.15 14:59:34:479,0,0,0,0,0,-2888,0,0,0,47,45,37,
2026.04.15 14:59:34:515,0,0,0,0,0,-2888,0,0,0,47,45,37,
2026.04.15 14:59:34:558,0,0,0,0,0,-2888,0,0,0,47,45,37,
2026.04.15 14:59:34:594,0,0,0,0,0,-2888,0,0,0,47,45,37,
2026.04.15 14:59:34:637,0,0,0,0,0,-2888,0,0,0,47,45,37,
2026.04.15 14:59:34:673,0,0,0,0,0,-2888,0,0,0,47,45,37,
2026.04.15 14:59:34:716,0,0,0,0,0,-2888,0,0,0,47,45,37,
2026.04.15 14:59:34:758,0,0,0,0,0,-2888,0,0,0,47,45,37,
2026.04.15 14:59:34:794,0,0,0,0,0,-2888,0,0,0,47,45,37,
2026.04.15 14:59:34:837,0,0,0,0,0,-2888,0,0,0,47,45,37,
2026.04.15 14:59:34:873,0,0,0,0,0,-2888,0,0,0,47,45,37,
2026.04.15 14:59:34:916,0,0,0,0,0,-2888,0,0,0,47,45,37,
2026.04.15 14:59:34:959,0,0,0,0,0,-2888,0,0,0,47,45,37,
2026.04.15 14:59:34:995,0,0,0,0,0,-2888,0,0,0,47,45,37,
2026.04.15 14:59:35:037,0,0,0,0,0,-2888,0,0,0,47,45,37,
2026.04.15 14:59:35:074,0,0,0,0,0,-2888,0,0,0,47,45,37,
2026.04.15 14:59:35:116,0,0,0,0,0,-2888,0,0,0,47,45,37,
2026.04.15 14:59:35:159,0,0,0,0,0,-2888,0,0,0,47,45,37,
2026.04.15 14:59:35:195,0,0,0,0,0,-2888,0,0,0,47,45,37,
2026.04.15 14:59:35:238,0,0,0,0,0,-2888,0,0,0,47,45,37,
2026.04.15 14:59:35:274,0,0,0,0,0,-2888,0,0,0,47,45,37,
