,2026.04.15 15:00:44
时间,电流,目标电流,滤波电流,速度,目标速度,位置,目标位置,外圈位置,扭矩,总线电压,驱动温度,电机温度
2026.04.15 15:00:44:771,0,0,0,0,0,6719,0,0,0,47,47,38,
2026.04.15 15:00:44:814,0,0,0,0,0,6719,0,0,0,47,47,38,
2026.04.15 15:00:44:850,0,0,0,0,0,6718,0,0,0,47,47,38,
2026.04.15 15:00:44:892,0,0,0,0,0,6719,0,0,0,47,47,38,
2026.04.15 15:00:44:935,0,0,0,0,0,6721,0,0,0,47,47,38,
2026.04.15 15:00:44:971,0,0,0,0,0,6721,0,0,0,47,47,38,
2026.04.15 15:00:45:014,0,0,0,0,0,6721,0,0,0,47,47,38,
2026.04.15 15:00:45:050,0,0,0,0,0,6721,0,0,0,47,47,38,
2026.04.15 15:00:45:093,0,0,0,0,0,6723,0,0,0,47,47,38,
2026.04.15 15:00:45:135,0,0,0,0,0,6723,0,0,0,47,47,38,
2026.04.15 15:00:45:171,0,0,0,0,0,6723,0,0,0,47,47,38,
2026.04.15 15:00:45:213,0,0,0,0,0,6723,0,0,0,47,47,38,
2026.04.15 15:00:45:250,0,0,0,0,0,6723,0,0,0,47,47,38,
2026.04.15 15:00:45:293,0,0,0,0,0,6722,0,0,0,47,47,38,
2026.04.15 15:00:45:335,0,0,0,0,0,6722,0,0,0,47,47,38,
2026.04.15 15:00:45:372,0,0,0,0,0,6722,0,0,0,47,47,38,
2026.04.15 15:00:45:414,0,0,0,0,0,6721,0,0,0,47,47,38,
2026.04.15 15:00:45:450,0,0,0,0,0,6722,0,0,0,47,47,38,
2026.04.15 15:00:45:493,0,0,0,0,0,6722,0,0,0,47,47,38,
2026.04.15 15:00:45:529,0,0,0,0,0,6722,0,0,0,47,47,38,
2026.04.15 15:00:45:572,0,0,0,0,0,6723,0,0,0,47,47,38,
2026.04.15 15:00:45:614,0,0,0,0,0,6722,0,0,0,47,47,38,
2026.04.15 15:00:45:650,0,0,0,0,0,6722,0,0,0,47,47,38,
2026.04.15 15:00:45:693,0,0,0,0,0,6722,0,0,0,47,47,38,
2026.04.15 15:00:45:729,0,0,0,0,0,6722,0,0,0,47,47,38,
2026.04.15 15:00:45:771,0,0,0,0,0,6721,0,0,0,47,47,38,
2026.04.15 15:00:45:814,0,0,0,0,0,6721,0,0,0,47,47,38,
2026.04.15 15:00:45:851,0,0,0,0,0,6719,0,0,0,47,47,38,
2026.04.15 15:00:45:893,0,0,0,0,0,6719,0,0,0,47,47,38,
2026.04.15 15:00:45:929,0,0,0,0,0,6719,0,0,0,47,47,38,
2026.04.15 15:00:45:972,0,0,0,0,0,6719,0,0,0,47,47,38,
2026.04.15 15:00:46:014,0,0,0,0,0,6719,0,0,0,47,47,38,
2026.04.15 15:00:46:050,0,0,0,0,0,6719,0,0,0,47,47,38,
2026.04.15 15:00:46:093,0,0,0,0,0,6721,0,0,0,47,47,38,
2026.04.15 15:00:46:129,0,0,0,0,0,6721,0,0,0,47,47,38,
2026.04.15 15:00:46:172,0,0,0,0,0,6722,0,0,0,47,47,38,
2026.04.15 15:00:46:214,0,0,0,0,0,6722,0,0,0,47,47,38,
2026.04.15 15:00:46:250,0,0,0,0,0,6721,0,0,0,47,47,38,
2026.04.15 15:00:46:293,0,0,0,0,0,6722,0,0,0,47,47,38,
2026.04.15 15:00:46:329,0,0,0,0,0,6721,0,0,0,47,47,38,
2026.04.15 15:00:46:372,0,0,0,0,0,6720,0,0,0,47,47,38,
2026.04.15 15:00:46:414,0,0,0,0,0,6718,0,0,0,47,47,38,
2026.04.15 15:00:46:451,0,0,0,0,0,6718,0,0,0,47,47,38,
