,2026.04.15 15:03:01
时间,电流,目标电流,滤波电流,速度,目标速度,位置,目标位置,外圈位置,扭矩,总线电压,驱动温度,电机温度
2026.04.15 15:03:01:522,0,0,0,0,0,-2653,0,0,0,47,46,37,
2026.04.15 15:03:01:564,0,0,0,0,0,-2653,0,0,0,47,46,37,
2026.04.15 15:03:01:600,0,0,0,0,0,-2653,0,0,0,47,46,37,
2026.04.15 15:03:01:643,0,0,0,0,0,-2653,0,0,0,47,46,37,
2026.04.15 15:03:01:679,0,0,0,0,0,-2653,0,0,0,47,46,37,
2026.04.15 15:03:01:722,0,0,0,0,0,-2653,0,0,0,47,46,37,
2026.04.15 15:03:01:764,0,0,0,0,0,-2653,0,0,0,47,46,37,
2026.04.15 15:03:01:801,0,0,0,0,0,-2652,0,0,0,47,46,37,
2026.04.15 15:03:01:843,0,0,0,0,0,-2652,0,0,0,47,46,37,
2026.04.15 15:03:01:879,0,0,0,0,0,-2652,0,0,0,47,46,37,
2026.04.15 15:03:01:921,0,0,0,0,0,-2652,0,0,0,47,46,37,
2026.04.15 15:03:01:964,0,0,0,0,0,-2652,0,0,0,47,46,37,
2026.04.15 15:03:02:001,0,0,0,0,0,-2652,0,0,0,47,46,37,
2026.04.15 15:03:02:043,0,0,0,0,0,-2652,0,0,0,47,46,37,
2026.04.15 15:03:02:079,0,0,0,0,0,-2652,0,0,0,47,46,37,
2026.04.15 15:03:02:122,0,0,0,0,0,-2652,0,0,0,47,46,37,
2026.04.15 15:03:02:164,0,0,0,0,0,-2652,0,0,0,47,46,37,
2026.04.15 15:03:02:201,0,0,0,0,0,-2652,0,0,0,47,46,37,
2026.04.15 15:03:02:243,0,0,0,0,0,-2653,0,0,0,47,46,37,
2026.04.15 15:03:02:280,0,0,0,0,0,-2653,0,0,0,47,46,37,
2026.04.15 15:03:02:322,0,0,0,0,0,-2653,0,0,0,47,46,37,
2026.04.15 15:03:02:365,0,0,0,0,0,-2653,0,0,0,47,46,37,
2026.04.15 15:03:02:401,0,0,0,0,0,-2656,0,0,0,47,46,37,
2026.04.15 15:03:02:443,0,0,0,0,0,-2658,0,0,0,47,46,37,
2026.04.15 15:03:02:479,0,0,0,0,0,-2658,0,0,0,47,46,37,
2026.04.15 15:03:02:522,0,0,0,-29,0,-2668,0,0,0,47,46,37,
2026.04.15 15:03:02:565,0,0,0,0,0,-2672,0,0,0,47,46,37,
2026.04.15 15:03:02:601,0,0,0,-13,0,-2668,0,0,0,47,46,37,
2026.04.15 15:03:02:644,0,0,0,-42,0,-2700,0,0,0,47,46,37,
