,2026.04.15 15:30:18
时间,电流,目标电流,滤波电流,速度,目标速度,位置,目标位置,外圈位置,扭矩,总线电压,驱动温度,电机温度
2026.04.15 15:30:19:017,0,0,0,0,-360,-58333,0,0,0,46,43,39,
2026.04.15 15:30:19:055,0,0,0,0,-360,-58333,0,0,0,46,43,39,
2026.04.15 15:30:19:096,0,0,0,0,-360,-58333,0,0,0,46,43,39,
2026.04.15 15:30:19:132,0,0,0,0,-360,-58333,0,0,0,46,43,39,
2026.04.15 15:30:19:175,0,0,0,0,-360,-58333,0,0,0,46,43,39,
2026.04.15 15:30:19:221,0,0,0,0,-360,-58333,0,0,0,46,43,39,
2026.04.15 15:30:19:254,0,0,0,0,-360,-58333,0,0,0,46,43,39,
2026.04.15 15:30:19:297,0,0,0,0,-360,-58333,0,0,0,46,43,39,
2026.04.15 15:30:19:333,0,0,0,0,-360,-58333,0,0,0,46,43,39,
2026.04.15 15:30:19:376,0,0,0,0,-360,-58333,0,0,0,46,43,39,
2026.04.15 15:30:19:418,0,0,0,0,-360,-58333,0,0,0,46,43,39,
2026.04.15 15:30:19:454,0,0,0,0,-360,-58333,0,0,0,46,43,39,
2026.04.15 15:30:19:497,0,0,0,0,-360,-58333,0,0,0,46,43,39,
2026.04.15 15:30:19:533,0,0,0,0,-360,-58333,0,0,0,46,43,39,
2026.04.15 15:30:19:576,0,0,0,0,-360,-58333,0,0,0,46,43,39,
2026.04.15 15:30:19:618,0,0,0,0,-360,-58333,0,0,0,46,43,39,
2026.04.15 15:30:19:654,0,0,0,0,-360,-58333,0,0,0,46,43,39,
2026.04.15 15:30:19:698,0,0,0,0,-360,-58333,0,0,0,46,43,39,
2026.04.15 15:30:19:733,0,0,0,0,-360,-58333,0,0,0,46,43,39,
2026.04.15 15:30:19:776,0,0,0,0,-360,-58333,0,0,0,46,43,39,
2026.04.15 15:30:19:812,0,0,0,0,-360,-58333,0,0,0,46,43,39,
2026.04.15 15:30:19:855,0,0,0,0,-360,-58333,0,0,0,46,43,39,
2026.04.15 15:30:19:897,0,0,0,0,-360,-58333,0,0,0,46,43,39,
2026.04.15 15:30:19:935,0,0,0,0,-360,-58333,0,0,0,46,43,39,
2026.04.15 15:30:19:977,0,0,0,0,-360,-58333,0,0,0,46,43,39,
2026.04.15 15:30:20:013,0,0,0,0,-360,-58333,0,0,0,46,43,39,
2026.04.15 15:30:20:055,0,0,0,0,-360,-58333,0,0,0,46,43,39,
2026.04.15 15:30:20:097,0,0,0,0,-360,-58333,0,0,0,46,43,39,
2026.04.15 15:30:20:134,0,0,0,0,-360,-58333,0,0,0,46,43,39,
2026.04.15 15:30:20:176,0,0,0,0,-360,-58333,0,0,0,46,43,39,
2026.04.15 15:30:20:213,0,0,0,0,-360,-58333,0,0,0,46,43,39,
2026.04.15 15:30:20:255,0,0,0,0,-360,-58333,0,0,0,46,43,39,
2026.04.15 15:30:20:298,0,0,0,0,-360,-58333,0,0,0,46,43,39,
2026.04.15 15:30:20:334,0,0,0,0,-360,-58333,0,0,0,46,43,39,
2026.04.15 15:30:20:377,0,0,0,0,-360,-58333,0,0,0,46,43,39,
2026.04.15 15:30:20:413,0,0,0,0,-360,-58333,0,0,0,46,43,39,
2026.04.15 15:30:20:456,0,0,0,0,-360,-58333,0,0,0,46,43,39,
2026.04.15 15:30:20:498,0,0,0,0,-360,-58333,0,0,0,46,43,39,
2026.04.15 15:30:20:534,0,0,0,0,-360,-58333,0,0,0,46,43,39,
2026.04.15 15:30:20:577,0,0,0,0,-360,-58333,0,0,0,46,43,39,
2026.04.15 15:30:20:614,0,0,0,0,-360,-58333,0,0,0,46,43,39,
2026.04.15 15:30:20:656,0,0,0,0,-360,-58333,0,0,0,46,43,39,
2026.04.15 15:30:20:692,0,0,0,0,-360,-58333,0,0,0,46,43,39,
2026.04.15 15:30:20:735,0,0,0,0,-360,-58333,0,0,0,46,43,39,
2026.04.15 15:30:20:777,0,0,0,0,-360,-58333,0,0,0,46,43,39,
2026.04.15 15:30:20:813,0,0,0,0,-360,-58333,0,0,0,46,43,39,
2026.04.15 15:30:20:856,0,0,0,0,-360,-58333,0,0,0,46,43,39,
2026.04.15 15:30:20:898,0,0,0,0,-360,-58333,0,0,0,46,43,39,
2026.04.15 15:30:20:935,0,0,0,0,-360,-58333,0,0,0,46,43,39,
2026.04.15 15:30:20:978,0,0,0,0,-360,-58333,0,0,0,46,43,39,
2026.04.15 15:30:21:014,0,0,0,0,-360,-58333,0,0,0,46,43,39,
2026.04.15 15:30:21:056,0,0,0,0,-360,-58333,0,0,0,46,43,39,
2026.04.15 15:30:21:092,0,0,0,0,-360,-58333,0,0,0,46,43,39,
2026.04.15 15:30:21:135,0,0,0,0,-360,-58333,0,0,0,46,43,39,
2026.04.15 15:30:21:177,0,0,0,0,-360,-58333,0,0,0,46,43,39,
2026.04.15 15:30:21:214,0,0,0,0,-360,-58333,0,0,0,46,43,39,
2026.04.15 15:30:21:256,0,0,0,0,-360,-58333,0,0,0,46,43,39,
2026.04.15 15:30:21:293,0,0,0,0,-360,-58333,0,0,0,46,43,39,
2026.04.15 15:30:21:335,0,0,0,0,-360,-58333,0,0,0,46,43,39,
2026.04.15 15:30:21:378,0,0,0,0,-360,-58333,0,0,0,46,43,39,
2026.04.15 15:30:21:414,0,0,0,0,-360,-58333,0,0,0,46,43,39,
2026.04.15 15:30:21:457,0,0,0,0,-360,-58333,0,0,0,46,43,39,
2026.04.15 15:30:21:493,0,0,0,0,-360,-58333,0,0,0,46,43,39,
2026.04.15 15:30:21:536,0,0,0,0,-360,-58333,0,0,0,46,43,39,
2026.04.15 15:30:21:578,0,0,0,0,-360,-58333,0,0,0,46,43,39,
2026.04.15 15:30:21:615,0,0,0,0,-360,-58333,0,0,0,46,43,39,
2026.04.15 15:30:21:657,0,0,0,0,-360,-58333,0,0,0,46,43,39,
2026.04.15 15:30:21:693,0,0,0,0,-360,-58333,0,0,0,46,43,39,
2026.04.15 15:30:21:736,0,0,0,0,-360,-58333,0,0,0,46,43,39,
2026.04.15 15:30:21:778,0,0,0,0,-360,-58333,0,0,0,46,43,39,
2026.04.15 15:30:21:815,0,0,0,0,-360,-58333,0,0,0,46,43,39,
2026.04.15 15:30:21:857,0,0,0,0,-360,-58333,0,0,0,46,43,39,
2026.04.15 15:30:21:893,0,0,0,0,-360,-58333,0,0,0,46,43,39,
2026.04.15 15:30:21:936,0,0,0,0,-360,-58333,0,0,0,46,43,39,
2026.04.15 15:30:21:972,0,0,0,0,-360,-58333,0,0,0,46,43,39,
2026.04.15 15:30:22:015,0,0,0,0,-360,-58333,0,0,0,46,43,39,
2026.04.15 15:30:22:057,0,0,0,0,-360,-58333,0,0,0,46,43,39,
2026.04.15 15:30:22:094,0,0,0,0,-360,-58333,0,0,0,46,43,39,
2026.04.15 15:30:22:136,0,0,0,0,-360,-58333,0,0,0,46,43,39,
2026.04.15 15:30:22:173,0,0,0,0,-360,-58333,0,0,0,46,43,39,
2026.04.15 15:30:22:215,0,0,0,0,-360,-58333,0,0,0,46,43,39,
2026.04.15 15:30:22:258,0,0,0,0,-360,-58333,0,0,0,46,43,39,
2026.04.15 15:30:22:294,0,0,0,0,-360,-58333,0,0,0,46,43,39,
2026.04.15 15:30:22:336,0,0,0,0,-360,-58333,0,0,0,46,43,39,
2026.04.15 15:30:22:373,0,0,0,0,-360,-58333,0,0,0,46,43,39,
2026.04.15 15:30:22:415,0,0,0,0,-360,-58333,0,0,0,46,43,39,
2026.04.15 15:30:22:458,0,0,0,0,-360,-58333,0,0,0,46,43,39,
2026.04.15 15:30:22:494,0,0,0,0,-360,-58333,0,0,0,46,43,39,
2026.04.15 15:30:22:536,0,0,0,0,-360,-58333,0,0,0,46,43,39,
2026.04.15 15:30:22:573,0,0,0,0,-360,-58333,0,0,0,46,43,39,
2026.04.15 15:30:22:615,290,0,0,-393,-340,-58429,0,0,0,46,43,39,
2026.04.15 15:30:22:651,-267,0,0,-312,-340,-58757,0,0,0,46,43,39,
2026.04.15 15:30:22:694,-194,0,0,-313,-340,-59133,0,0,0,46,43,39,
2026.04.15 15:30:22:736,61,0,0,-380,-340,-59499,0,0,0,46,43,39,
2026.04.15 15:30:22:773,-297,0,0,-301,-340,-59843,0,0,0,46,43,39,
2026.04.15 15:30:22:816,-396,0,0,-280,-340,-60248,0,0,0,46,43,39,
2026.04.15 15:30:22:852,-1,0,0,-371,-340,-60600,0,0,0,46,43,39,
2026.04.15 15:30:22:894,-323,0,0,-303,-340,-60986,0,0,0,46,43,39,
2026.04.15 15:30:22:938,-307,0,0,-300,-340,-61388,0,0,0,46,43,39,
2026.04.15 15:30:22:973,-190,0,0,-334,-340,-61743,0,0,0,46,43,39,
2026.04.15 15:30:23:016,-327,0,0,-301,-340,-62109,0,0,0,46,43,39,
2026.04.15 15:30:23:052,-109,0,0,-362,-340,-62451,0,0,0,46,43,39,
