,2026.04.15 14:58:26
时间,电流,目标电流,滤波电流,速度,目标速度,位置,目标位置,外圈位置,扭矩,总线电压,驱动温度,电机温度
2026.04.15 14:58:26:824,0,0,0,0,0,-2055,0,0,0,47,45,37,
2026.04.15 14:58:26:866,0,0,0,0,0,-2056,0,0,0,47,45,37,
2026.04.15 14:58:26:902,0,0,0,0,0,-2056,0,0,0,47,45,37,
2026.04.15 14:58:26:945,0,0,0,0,0,-2056,0,0,0,47,45,37,
2026.04.15 14:58:26:981,0,0,0,0,0,-2055,0,0,0,47,45,37,
2026.04.15 14:58:27:024,0,0,0,0,0,-2055,0,0,0,47,45,37,
2026.04.15 14:58:27:066,0,0,0,0,0,-2055,0,0,0,47,45,37,
2026.04.15 14:58:27:103,0,0,0,0,0,-2055,0,0,0,47,45,37,
2026.04.15 14:58:27:145,0,0,0,0,0,-2055,0,0,0,47,45,37,
2026.04.15 14:58:27:182,0,0,0,0,0,-2055,0,0,0,47,45,37,
2026.04.15 14:58:27:224,0,0,0,0,0,-2055,0,0,0,47,45,37,
2026.04.15 14:58:27:266,0,0,0,0,0,-2055,0,0,0,47,45,37,
2026.04.15 14:58:27:303,0,0,0,0,0,-2055,0,0,0,47,45,37,
2026.04.15 14:58:27:345,0,0,0,0,0,-2055,0,0,0,47,45,37,
2026.04.15 14:58:27:382,0,0,0,0,0,-2055,0,0,0,47,45,37,
2026.04.15 14:58:27:424,0,0,0,0,0,-2056,0,0,0,47,45,37,
2026.04.15 14:58:27:467,0,0,0,0,0,-2055,0,0,0,47,45,37,
2026.04.15 14:58:27:503,0,0,0,0,0,-2055,0,0,0,47,45,37,
2026.04.15 14:58:27:546,0,0,0,0,0,-2055,0,0,0,47,45,37,
2026.04.15 14:58:27:581,0,0,0,0,0,-2055,0,0,0,47,45,37,
2026.04.15 14:58:27:624,0,0,0,0,0,-2056,0,0,0,47,45,37,
2026.04.15 14:58:27:667,0,0,0,0,0,-2055,0,0,0,47,45,37,
2026.04.15 14:58:27:704,0,0,0,0,0,-2056,0,0,0,47,45,37,
2026.04.15 14:58:27:746,0,0,0,0,0,-2056,0,0,0,47,45,37,
2026.04.15 14:58:27:782,0,0,0,0,0,-2056,0,0,0,47,45,37,
2026.04.15 14:58:27:825,0,0,0,0,0,-2056,0,0,0,47,45,37,
2026.04.15 14:58:27:861,0,0,0,0,0,-2056,0,0,0,47,45,37,
2026.04.15 14:58:27:903,0,0,0,0,0,-2056,0,0,0,47,45,37,
2026.04.15 14:58:27:945,0,0,0,0,0,-2056,0,0,0,47,45,37,
2026.04.15 14:58:27:983,0,0,0,0,0,-2056,0,0,0,47,45,37,
2026.04.15 14:58:28:025,0,0,0,0,0,-2056,0,0,0,47,45,37,
2026.04.15 14:58:28:061,0,0,0,0,0,-2056,0,0,0,47,45,37,
