,2026.04.15 15:33:13
时间,电流,目标电流,滤波电流,速度,目标速度,位置,目标位置,外圈位置,扭矩,总线电压,驱动温度,电机温度
2026.04.15 15:33:13:778,0,0,0,0,60,141272,0,0,0,46,38,33,
2026.04.15 15:33:13:820,0,0,0,0,60,141272,0,0,0,46,38,33,
2026.04.15 15:33:13:856,0,0,0,0,60,141272,0,0,0,46,38,33,
2026.04.15 15:33:13:898,0,0,0,0,60,141272,0,0,0,46,38,33,
2026.04.15 15:33:13:941,0,0,0,0,60,141272,0,0,0,46,38,33,
2026.04.15 15:33:13:978,0,0,0,0,60,141272,0,0,0,46,38,33,
2026.04.15 15:33:14:020,0,0,0,0,60,141272,0,0,0,46,38,33,
2026.04.15 15:33:14:056,0,0,0,0,60,141272,0,0,0,46,38,33,
2026.04.15 15:33:14:099,0,0,0,0,60,141272,0,0,0,46,38,33,
2026.04.15 15:33:14:135,0,0,0,0,60,141272,0,0,0,46,38,33,
2026.04.15 15:33:14:178,0,0,0,0,60,141272,0,0,0,46,38,33,
2026.04.15 15:33:14:220,0,0,0,0,60,141272,0,0,0,46,38,33,
2026.04.15 15:33:14:256,0,0,0,0,60,141272,0,0,0,46,38,33,
2026.04.15 15:33:14:299,0,0,0,0,60,141272,0,0,0,46,38,33,
2026.04.15 15:33:14:335,0,0,0,0,60,141272,0,0,0,46,38,33,
2026.04.15 15:33:14:378,0,0,0,0,60,141272,0,0,0,46,38,33,
2026.04.15 15:33:14:420,9,0,0,0,0,141272,17000,0,0,46,38,33,
2026.04.15 15:33:14:456,-9041,0,0,-13,0,141272,17000,0,0,46,38,33,
2026.04.15 15:33:14:499,-3739,0,0,-1834,0,139536,17000,0,0,46,38,33,
2026.04.15 15:33:14:536,-422,0,0,-2371,0,137268,17000,0,0,46,38,33,
2026.04.15 15:33:14:579,-420,0,0,-2020,0,134888,17000,0,0,46,38,33,
2026.04.15 15:33:14:621,-979,0,0,-1960,0,132656,17000,0,0,46,38,33,
2026.04.15 15:33:14:657,-2685,0,0,-1688,0,131021,17000,0,0,46,38,33,
2026.04.15 15:33:14:699,-2152,0,0,-2023,0,128912,17000,0,0,46,38,33,
2026.04.15 15:33:14:735,-3011,0,0,-1787,0,126949,17000,0,0,46,38,33,
2026.04.15 15:33:14:778,-1924,0,0,-2101,0,124801,17000,0,0,46,38,33,
2026.04.15 15:33:14:820,-870,0,0,-2133,0,122330,17000,0,0,46,38,33,
2026.04.15 15:33:14:857,-2127,0,0,-1911,0,120526,17000,0,0,46,38,33,
2026.04.15 15:33:14:900,-5931,0,0,-1523,0,118778,17000,0,0,46,38,33,
2026.04.15 15:33:14:936,-5675,0,0,-1920,0,117104,17000,0,0,46,38,33,
2026.04.15 15:33:14:978,-3158,0,0,-2353,0,114780,17000,0,0,46,38,33,
2026.04.15 15:33:15:020,-553,0,0,-2390,0,112051,17000,0,0,46,38,33,
2026.04.15 15:33:15:057,-732,0,0,-2072,0,109913,17000,0,0,46,38,33,
2026.04.15 15:33:15:099,-1842,0,0,-1912,0,107841,17000,0,0,46,38,33,
2026.04.15 15:33:15:136,-1676,0,0,-2021,0,105937,17000,0,0,46,38,33,
2026.04.15 15:33:15:178,-1771,0,0,-1980,0,103705,17000,0,0,46,38,33,
2026.04.15 15:33:15:220,-1676,0,0,-2008,0,101540,17000,0,0,46,38,33,
2026.04.15 15:33:15:257,-1909,0,0,-1961,0,99599,17000,0,0,46,38,33,
2026.04.15 15:33:15:301,-2106,0,0,-1971,0,97438,17000,0,0,46,38,33,
2026.04.15 15:33:15:336,-1989,0,0,-2011,0,95542,17000,0,0,46,38,33,
2026.04.15 15:33:15:378,-2213,0,0,-1970,0,93305,17000,0,0,46,38,33,
2026.04.15 15:33:15:422,-2457,0,0,-1963,0,91122,17000,0,0,46,38,33,
2026.04.15 15:33:15:457,-2617,0,0,-1958,0,89257,17000,0,0,46,38,33,
2026.04.15 15:33:15:500,-2615,0,0,-2001,0,86971,17000,0,0,46,38,33,
2026.04.15 15:33:15:536,-2061,0,0,-2080,0,85179,17000,0,0,46,38,33,
2026.04.15 15:33:15:578,-2197,0,0,-2001,0,82849,17000,0,0,46,38,33,
2026.04.15 15:33:15:616,-2463,0,0,-1952,0,80922,17000,0,0,46,38,33,
2026.04.15 15:33:15:659,-2460,0,0,-2001,0,78806,17000,0,0,46,38,33,
2026.04.15 15:33:15:701,-2506,0,0,-1990,0,76678,17000,0,0,46,38,33,
2026.04.15 15:33:15:736,-2383,0,0,-2014,0,74706,17000,0,0,46,38,33,
2026.04.15 15:33:15:788,-2450,0,0,-1999,0,72380,17000,0,0,46,38,33,
2026.04.15 15:33:15:815,-2452,0,0,-2001,0,70550,17000,0,0,46,38,33,
2026.04.15 15:33:15:858,-2438,0,0,-1991,0,68360,17000,0,0,46,38,33,
2026.04.15 15:33:15:900,-2510,0,0,-1981,0,66170,17000,0,0,46,38,33,
