,2026.04.15 15:33:31
时间,电流,目标电流,滤波电流,速度,目标速度,位置,目标位置,外圈位置,扭矩,总线电压,驱动温度,电机温度
2026.04.15 15:33:31:567,0,0,0,0,0,121892,17000,0,0,46,38,33,
2026.04.15 15:33:31:610,0,0,0,0,0,121892,17000,0,0,46,38,33,
2026.04.15 15:33:31:646,0,0,0,0,0,121892,17000,0,0,46,38,33,
2026.04.15 15:33:31:688,0,0,0,0,0,121892,17000,0,0,46,38,33,
2026.04.15 15:33:31:725,0,0,0,0,0,121892,17000,0,0,46,38,33,
2026.04.15 15:33:31:767,0,0,0,0,0,121892,17000,0,0,46,38,33,
2026.04.15 15:33:31:810,0,0,0,0,0,121892,17000,0,0,46,38,33,
2026.04.15 15:33:31:846,0,0,0,0,0,121892,17000,0,0,46,38,33,
2026.04.15 15:33:31:889,0,0,0,0,0,121892,17000,0,0,46,38,33,
2026.04.15 15:33:31:925,0,0,0,0,0,121892,17000,0,0,46,38,33,
2026.04.15 15:33:31:968,0,0,0,0,0,121892,17000,0,0,46,38,33,
2026.04.15 15:33:32:010,0,0,0,0,0,121892,17000,0,0,46,38,33,
2026.04.15 15:33:32:047,0,0,0,0,0,121892,17000,0,0,46,38,33,
2026.04.15 15:33:32:089,0,0,0,0,0,121892,17000,0,0,46,38,33,
2026.04.15 15:33:32:125,0,0,0,0,0,121892,17000,0,0,46,38,33,
2026.04.15 15:33:32:168,0,0,0,0,0,121892,17000,0,0,46,38,33,
2026.04.15 15:33:32:210,0,0,0,0,0,121892,17000,0,0,46,38,33,
2026.04.15 15:33:32:246,0,0,0,0,0,121892,17000,0,0,46,38,33,
2026.04.15 15:33:32:289,0,0,0,0,0,121892,17000,0,0,46,38,33,
2026.04.15 15:33:32:325,0,0,0,0,0,121892,17000,0,0,46,38,33,
2026.04.15 15:33:32:368,0,0,0,0,0,121892,17000,0,0,46,38,33,
2026.04.15 15:33:32:405,0,0,0,0,0,121892,17000,0,0,46,38,33,
2026.04.15 15:33:32:447,0,0,0,0,0,121892,17000,0,0,46,38,33,
2026.04.15 15:33:32:489,0,0,0,0,0,121892,17000,0,0,46,38,33,
2026.04.15 15:33:32:526,0,0,0,0,0,121892,17000,0,0,46,38,33,
2026.04.15 15:33:32:568,0,0,0,0,0,121892,17000,0,0,46,38,33,
2026.04.15 15:33:32:604,0,0,0,0,0,121892,17000,0,0,46,38,33,
2026.04.15 15:33:32:647,0,0,0,0,0,121892,17000,0,0,46,38,33,
2026.04.15 15:33:32:689,0,0,0,0,0,121892,17000,0,0,46,38,33,
2026.04.15 15:33:32:726,0,0,0,0,0,121892,17000,0,0,46,38,33,
2026.04.15 15:33:32:768,0,0,0,0,0,121892,17000,0,0,46,38,33,
2026.04.15 15:33:32:805,0,0,0,0,0,121892,17000,0,0,46,38,33,
2026.04.15 15:33:32:847,0,0,0,0,0,121892,17000,0,0,46,38,33,
2026.04.15 15:33:32:890,0,0,0,0,0,121892,17000,0,0,46,38,33,
2026.04.15 15:33:32:926,0,0,0,0,0,121892,17000,0,0,46,38,33,
2026.04.15 15:33:32:968,0,0,0,0,0,121892,17000,0,0,46,38,33,
2026.04.15 15:33:33:005,0,0,0,0,0,121892,17000,0,0,46,38,33,
2026.04.15 15:33:33:047,0,0,0,0,0,121892,17000,0,0,46,38,33,
2026.04.15 15:33:33:090,0,0,0,0,0,121892,17000,0,0,46,38,33,
2026.04.15 15:33:33:126,0,0,0,0,0,121892,17000,0,0,46,38,33,
2026.04.15 15:33:33:168,0,0,0,0,0,121892,17000,0,0,46,38,33,
2026.04.15 15:33:33:205,0,0,0,0,0,121892,17000,0,0,46,38,33,
2026.04.15 15:33:33:247,0,0,0,0,0,121892,17000,0,0,46,38,33,
2026.04.15 15:33:33:290,0,0,0,0,0,121892,17000,0,0,46,38,33,
2026.04.15 15:33:33:326,0,0,0,0,0,121892,17000,0,0,46,38,33,
2026.04.15 15:33:33:369,0,0,0,0,0,121892,17000,0,0,46,38,33,
2026.04.15 15:33:33:405,0,0,0,0,0,121892,17000,0,0,46,38,33,
2026.04.15 15:33:33:447,0,0,0,0,0,121892,17000,0,0,46,38,33,
2026.04.15 15:33:33:490,0,0,0,0,0,121892,17000,0,0,46,38,33,
2026.04.15 15:33:33:526,0,0,0,0,0,121892,17000,0,0,46,38,33,
2026.04.15 15:33:33:569,0,0,0,0,0,121892,17000,0,0,46,38,33,
2026.04.15 15:33:33:605,0,0,0,0,0,121892,17000,0,0,46,38,33,
2026.04.15 15:33:33:648,0,0,0,0,0,121892,17000,0,0,46,38,33,
2026.04.15 15:33:33:690,0,0,0,0,0,121892,17000,0,0,46,38,33,
2026.04.15 15:33:33:726,0,0,0,0,0,121892,17000,0,0,46,38,33,
2026.04.15 15:33:33:769,0,0,0,0,0,121892,17000,0,0,46,38,33,
2026.04.15 15:33:33:805,0,0,0,0,0,121892,17000,0,0,46,38,33,
2026.04.15 15:33:33:848,0,0,0,0,0,121892,17000,0,0,46,38,33,
2026.04.15 15:33:33:884,0,0,0,0,0,121892,17000,0,0,46,38,33,
2026.04.15 15:33:33:927,0,0,0,0,0,121892,17000,0,0,46,38,33,
2026.04.15 15:33:33:969,0,0,0,0,0,121892,17000,0,0,46,38,33,
2026.04.15 15:33:34:005,0,0,0,0,0,121892,17000,0,0,46,38,33,
2026.04.15 15:33:34:048,0,0,0,0,0,121892,17000,0,0,46,38,33,
2026.04.15 15:33:34:084,0,0,0,0,0,121892,17000,0,0,46,38,33,
2026.04.15 15:33:34:127,0,0,0,0,0,121892,17000,0,0,46,38,33,
2026.04.15 15:33:34:169,0,0,0,0,0,121892,17000,0,0,46,38,33,
2026.04.15 15:33:34:206,0,0,0,0,0,121892,17000,0,0,46,38,33,
2026.04.15 15:33:34:248,0,0,0,0,0,121892,17000,0,0,46,38,33,
2026.04.15 15:33:34:284,0,0,0,0,0,121892,17000,0,0,46,38,33,
2026.04.15 15:33:34:328,0,0,0,0,0,121892,17000,0,0,46,38,33,
2026.04.15 15:33:34:369,0,0,0,0,0,121892,17000,0,0,46,38,33,
2026.04.15 15:33:34:406,0,0,0,0,0,121892,17000,0,0,46,38,33,
2026.04.15 15:33:34:448,0,0,0,0,0,121892,17000,0,0,46,38,33,
2026.04.15 15:33:34:484,0,0,0,0,0,121892,17000,0,0,46,38,33,
2026.04.15 15:33:34:527,0,0,0,0,0,121892,17000,0,0,46,38,33,
2026.04.15 15:33:34:570,0,0,0,0,0,121892,17000,0,0,46,38,33,
2026.04.15 15:33:34:606,0,0,0,0,0,121892,17000,0,0,46,38,33,
2026.04.15 15:33:34:648,0,0,0,0,0,121892,17000,0,0,46,38,33,
2026.04.15 15:33:34:685,0,0,0,0,0,121892,17000,0,0,46,38,33,
2026.04.15 15:33:34:727,0,0,0,0,0,121892,17000,0,0,46,38,33,
2026.04.15 15:33:34:770,0,0,0,0,0,121892,17000,0,0,46,38,33,
2026.04.15 15:33:34:806,0,0,0,0,0,121892,17000,0,0,46,38,33,
2026.04.15 15:33:34:849,0,0,0,0,0,121892,17000,0,0,46,38,33,
2026.04.15 15:33:34:885,0,0,0,0,0,121892,17000,0,0,46,38,33,
2026.04.15 15:33:34:928,0,0,0,0,0,121892,17000,0,0,46,38,33,
2026.04.15 15:33:34:970,0,0,0,0,0,121892,17000,0,0,46,38,33,
2026.04.15 15:33:35:007,0,0,0,0,0,121892,17000,0,0,46,38,33,
2026.04.15 15:33:35:049,0,0,0,0,0,121892,17000,0,0,46,38,33,
2026.04.15 15:33:35:085,0,0,0,0,0,121892,17000,0,0,46,38,33,
2026.04.15 15:33:35:127,0,0,0,0,0,121892,17000,0,0,46,38,33,
2026.04.15 15:33:35:171,0,0,0,0,0,121892,17000,0,0,46,38,33,
2026.04.15 15:33:35:206,0,0,0,0,0,121892,17000,0,0,46,38,33,
2026.04.15 15:33:35:249,0,0,0,0,0,121892,17000,0,0,46,38,33,
2026.04.15 15:33:35:285,0,0,0,0,0,121892,17000,0,0,46,38,33,
2026.04.15 15:33:35:328,0,0,0,0,0,121892,17000,0,0,46,38,33,
2026.04.15 15:33:35:364,0,0,0,0,0,121892,17000,0,0,46,38,33,
2026.04.15 15:33:35:407,0,0,0,0,0,121892,17000,0,0,46,38,33,
2026.04.15 15:33:35:449,0,0,0,0,0,121892,17000,0,0,46,38,33,
2026.04.15 15:33:35:485,0,0,0,0,0,121892,17000,0,0,46,38,33,
2026.04.15 15:33:35:528,0,0,0,0,0,121892,17000,0,0,46,38,33,
2026.04.15 15:33:35:564,0,0,0,0,0,121892,17000,0,0,46,38,33,
2026.04.15 15:33:35:607,0,0,0,0,0,121892,17000,0,0,46,38,33,
2026.04.15 15:33:35:649,0,0,0,0,0,121892,17000,0,0,46,38,33,
2026.04.15 15:33:35:685,0,0,0,0,0,121892,17000,0,0,46,38,33,
2026.04.15 15:33:35:728,0,0,0,0,0,121892,17000,0,0,46,38,33,
2026.04.15 15:33:35:764,0,0,0,0,0,121892,17000,0,0,46,38,33,
2026.04.15 15:33:35:807,0,0,0,0,0,121892,17000,0,0,46,38,33,
2026.04.15 15:33:35:849,0,0,0,0,0,121892,17000,0,0,46,38,33,
2026.04.15 15:33:35:885,0,0,0,0,0,121892,17000,0,0,46,38,33,
2026.04.15 15:33:35:928,0,0,0,0,0,121892,17000,0,0,46,38,33,
2026.04.15 15:33:35:964,0,0,0,0,0,121892,17000,0,0,46,38,33,
2026.04.15 15:33:36:007,0,0,0,0,0,121892,17000,0,0,46,38,33,
2026.04.15 15:33:36:050,0,0,0,0,0,121892,17000,0,0,46,38,33,
2026.04.15 15:33:36:086,0,0,0,0,0,121892,17000,0,0,46,38,33,
2026.04.15 15:33:36:128,0,0,0,0,0,121892,17000,0,0,46,38,33,
2026.04.15 15:33:36:165,0,0,0,0,0,121892,17000,0,0,46,38,33,
2026.04.15 15:33:36:207,0,0,0,0,0,121892,17000,0,0,46,38,33,
2026.04.15 15:33:36:250,0,0,0,0,0,121892,17000,0,0,46,38,33,
2026.04.15 15:33:36:286,0,0,0,0,0,121892,17000,0,0,46,38,33,
2026.04.15 15:33:36:329,0,0,0,0,0,121892,17000,0,0,46,38,33,
2026.04.15 15:33:36:365,0,0,0,0,0,121892,17000,0,0,46,38,33,
2026.04.15 15:33:36:407,0,0,0,0,0,121892,17000,0,0,46,38,33,
2026.04.15 15:33:36:450,0,0,0,0,0,121892,17000,0,0,46,38,33,
2026.04.15 15:33:36:486,0,0,0,0,0,121892,17000,0,0,46,38,33,
2026.04.15 15:33:36:529,0,0,0,0,0,121892,17000,0,0,46,38,33,
2026.04.15 15:33:36:565,0,0,0,0,0,121892,17000,0,0,46,38,33,
2026.04.15 15:33:36:608,0,0,0,0,0,121892,17000,0,0,46,38,33,
2026.04.15 15:33:36:644,0,0,0,0,0,121892,17000,0,0,46,38,33,
2026.04.15 15:33:36:687,0,0,0,0,0,121892,17000,0,0,46,38,33,
2026.04.15 15:33:36:729,0,0,0,0,0,121892,17000,0,0,46,38,33,
2026.04.15 15:33:36:765,0,0,0,0,0,121892,17000,0,0,46,38,33,
2026.04.15 15:33:36:808,0,0,0,0,0,121892,17000,0,0,46,38,33,
2026.04.15 15:33:36:844,0,0,0,0,0,121892,17000,0,0,46,38,33,
