,2026.04.15 15:04:41
时间,电流,目标电流,滤波电流,速度,目标速度,位置,目标位置,外圈位置,扭矩,总线电压,驱动温度,电机温度
2026.04.15 15:04:41:383,0,0,0,0,0,-216,-50000,0,0,47,48,40,
2026.04.15 15:04:41:426,0,0,0,0,0,-216,-50000,0,0,47,48,40,
2026.04.15 15:04:41:463,0,0,0,0,0,-216,-50000,0,0,47,48,40,
2026.04.15 15:04:41:505,0,0,0,0,0,-216,-50000,0,0,47,48,40,
2026.04.15 15:04:41:542,0,0,0,0,0,-216,-50000,0,0,47,48,40,
2026.04.15 15:04:41:584,0,0,0,0,0,-216,-50000,0,0,47,48,40,
2026.04.15 15:04:41:627,0,0,0,0,0,-216,-50000,0,0,47,48,40,
2026.04.15 15:04:41:663,0,0,0,0,0,-216,-50000,0,0,47,48,40,
2026.04.15 15:04:41:706,0,0,0,0,0,-216,-50000,0,0,47,48,40,
2026.04.15 15:04:41:742,0,0,0,0,0,-216,-50000,0,0,47,48,40,
2026.04.15 15:04:41:785,0,0,0,0,0,-216,-50000,0,0,47,48,40,
2026.04.15 15:04:41:827,0,0,0,0,0,-216,-50000,0,0,47,48,40,
2026.04.15 15:04:41:864,0,0,0,0,0,-216,-50000,0,0,47,48,40,
2026.04.15 15:04:41:906,0,0,0,0,0,-216,-50000,0,0,47,48,40,
2026.04.15 15:04:41:942,0,0,0,0,0,-216,-50000,0,0,47,48,40,
2026.04.15 15:04:41:985,0,0,0,0,0,-216,-50000,0,0,47,48,40,
2026.04.15 15:04:42:028,0,0,0,0,0,-216,-50000,0,0,47,48,40,
2026.04.15 15:04:42:064,0,0,0,0,0,-216,-50000,0,0,47,48,40,
2026.04.15 15:04:42:106,0,0,0,0,0,-216,-50000,0,0,47,48,40,
2026.04.15 15:04:42:143,0,0,0,0,0,-216,-50000,0,0,47,48,40,
2026.04.15 15:04:42:185,0,0,0,0,0,-216,-50000,0,0,47,48,40,
2026.04.15 15:04:42:228,0,0,0,0,0,-216,-50000,0,0,47,48,40,
2026.04.15 15:04:42:265,0,0,0,0,0,-216,-50000,0,0,47,48,40,
2026.04.15 15:04:42:307,0,0,0,0,0,-216,-50000,0,0,47,48,40,
2026.04.15 15:04:42:343,0,0,0,0,0,-216,-50000,0,0,47,48,40,
2026.04.15 15:04:42:386,0,0,0,0,0,-216,-50000,0,0,47,48,40,
2026.04.15 15:04:42:428,0,0,0,0,0,-216,-50000,0,0,47,48,40,
2026.04.15 15:04:42:465,0,0,0,0,0,-216,-50000,0,0,47,48,40,
2026.04.15 15:04:42:508,0,0,0,0,0,-216,-50000,0,0,47,48,40,
2026.04.15 15:04:42:544,0,0,0,0,0,-216,-50000,0,0,47,48,40,
2026.04.15 15:04:42:586,0,0,0,0,0,-216,-50000,0,0,47,48,40,
2026.04.15 15:04:42:623,0,0,0,0,0,-216,-50000,0,0,47,48,40,
2026.04.15 15:04:42:666,0,0,0,0,0,-216,-50000,0,0,47,48,40,
2026.04.15 15:04:42:708,0,0,0,0,0,-216,-50000,0,0,47,48,40,
2026.04.15 15:04:42:744,0,0,0,0,0,-216,-50000,0,0,47,48,40,
2026.04.15 15:04:42:787,0,0,0,0,0,-216,-50000,0,0,47,48,40,
2026.04.15 15:04:42:823,0,0,0,0,0,-216,-50000,0,0,47,48,40,
2026.04.15 15:04:42:866,0,0,0,0,0,-216,-50000,0,0,47,48,40,
2026.04.15 15:04:42:908,0,0,0,0,0,-216,-50000,0,0,47,48,40,
2026.04.15 15:04:42:945,0,0,0,0,0,-216,-50000,0,0,47,48,40,
2026.04.15 15:04:42:987,0,0,0,0,0,-216,-50000,0,0,47,48,40,
2026.04.15 15:04:43:023,0,0,0,0,0,-216,-50000,0,0,47,48,40,
2026.04.15 15:04:43:066,0,0,0,0,0,-216,-50000,0,0,47,48,40,
