,2026.04.15 15:32:48
时间,电流,目标电流,滤波电流,速度,目标速度,位置,目标位置,外圈位置,扭矩,总线电压,驱动温度,电机温度
2026.04.15 15:32:48:111,0,0,0,0,0,-11970,0,0,0,46,43,39,
2026.04.15 15:32:48:153,0,0,0,0,0,-11970,0,0,0,46,43,39,
2026.04.15 15:32:48:189,0,0,0,0,0,-11970,0,0,0,46,43,39,
2026.04.15 15:32:48:232,0,0,0,0,0,-11970,0,0,0,46,43,39,
2026.04.15 15:32:48:269,0,0,0,0,0,-11970,0,0,0,46,43,39,
2026.04.15 15:32:48:311,0,0,0,0,0,-11970,0,0,0,46,43,39,
2026.04.15 15:32:48:354,0,0,0,0,0,-11970,0,0,0,46,43,39,
2026.04.15 15:32:48:390,0,0,0,0,0,-11970,0,0,0,46,43,39,
2026.04.15 15:32:48:433,0,0,0,0,0,-11970,0,0,0,46,43,39,
2026.04.15 15:32:48:469,0,0,0,0,0,-11970,0,0,0,46,43,39,
2026.04.15 15:32:48:511,0,0,0,0,0,-11970,0,0,0,46,43,39,
2026.04.15 15:32:48:554,0,0,0,0,0,-11970,0,0,0,46,43,39,
2026.04.15 15:32:48:590,0,0,0,0,0,-11970,0,0,0,46,43,39,
2026.04.15 15:32:48:632,0,0,0,0,0,-11970,0,0,0,46,43,39,
2026.04.15 15:32:48:669,0,0,0,0,0,-11970,0,0,0,46,43,39,
2026.04.15 15:32:48:712,0,0,0,0,0,-11970,0,0,0,46,43,39,
2026.04.15 15:32:48:754,0,0,0,0,0,-11970,0,0,0,46,43,39,
2026.04.15 15:32:48:790,0,0,0,0,0,-11970,0,0,0,46,43,39,
2026.04.15 15:32:48:833,0,0,0,0,0,-11970,0,0,0,46,43,39,
2026.04.15 15:32:48:869,0,0,0,0,0,-11970,0,0,0,46,43,39,
2026.04.15 15:32:48:911,0,0,0,0,0,-11970,0,0,0,46,43,39,
2026.04.15 15:32:48:954,0,0,0,0,0,-11970,0,0,0,46,43,39,
2026.04.15 15:32:48:990,0,0,0,0,260,-11970,0,0,0,46,43,39,
2026.04.15 15:32:49:033,351,0,0,211,260,-11836,0,0,0,46,43,39,
2026.04.15 15:32:49:069,175,0,0,268,260,-11597,0,0,0,46,43,39,
2026.04.15 15:32:49:112,422,0,0,221,260,-11334,0,0,0,46,43,39,
2026.04.15 15:32:49:155,349,0,0,242,260,-11021,0,0,0,46,43,39,
2026.04.15 15:32:49:191,307,0,0,249,260,-10756,0,0,0,46,43,39,
2026.04.15 15:32:49:233,332,0,0,250,260,-10440,0,0,0,46,43,39,
2026.04.15 15:32:49:269,250,0,0,270,260,-10198,0,0,0,46,43,39,
2026.04.15 15:32:49:312,315,0,0,250,260,-9886,0,0,0,46,43,39,
2026.04.15 15:32:49:348,189,0,0,280,260,-9623,0,0,0,46,43,39,
2026.04.15 15:32:49:391,245,0,0,270,260,-9364,0,0,0,46,43,39,
2026.04.15 15:32:49:433,280,0,0,256,260,-9103,0,0,0,46,43,39,
2026.04.15 15:32:49:470,139,0,0,291,260,-8878,0,0,0,46,43,39,
2026.04.15 15:32:49:512,258,0,0,265,260,-8603,0,0,0,46,43,39,
2026.04.15 15:32:49:549,292,0,0,271,260,-8357,0,0,0,46,43,39,
2026.04.15 15:32:49:591,169,0,0,285,260,-8081,0,0,0,46,43,39,
2026.04.15 15:32:49:634,174,0,0,290,260,-7774,0,0,0,46,43,39,
2026.04.15 15:32:49:670,197,0,0,295,260,-7507,0,0,0,46,43,39,
2026.04.15 15:32:49:712,152,0,0,291,260,-7160,0,0,0,46,43,39,
2026.04.15 15:32:49:749,208,0,0,285,260,-6862,0,0,0,46,43,39,
2026.04.15 15:32:49:792,194,0,0,291,260,-6541,0,0,0,46,43,39,
2026.04.15 15:32:49:834,108,0,0,309,260,-6245,0,0,0,46,43,39,
2026.04.15 15:32:49:871,222,0,0,287,260,-5987,0,0,0,46,43,39,
2026.04.15 15:32:49:913,342,0,0,258,260,-5681,0,0,0,46,43,39,
2026.04.15 15:32:49:949,384,0,0,251,260,-5398,0,0,0,46,43,39,
2026.04.15 15:32:49:991,304,0,0,275,260,-5065,0,0,0,46,43,39,
2026.04.15 15:32:50:034,202,0,0,294,260,-4737,0,0,0,46,43,39,
2026.04.15 15:32:50:070,439,0,0,231,260,-4460,0,0,0,46,43,39,
2026.04.15 15:32:50:113,284,0,0,277,260,-4192,0,0,0,46,43,39,
2026.04.15 15:32:50:150,476,0,0,230,260,-3950,0,0,0,46,43,39,
2026.04.15 15:32:50:194,422,0,0,244,260,-3674,0,0,0,46,43,39,
2026.04.15 15:32:50:228,415,0,0,240,260,-3400,0,0,0,46,43,39,
2026.04.15 15:32:50:271,448,0,0,230,260,-3083,0,0,0,46,43,39,
2026.04.15 15:32:50:313,461,0,0,231,260,-2764,0,0,0,46,43,39,
2026.04.15 15:32:50:350,472,0,0,230,260,-2493,0,0,0,46,43,39,
2026.04.15 15:32:50:392,472,0,0,230,260,-2493,0,0,0,46,43,39,
2026.04.15 15:32:50:428,363,0,0,245,260,-1914,0,0,0,46,43,39,
2026.04.15 15:32:50:471,446,0,0,233,260,-1636,0,0,0,46,43,39,
2026.04.15 15:32:50:513,471,0,0,230,260,-1350,0,0,0,46,43,39,
2026.04.15 15:32:50:550,349,0,0,253,260,-1118,0,0,0,46,43,39,
2026.04.15 15:32:50:592,320,0,0,256,260,-822,0,0,0,46,43,39,
2026.04.15 15:32:50:628,345,0,0,251,260,-563,0,0,0,46,43,39,
2026.04.15 15:32:50:671,287,0,0,270,260,-294,0,0,0,46,43,39,
2026.04.15 15:32:50:714,436,0,0,231,260,20,0,0,0,46,43,39,
2026.04.15 15:32:50:750,193,0,0,282,260,271,0,0,0,46,43,39,
2026.04.15 15:32:50:793,310,0,0,260,260,578,0,0,0,46,43,39,
2026.04.15 15:32:50:829,268,0,0,268,260,827,0,0,0,46,43,39,
2026.04.15 15:32:50:871,239,0,0,280,260,1137,0,0,0,46,43,39,
2026.04.15 15:32:50:914,303,0,0,264,260,1436,0,0,0,46,43,39,
2026.04.15 15:32:50:950,157,0,0,300,260,1691,0,0,0,46,43,39,
2026.04.15 15:32:50:992,181,0,0,286,260,1999,0,0,0,46,43,39,
2026.04.15 15:32:51:029,200,0,0,291,260,2259,0,0,0,46,43,39,
2026.04.15 15:32:51:071,163,0,0,301,260,2544,0,0,0,46,43,39,
2026.04.15 15:32:51:113,235,0,0,280,260,2839,0,0,0,46,43,39,
2026.04.15 15:32:51:150,192,0,0,297,260,3093,0,0,0,46,43,39,
2026.04.15 15:32:51:192,143,0,0,301,260,3402,0,0,0,46,43,39,
2026.04.15 15:32:51:229,449,0,0,239,260,3637,0,0,0,46,43,39,
2026.04.15 15:32:51:271,292,0,0,287,260,3961,0,0,0,46,43,39,
2026.04.15 15:32:51:314,129,0,0,308,260,4274,0,0,0,46,43,39,
2026.04.15 15:32:51:350,396,0,0,255,260,4543,0,0,0,46,43,39,
2026.04.15 15:32:51:393,274,0,0,281,260,4853,0,0,0,46,43,39,
2026.04.15 15:32:51:429,438,0,0,240,260,5123,0,0,0,46,43,39,
2026.04.15 15:32:51:472,363,0,0,259,260,5396,0,0,0,46,43,39,
2026.04.15 15:32:51:514,233,0,0,281,260,5719,0,0,0,46,43,39,
2026.04.15 15:32:51:551,505,0,0,222,260,5983,0,0,0,46,43,39,
2026.04.15 15:32:51:593,514,0,0,222,260,6239,0,0,0,46,43,39,
2026.04.15 15:32:51:629,555,0,0,218,260,6500,0,0,0,46,43,39,
2026.04.15 15:32:51:672,439,0,0,240,260,6821,0,0,0,46,43,39,
2026.04.15 15:32:51:708,334,0,0,258,260,7104,0,0,0,46,43,39,
2026.04.15 15:32:51:751,612,0,0,200,260,7427,0,0,0,46,43,39,
2026.04.15 15:32:51:793,432,0,0,240,260,7749,0,0,0,46,43,39,
2026.04.15 15:32:51:830,381,0,0,247,260,7993,0,0,0,46,43,39,
2026.04.15 15:32:51:872,518,0,0,221,260,8295,0,0,0,46,43,39,
