,2026.04.15 15:01:57
时间,电流,目标电流,滤波电流,速度,目标速度,位置,目标位置,外圈位置,扭矩,总线电压,驱动温度,电机温度
2026.04.15 15:01:57:647,0,0,0,0,0,-4194,0,0,0,47,46,37,
2026.04.15 15:01:57:689,0,0,0,0,0,-4194,0,0,0,47,46,37,
2026.04.15 15:01:57:726,0,0,0,0,0,-4194,0,0,0,47,46,37,
2026.04.15 15:01:57:768,0,0,0,0,0,-4194,0,0,0,47,46,37,
2026.04.15 15:01:57:805,0,0,0,0,0,-4194,0,0,0,47,46,37,
2026.04.15 15:01:57:847,0,0,0,0,0,-4194,0,0,0,47,46,37,
2026.04.15 15:01:57:883,0,0,0,0,0,-4194,0,0,0,47,46,37,
2026.04.15 15:01:57:926,0,0,0,0,0,-4194,0,0,0,47,46,37,
2026.04.15 15:01:57:968,0,0,0,0,0,-4194,0,0,0,47,46,37,
2026.04.15 15:01:58:005,0,0,0,0,0,-4194,0,0,0,47,46,37,
2026.04.15 15:01:58:047,0,0,0,0,0,-4194,0,0,0,47,46,37,
2026.04.15 15:01:58:084,0,0,0,0,0,-4194,0,0,0,47,46,37,
2026.04.15 15:01:58:126,0,0,0,0,0,-4194,0,0,0,47,46,37,
2026.04.15 15:01:58:168,0,0,0,0,0,-4194,0,0,0,47,46,37,
2026.04.15 15:01:58:205,0,0,0,0,0,-4194,0,0,0,47,46,37,
2026.04.15 15:01:58:247,0,0,0,0,0,-4194,0,0,0,47,46,37,
2026.04.15 15:01:58:284,0,0,0,0,0,-4194,0,0,0,47,46,37,
2026.04.15 15:01:58:326,0,0,0,0,0,-4194,0,0,0,47,46,37,
2026.04.15 15:01:58:368,0,0,0,0,0,-4194,0,0,0,47,46,37,
2026.04.15 15:01:58:405,0,0,0,0,0,-4194,0,0,0,47,46,37,
2026.04.15 15:01:58:447,0,0,0,0,0,-4194,0,0,0,47,46,37,
2026.04.15 15:01:58:484,0,0,0,0,0,-4194,0,0,0,47,46,37,
2026.04.15 15:01:58:526,0,0,0,0,0,-4194,0,0,0,47,46,37,
2026.04.15 15:01:58:569,0,0,0,0,0,-4194,0,0,0,47,46,37,
2026.04.15 15:01:58:605,0,0,0,0,0,-4194,0,0,0,47,46,37,
2026.04.15 15:01:58:647,0,0,0,0,0,-4194,0,0,0,47,46,37,
2026.04.15 15:01:58:683,0,0,0,0,0,-4194,0,0,0,47,46,37,
2026.04.15 15:01:58:726,0,0,0,0,0,-4194,0,0,0,47,46,37,
2026.04.15 15:01:58:768,0,0,0,0,0,-4194,0,0,0,47,46,37,
2026.04.15 15:01:58:805,0,0,0,0,0,-4194,0,0,0,47,46,37,
2026.04.15 15:01:58:848,0,0,0,0,0,-4194,0,0,0,47,46,37,
2026.04.15 15:01:58:884,0,0,0,0,0,-4194,0,0,0,47,46,37,
2026.04.15 15:01:58:926,0,0,0,0,0,-4194,0,0,0,47,46,37,
2026.04.15 15:01:58:969,0,0,0,0,0,-4194,0,0,0,47,46,37,
2026.04.15 15:01:59:005,0,0,0,0,0,-4194,0,0,0,47,46,37,
2026.04.15 15:01:59:048,0,0,0,0,0,-4194,0,0,0,47,46,37,
2026.04.15 15:01:59:084,0,0,0,0,0,-4194,0,0,0,47,46,37,
2026.04.15 15:01:59:127,0,0,0,0,0,-4194,0,0,0,47,46,37,
2026.04.15 15:01:59:169,0,0,0,0,0,-4194,0,0,0,47,46,37,
2026.04.15 15:01:59:205,0,0,0,0,0,-4194,0,0,0,47,46,37,
2026.04.15 15:01:59:248,0,0,0,0,0,-4194,0,0,0,47,46,37,
2026.04.15 15:01:59:284,0,0,0,0,0,-4194,0,0,0,47,46,37,
2026.04.15 15:01:59:326,0,0,0,0,0,-4194,0,0,0,47,46,37,
2026.04.15 15:01:59:363,0,0,0,0,0,-4194,0,0,0,47,46,37,
2026.04.15 15:01:59:406,0,0,0,0,0,-4194,0,0,0,47,46,37,
2026.04.15 15:01:59:448,0,0,0,0,0,-4194,0,0,0,47,46,37,
2026.04.15 15:01:59:484,0,0,0,0,0,-4194,0,0,0,47,46,37,
